+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
| sync_log                      | id                         | bigint(20) unsigned                                                             |
| sync_log                      | dataset                    | varchar(80)                                                                     |
| sync_log                      | sumber                     | varchar(40)                                                                     |
| sync_log                      | aksi                       | varchar(20)                                                                     |
| sync_log                      | baris                      | int(11)                                                                         |
| sync_log                      | status                     | varchar(10)                                                                     |
| sync_log                      | pesan                      | text                                                                            |
| sync_log                      | created_at                 | datetime                                                                        |
| ternak_daging                 | id                         | int(10) unsigned                                                                |
| ternak_daging                 | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_daging                 | kelompok                   | enum('ternak','unggas')                                                         |
| ternak_daging                 | jenis                      | varchar(40)                                                                     |
| ternak_daging                 | tahun                      | smallint(5) unsigned                                                            |
| ternak_daging                 | produksi_kg                | decimal(14,3)                                                                   |
| ternak_daging                 | sumber                     | enum('csv','ckan','manual')                                                     |
| ternak_flow                   | id                         | int(10) unsigned                                                                |
| ternak_flow                   | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_flow                   | arah                       | enum('pemasukan','pengeluaran')                                                 |
| ternak_flow                   | jenis                      | varchar(40)                                                                     |
| ternak_flow                   | tahun                      | smallint(5) unsigned                                                            |
| ternak_flow                   | jumlah_ekor                | decimal(14,3)                                                                   |
| ternak_flow                   | sumber                     | enum('csv','ckan','manual')                                                     |
| ternak_pemotongan             | id                         | int(10) unsigned                                                                |
| ternak_pemotongan             | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_pemotongan             | lokasi                     | enum('rph_pemerintah','luar_rph')                                               |
| ternak_pemotongan             | jenis                      | varchar(40)                                                                     |
| ternak_pemotongan             | tahun                      | smallint(5) unsigned                                                            |
| ternak_pemotongan             | jumlah_ekor                | decimal(14,3)                                                                   |
| ternak_pemotongan             | sumber                     | enum('csv','ckan','manual')                                                     |
| ternak_populasi               | id                         | int(10) unsigned                                                                |
| ternak_populasi               | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_populasi               | kelompok                   | enum('besar','kecil','unggas')                                                  |
| ternak_populasi               | jenis                      | varchar(40)                                                                     |
| ternak_populasi               | tahun                      | smallint(5) unsigned                                                            |
| ternak_populasi               | jumlah_ekor                | decimal(14,3)                                                                   |
| ternak_populasi               | sumber                     | enum('csv','ckan','manual')                                                     |
| ternak_susu_kulit             | id                         | int(10) unsigned                                                                |
| ternak_susu_kulit             | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_susu_kulit             | jenis                      | varchar(60)                                                                     |
| ternak_susu_kulit             | tahun                      | smallint(5) unsigned                                                            |
| ternak_susu_kulit             | nilai                      | decimal(14,3)                                                                   |
| ternak_susu_kulit             | catatan                    | varchar(120)                                                                    |
| ternak_susu_kulit             | sumber                     | enum('csv','ckan','manual')                                                     |
| ternak_telur                  | id                         | int(10) unsigned                                                                |
| ternak_telur                  | kecamatan_id               | tinyint(3) unsigned                                                             |
| ternak_telur                  | jenis                      | varchar(40)                                                                     |
| ternak_telur                  | tahun                      | smallint(5) unsigned                                                            |
| ternak_telur                  | produksi_kg                | decimal(14,3)                                                                   |
| ternak_telur                  | sumber                     | enum('csv','ckan','manual')                                                     |
+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
+----------------+
| x              |
+----------------+
| ---DISTINCT--- |
+----------------+
+---------------------------+------------------------------------+
| t                         | v                                  |
+---------------------------+------------------------------------+
| lahan_penggunaan.kategori | a. Lahan irigasi                   |
| lahan_penggunaan.kategori | a. Tegal/kebun                     |
| lahan_penggunaan.kategori | b. Lahan tadah hujan               |
| lahan_penggunaan.kategori | b. Perkebunan                      |
| lahan_penggunaan.kategori | c. Hutan rakyat                    |
| lahan_penggunaan.kategori | c. Lahan pasang surut              |
| lahan_penggunaan.kategori | d. lainnya                         |
| lahan_penggunaan.kategori | e. Lahan yang tidak diusahakan     |
| lahan_penggunaan.kategori | I. Lahan sawah                     |
| lahan_penggunaan.kategori | II. Bukan lahan sawah              |
| lahan_penggunaan.kategori | III. Lahan bukan pertanian lainnya |
+---------------------------+------------------------------------+
+-------------+-------+
| t           | v     |
+-------------+-------+
| pasar.jenis | Buah  |
| pasar.jenis | Hewan |
| pasar.jenis | Ikan  |
| pasar.jenis | Umum  |
+-------------+-------+
+-----------------+--------------+
| t               | v            |
+-----------------+--------------+
| inflasi.wilayah | Banjarnegara |
| inflasi.wilayah | Banyumas     |
| inflasi.wilayah | Cilacap      |
| inflasi.wilayah | Jawa Tengah  |
| inflasi.wilayah | Nasional     |
| inflasi.wilayah | Purbalingga  |
| inflasi.wilayah | Wonosobo     |
+-----------------+--------------+
+-----------------+-----------------------+
| t               | v                     |
+-----------------+-----------------------+
| ternak_populasi | besar=Kerbau          |
| ternak_populasi | besar=Kuda            |
| ternak_populasi | besar=Sapi            |
| ternak_populasi | besar=Sapi Perah      |
| ternak_populasi | kecil=Babi            |
| ternak_populasi | kecil=Domba           |
| ternak_populasi | kecil=Kambing         |
| ternak_populasi | kecil=Kelinci         |
| ternak_populasi | unggas=Ayam Broiler   |
| ternak_populasi | unggas=Ayam Kampung   |
| ternak_populasi | unggas=Ayam Ras Layer |
| ternak_populasi | unggas=Itik Biasa     |
| ternak_populasi | unggas=Itik Manila    |
+-----------------+-----------------------+
+-------------+----------------------+
| t           | v                    |
+-------------+----------------------+
| ternak_flow | pemasukan=Domba      |
| ternak_flow | pemasukan=Kambing    |
| ternak_flow | pemasukan=Kerbau     |
| ternak_flow | pemasukan=Kuda       |
| ternak_flow | pemasukan=Sapi       |
| ternak_flow | pemasukan=Sapi Perah |
| ternak_flow | pengeluaran=Domba    |
| ternak_flow | pengeluaran=Kambing  |
| ternak_flow | pengeluaran=Kerbau   |
| ternak_flow | pengeluaran=Sapi     |
+-------------+----------------------+
+----------------------+----------------+
| t                    | v              |
+----------------------+----------------+
| ternak_daging_unggas | Ayam Kampung   |
| ternak_daging_unggas | Ayam Ras Layer |
+----------------------+----------------+
+----------------------------+---------+
| t                          | v       |
+----------------------------+---------+
| ternak_pemotongan_luar_rph | Babi    |
| ternak_pemotongan_luar_rph | Domba   |
| ternak_pemotongan_luar_rph | Kambing |
| ternak_pemotongan_luar_rph | Kerbau  |
| ternak_pemotongan_luar_rph | Sapi    |
+----------------------------+---------+
+-------------------+----------------+
| t                 | v              |
+-------------------+----------------+
| ikan_tangkap.alat | Jala Tebar     |
| ikan_tangkap.alat | Jaring Ingsang |
| ikan_tangkap.alat | Lainnya        |
| ikan_tangkap.alat | Pancing        |
+-------------------+----------------+
+---------------------+-----------------------+
| t                   | v                     |
+---------------------+-----------------------+
| ikan_budidaya.jenis | Karamba Jaring Apung  |
| ikan_budidaya.jenis | Minapadi Tumpang Sari |
| ikan_budidaya.jenis | Pembesaran            |
+---------------------+-----------------------+
+--------------------------+------------------------+
| t                        | v                      |
+--------------------------+------------------------+
| ikan_pemeliharaan.tempat | Jaring Karamba Apung   |
| ikan_pemeliharaan.tempat | Kolam Pembesaran Ikan  |
| ikan_pemeliharaan.tempat | Mina Padi Penyelang    |
| ikan_pemeliharaan.tempat | Mina Padi Tumpang sari |
+--------------------------+------------------------+
+-----------------+-------------+
| t               | v           |
+-----------------+-------------+
| ikan_benih.arah | sendiri     |
| ikan_benih.arah | lain_daerah |
+-----------------+-------------+
+------------------------+--------------+
| t                      | v            |
+------------------------+--------------+
| horti_produksi.sayuran | Bawang Merah |
| horti_produksi.sayuran | Bawang Putih |
| horti_produksi.sayuran | Cabai Besar  |
| horti_produksi.sayuran | Cabai Rawit  |
