Kecamatan,Agloenema (m2) 2019,Krisan (m2) 2019,Mawar (m2) 2019,Soka (m2) 2019,Agloenema (m2) 2020,Krisan (m2) 2020,Mawar (m2) 2020,Soka (m2) 2020,Agloenema (m2) 2021,Krisan (m2) 2021,Mawar (m2) 2021,Soka (m2) 2021,Agloenema (m2) 2022,Krisan (m2) 2022,Mawar (m2) 2022,Soka (m2) 2022,Agloenema (m2) 2023,Krisan (m2) 2023,Mawar (m2) 2023,Soka (m2) 2023,Agloenema (m2) 2024,Krisan (m2) 2024,Mawar (m2) 2024,Soka (m2) 2024,Tahun
Wanadadi,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Wanadadi,,,,,,,,,180,0,0,80,,,,,,,,,,,,,2021
Wanadadi,,,,,,,,,,,,,98,0,0,,,,,,,,,,2022
Wanadadi,,,,,,,,,,,,,,,,,69,0,0,,,,,,2023
Wanadadi,,,,,,,,,,,,,,,,,,,,,47,,0,0,2024
Wanayasa,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Wanayasa,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Wanayasa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Wanayasa,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Wanayasa,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Batur,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Batur,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Batur,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Batur,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Batur,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Batur,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
