Kecamatan, Hasil Obyek Perairan Umum Sungai Produksi (Kg),Hasil Obyek Perairan Umum Sungai Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Sungai Dijual ke lain daerah (Kg),Hasil Obyek Perairan Umum Waduk Produksi (Kg),Hasil Obyek Perairan Umum Waduk Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Waduk Dijual ke lain daerah (Kg),Hasil Obyek Perikanan Jaring Apung Produksi,Hasil Obyek Perikanan Jaring Apung dipelihara sendiri,Hasil Obyek Perikanan Jaring Apung dijual ke lain daerah ,Hasil Obyek Perairan Umum Telaga/Rawa Produksi ,Hasil Obyek Perairan Umum Telaga/Rawa dipelihara sendiri,Hasil Obyek Perairan Umum Telaga/Rawa dijual kelain daerah,Tahun 
Purwareja Klampok,"20,286","7,505","12,780", - , - , - , - , - , - , - , - , - ,2023
Mandiraja,"73,995","34,038","39,958", - , - , - , - , - , - , - , - , - ,2023
Purwanegara,"49,153","32,441","16,712", - , - , - , - , - , - , - , - , - ,2023
Bawang,"13,457","7,536","5,921","89,138","26,741","62,396"," 9,765 "," 9,765 ", - , - , - , - ,2023
Banjarnegara,"25,441","12,211","13,229", - , - , - , - , - , - , - , - , - ,2023
Pagedongan,"7,957","5,252","2,705", - , - , - , - , - , - ," 1,381 "," 1,381 ", - ,2023
Sigaluh,"11,345","4,198","7,147", - , - , - , - , - , - , - , - , - ,2023
Madukara,"12,023","12,023", - , - , - , - , - , - , - , - , - , - ,2023
Banjarmangu,"21,508","21,508", - , - , - , - , - , - , - , - , - , - ,2023
Wanadadi,"60,179","20,419","39,760","173,032","51,910","121,122"," 404,462 "," 404,462 ", - , - , - , - ,2023
Rakit,"40,757","22,040","18,717", - , - , - , - , - , - , - , - , - ,2023
Punggelan,"15,981","12,201","3,781", - , - , - , - , - , - , - , - , - ,2023
Karangkobar,"7,453","3,714","3,739", - , - , - , - , - , - , - , - , - ,2023
Pagentan,"8,648","7,519","1,130", - , - , - , - , - , - , - , - , - ,2023
Pejawaran,"3,972","3,972", - , - , - , - , - , - , - , - , - , - ,2023
Batur,"1,900","1,900", - , - , - , - , - , - , - ," 2,881 "," 2,881 ", - ,2023
Wanayasa,"12,806","8,961","3,845", - , - , - , - , - , - , - , - , - ,2023
Kalibening,"14,494","10,758","3,736", - , - , - , - , - , - , - , - , - ,2023
Pandanarum,"8,290","8,290", - , - , - , - , - , - , - , - , - , - ,2023
Susukan, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Purwareja Klampok,"34,109","12,620","21,489", - , - , - , - , - , - , - , - , - ,2024
Mandiraja,"32,465","14,934","17,531", - , - , - , - , - , - , - , - , - ,2024
Purwanegara,"45,329","29,917","15,412", - , - , - , - , - , - , - , - , - ,2024
Bawang, - , - , - ,"212,914","63,874","149,040"," 9,055 "," 9,055 ", - , - , - , - ,2024
Banjarnegara, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Pagedongan, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Sigaluh,"43,309","16,025","27,284", - , - , - , - , - , - , - , - , - ,2024
Madukara, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Banjarmangu, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Wanadadi, - , - , - ,"179,270","53,781","125,489"," 375,033 "," 375,033 ", - , - , - , - ,2024
Rakit,"33,606","18,173","15,433", - , - , - , - , - , - , - , - , - ,2024
Punggelan, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Karangkobar, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Pagentan, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Pejawaran,"102,021","102,021", - , - , - , - , - , - , - , - , - , - ,2024
Batur, - , - , - , - , - , - , - , - , - ," 3,955 "," 3,955 ", - ,2024
Wanayasa, - , - , - , - , - , - , - , - , - , - , - , - ,2024
Kalibening,"67,781","50,310","17,471", - , - , - , - , - , - , - , - , - ,2024
Pandanarum, - , - , - , - , - , - , - , - , - , - , - , - ,2024
