Kecamatan,Bawang Merah (ha) 2017,Cabai Besar (ha) 2017,Kentang (ha) 2017,Kubis (ha) 2017,Petsai (ha) 2017,Tomat (ha) 2017,Bawang Putih (ha) 2017,Cabai Rawit (ha) 2017,Bawang Merah (ha) 2018,Cabai Besar (ha) 2018,Kentang (ha) 2018,Kubis (ha) 2018,Petsai (ha) 2018,Tomat (ha) 2018,Bawang Putih (ha) 2018,Cabai Rawit (ha) 2018,Bawang Merah (ha) 2019,Cabai Besar (ha) 2019,Kentang (ha) 2019,Kubis (ha) 2019,Petsai (ha) 2019,Tomat (ha) 2019,Bawang Putih (ha) 2019,Cabai Rawit (ha) 2019,Bawang Merah (ha) 2021,Cabai Besar (ha) 2021,Kentang (ha) 2021,Kubis (ha) 2021,Petsai (ha) 2021,Tomat (ha) 2021,Bawang Putih (ha) 2021,Cabai Rawit (ha) 2021,Bawang Merah (ha) 2023,Cabai Besar (ha) 2023,Kentang (ha) 2023,Kubis (ha) 2023,Petsai (ha) 2023,Tomat (ha) 2023,Bawang Putih (ha) 2023,Cabai Rawit (ha) 2023,Bawang Merah (ha) 2020,Cabai Besar (ha) 2020,Kentang (ha) 2020,Kubis (ha) 2020,Petsai (ha) 2020,Tomat (ha) 2020,Bawang Putih (ha) 2020,Cabai Rawit (ha) 2020,Bawang Merah (ha) 2022,Cabai Besar (ha) 2022,Kentang (ha) 2022,Kubis (ha) 2022,Petsai (ha) 2022,Tomat (ha) 2022,Bawang Putih (ha) 2022,Cabai Rawit (ha) 2022,Bawang Merah (ha) 2024,Cabai Besar (ha) 2024,Kentang (ha) 2024,Kubis (ha) 2024,Petsai (ha) 2024,Tomat (ha) 2024,Bawang Putih (ha) 2024,Cabai Rawit (ha) 2024,Tahun
Madukara,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2023
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7.3,2024
Mandiraja,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Mandiraja,,,,,,,,,0,6,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mandiraja,,,,,,,,,,,,,,,,,0,18,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,0,0,0,2,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,7,15,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,0,0,0,0,0,4,,,,,,,,,2022
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.5,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,0,,0,0,0,6,2024
Pagedongan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagedongan,,,,,,,,,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagedongan,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,0,0,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,39,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,0,70,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,45.5,2024
Pagentan,0,0,0,117,0,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagentan,,,,,,,,,0,208,0,156,0,43,0,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagentan,,,,,,,,,,,,,,,,,0,113,0,135,27,22,25,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,0,136,42,21,18,621,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,0,586,0,173,42,33,32,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,320,0,130,41,40,0,531,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,0,125,43,89,0,285,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,944,0,94,74,293,0,636,2024
Pandanarum,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pandanarum,,,,,,,,,0,13,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pandanarum,,,,,,,,,,,,,,,,,0,8,0,6,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,0,0,0,0,0,23,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,0,0,0,1,0,17,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,0,0,0,0,0,67.5,2024
Pejawaran,0,0,2615,492,0,123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pejawaran,,,,,,,,,0,417,2515,556,0,169,0,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pejawaran,,,,,,,,,,,,,,,,,0,326,2284,508,245,155,39,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,428,2348,799,224,202,66,1351,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,0,451,2303,668,198,189,48,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,618,2415,708,258,213,0,1951,,,,,,,,,2022
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,1313,689,186,198,0,1636,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,910,1326,242,94,707,0,3105,2024
Punggelan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Punggelan,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Punggelan,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,7,2024
Purwonegoro,0,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purwonegoro,,,,,,,,,0,598,0,0,0,14,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purwonegoro,,,,,,,,,,,,,,,,,12,891,0,0,0,49,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,782,0,0,0,35,0,38,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,3,528,0,0,0,17,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,639,0,0,0,26,0,38,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,353,0,,,13,0,43,,,,,,,,,,,,,,,,,,,,,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144.7,0,0,0,14.5,0,382.5,2024
Purworejo Klampok,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purworejo Klampok,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purworejo Klampok,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
