Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
7. Pagedongan, - , - , - , - , - , 1 , - , 70 ,2023
8. Sigaluh, - , - , - , - , - , - , - , - ,2023
9. Madukara, - , 1 , - , - , - , - , - , 3 ,2023
10. Banjarmangu, - , - , - , - , - , 2 , - , 3 ,2023
11. Wanadadi, - , 1 , - , - , - , 5 , - , 3 ,2023
12. Rakit, - , 3 , - , - , - , 1 , - , 2 ,2023
13. Punggelan, - , - , - , - , - , - , - , 1 ,2023
14. Karangkobar, - , 98 , - , 57 , 28 , 30 , - , 84 ,2023
15. Pagentan, - , 519 , - , 125 , 43 , 89 , - , 285 ,2023
16. Pejawaran, - , 631 ," 1,313 ", 689 , 186 , 198 , - ," 1,636 ",2023
17. Batur, - , - ," 2,835 ", 829 , - , - , - , - ,2023
18. Wanayasa, - , 184 , 242 , 180 , 50 , 22 , 1 , 97 ,2023
19. Kalibening, - , 141 , 21 , 97 , 29 , 26 , - , 120 ,2023
20. Pandanarum, - , 15 , - , - , - , - , - , 5 ,2023
1. Susukan, - , - , - , - , - , - , - , - ,2024
2. Purwareja Klampok, - , 1 , - , - , - , - , - , 2 ,2024
3. Mandiraja, - , 56 , - , - , - , - , - , 6 ,2024
4. Purwanegara, - , 145 , - , - , - , 15 , - , 383 ,2024
5. Bawang, - , 198 , - , - , - , 18 , - , 430 ,2024
6. Banjarnegara, - , - , - , - , - , - , - , 3 ,2024
7. Pagedongan, - , - , - , - , - , - , - , 46 ,2024
8. Sigaluh, - , 2 , - , - , - , - , - , 3 ,2024
9. Madukara, - , - , - , - , - , - , - , 7 ,2024
10. Banjarmangu, - , - , - , - , - , - , - , 6 ,2024
11. Wanadadi, - , 6 , - , - , - , 5 , - , 27 ,2024
12. Rakit, - , 14 , - , - , - , 2 , - , 10 ,2024
13. Punggelan, - , - , - , - , - , 2 , - , 7 ,2024
14. Karangkobar, - , 290 , - , 55 , 30 , 56 , - , 219 ,2024
15. Pagentan, - , 944 , - , 94 , 74 , 293 , - , 636 ,2024
16. Pejawaran, - , 910 ," 1,326 ", 242 , 94 , 707 , - ," 3,105 ",2024
17. Batur, - , - ," 6,035 "," 1,170 ", - , - , - , - ,2024
18. Wanayasa, - , 571 , 269 , 243 , 50 , 78 , - , 358 ,2024
19. Kalibening, - , 321 , 14 , 115 , 31 , 57 , - , 227 ,2024
20. Pandanarum, - , 115 , - , - , - , - , - , 68 ,2024
