Kecamatan,Jala Tebar Produksi (Kg),Jala Tebar Nilai (Ribu Rupiah),Pancing Produksi (Kg),Pancing Nilai (Ribu Rupiah),Jaring Ingsang Produksi (Kg),Jaring Ingsang Nilai (Ribu Rupiah),Lainnya Produksi (Kg),Lainnya Nilai (Ribu Rupiah),Tahun
Susukan,0,0,0,0,0,0,0,0,2024
Purwareja Klampok,34109,698541.02,0,0,0,0,0,0,2024
Mandiraja,32465,662823.85,0,0,0,0,0,0,2024
Purwanegara,0,0,0,0,0,0,45329,890928.45,2024
Bawang,0,0,31602,717578.92,0,0,2118,48805,2024
Banjarnegara,0,0,0,0,0,0,0,0,2024
Pagedongan,0,0,0,0,0,0,0,0,2024
Sigaluh,0,0,43309,990512.51,0,0,0,0,2024
Madukara,0,0,0,0,0,0,0,0,2024
Banjarmangu,0,0,0,0,0,0,0,0,2024
Wanadadi,9122,204114,0,0,103344,2049283,66804,2053956,2024
Rakit,0,0,0,0,0,0,33606,659497.26,2024
Punggelan,0,0,0,0,0,0,0,0,2024
Karangkobar,0,0,0,0,0,0,0,0,2024
Pagentan,0,0,0,0,0,0,0,0,2024
Pejawaran,0,0,102021,2357078.04,0,0,0,0,2024
Batur,1011,21816,2944,65043,0,0,0,0,2024
Wanayasa,0,0,0,0,0,0,0,0,2024
Kalibening,33466,683925.55,0,0,0,0,34315,674312.02,2024
Pandanarum,0,0,0,0,0,0,0,0,2024
