Kecamatan,Mangga,Durian,Jeruk Besar,Pisang,Pepaya,Salak,Jeruk Siam,Tahun 
Banjarmangu, 233 ," 1,488 ", - ," 4,618 ", 404 ," 96,282 ", 58 ,2022
Wanadadi, - , 37 , - , 603 , 998 , 914 , 2 ,2022
Rakit, - , 1 , - , 31 , - , - , 10 ,2022
Punggelan, - ," 5,476 ", - , 681 , 13 , 328 , - ,2022
Karangkobar, - , 9 , - ," 11,476 ", - ," 17,425 ", - ,2022
Pagentan, 1 , 7 , 6 , 643 , 53 ," 73,238 ", 0 ,2022
Pejawaran, - , - , - ," 1,092 ", - , 171 , - ,2022
Batur, - , - , - , 120 ," 2,788 ", - , - ,2022
Wanayasa, - , - , - , - , - , - , - ,2022
Kalibening, - , - , - , 210 , 48 ," 9,600 ", - ,2022
Pandanarum, - , 1 , - , 240 , - , 72 , - ,2022
Susukan, - , 382 , - , - , 16 , - , - ,2023
Purwareja Klampok, 96 , 4 , - , 48 , 7 , - , - ,2023
Mandiraja, - , 28 , - , 350 , 44 , - , - ,2023
Purwanegara, 159 , 413 , 25 , 56 ," 3,290 ", - , - ,2023
Bawang, - , 32 , - , 25 , 15 , 35 , - ,2023
Banjarnegara, - , 55 , - , 42 , 8 ," 2,134 ", 2 ,2023
Pagedongan, - , 49 , - , - , - , - , - ,2023
Sigaluh, - , 334 , - ," 2,074 ", 24 , 390 , - ,2023
Madukara, - , 40 , - , 40 , 3 ," 10,160 ", - ,2023
Banjarmangu, - , 145 , - , 31 , 17 ," 40,100 ", - ,2023
Wanadadi, - , 277 , - , 467 , 261 ," 5,747 ", - ,2023
Rakit, - , 3 , - , 19 , 54 , - , - ,2023
Punggelan," 1,320 "," 288,325 ", - ," 11,700 ", 162 ," 1,552 ", - ,2023
Karangkobar, - , 6 , - ," 18,921 ", - ," 3,389 ", 0 ,2023
Pagentan, - , 1 , 1 , 14 , 4 ," 1,186 ", - ,2023
Pejawaran, - , - , - , 358 , - , 39 , - ,2023
Batur, - , - , - , 79 , 568 , - , - ,2023
Wanayasa, - , - , - , - , - , - , - ,2023
Kalibening, - , - , - ," 1,827 ", 27 ," 4,550 ", - ,2023
Pandanarum, - , - , - , 80 , - , - , - ,2023
Susukan, - , 11 , - , - , - , - , - ,2024
Purwareja Klampok, 88 , 0 , - , 6 , 5 , - , - ,2024
Mandiraja, 3 , 34 , - , 74 , 60 , 0 , - ,2024
Purwanegara, - ," 1,013 ", 347 , 905 ," 9,112 ", - , - ,2024
Bawang, - , - , - , - , - , - , - ,2024
Banjarnegara, - , 60 , - , 69 , 5 ," 2,495 ", 4 ,2024
Pagedongan, 13 , 12 , - , - , - ," 1,341 ", - ,2024
Sigaluh, 120 ," 2,853 ", - , 309 , 110 ," 3,442 ", - ,2024
Madukara, 10 , 54 , - ," 1,552 "," 1,160 "," 23,640 ", - ,2024
Banjarmangu, 175 , 266 , - , 524 , 740 ," 9,230 ", - ,2024
Wanadadi, 8 , 60 , - , 275 , 174 ," 60,472 ", - ,2024
Rakit, - , 11 , - , 53 , 82 , - , 0 ,2024
Punggelan, 159 , 980 , - , 940 , 20 , 97 , - ,2024
Karangkobar, - , 10 , - ," 6,845 ", - ," 6,186 ", - ,2024
Pagentan, 1 , 45 , 8 , 8 , 4 ," 11,700 ", 1 ,2024
Pejawaran, - , - , - , 347 , - , 40 , 20 ,2024
Batur, - , - , - , 86 , 569 , - , - ,2024
Wanayasa, - , - , - , - , - , 153 , - ,2024
Kalibening, - , - , - ," 16,000 ", 643 ," 80,880 ", - ,2024
Pandanarum, - , 3 , - ," 2,600 ", - , - , - ,2024
