Kecamatan,Kelapa Sawit (ha) 2017,Kelapa Dalam (ha) 2017,Karet (ha) 2017,Kopi Robusta (ha) 2017,Kakao (ha) 2017,Tebu (ha) 2017,Teh (ha) 2017,Tembakau (ha) 2017,Kelapa Sawit (ha) 2018,Kelapa Dalam (ha) 2018,Karet (ha) 2018,Kopi Robusta (ha) 2018,Kakao (ha) 2018,Tebu (ha) 2018,Teh (ha) 2018,Tembakau (ha) 2018,Kelapa Sawit (ha) 2019,Kelapa Dalam (ha) 2019,Karet (ha) 2019,Kopi Robusta (ha) 2019,Kakao (ha) 2019,Tebu (ha) 2019,Teh (ha) 2019,Tembakau (ha) 2019,Kelapa Sawit (ha) 2020,Kelapa Dalam (ha) 2020,Karet (ha) 2020,Kopi Robusta (ha) 2020,Kakao (ha) 2020,Tebu (ha) 2020,Teh (ha) 2020,Tembakau (ha) 2020,Kelapa Sawit (ha) 2021,Kelapa Dalam (ha) 2021,Karet (ha) 2021,Kopi Robusta (ha) 2021,Kakao (ha) 2021,Tebu (ha) 2021,Teh (ha) 2021,Tembakau (ha) 2021,Kopi Arabica (ha) 2021,Kelapa Sawit (ha) 2022,Kelapa Dalam (ha) 2022,Karet (ha) 2022,Kopi Robusta (ha) 2022,Kakao (ha) 2022,Tebu (ha) 2022,Teh (ha) 2022,Tembakau (ha) 2022,Kopi Arabica (ha) 2022,Kelapa Sawit (ha) 2023,Kelapa Dalam (ha) 2023,Karet (ha) 2023,Kopi Robusta (ha) 2023,Kakao (ha) 2023,Tebu (ha) 2023,Teh (ha) 2023,Tembakau (ha) 2023,Kopi Arabica (ha) 2023,Kelapa Sawit (ha) 2024,Kelapa Dalam (ha) 2024,Karet (ha) 2024,Kopi Robusta (ha) 2024,Kakao (ha) 2024,Tebu (ha) 2024,Teh (ha) 2024,Tembakau (ha) 2024,Kopi Arabica (ha) 2024,Tahun
Rakit,0,,0,,5.28,11.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rakit,,,,,,,,,0,778,2,17.04,5.28,5.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Rakit,,,,,,,,,,,,,,,,,0,778,2,17.04,6.78,4.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,778,0,17.04,6.78,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722.5,0,17.04,6.78,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,778,2,17.04,6.78,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,778,2,17.04,6.28,0,0,0,0,,,,,,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,778,2,17.04,6.28,0,0,0,0,2024
Sigaluh,0,,0,,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Sigaluh,,,,,,,,,0,781.54,0,56.75,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Sigaluh,,,,,,,,,,,,,,,,,0,781.54,0,58.75,6.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,781.54,0,71.63,6.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,781.54,0,71.63,6.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,781.54,0,71.63,6.5,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,781.54,0,71.63,6.5,0,0,0,0,,,,,,,,,,2023
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,781.54,0,71.63,6.5,0,0,0,0,2024
Susukan,0,,0,,0,4.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Susukan,,,,,,,,,0,2331.42,0,31.24,0,4.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Susukan,,,,,,,,,,,,,,,,,0,2336.42,0,31.24,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,2336.42,0,31.24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2336.42,0,31.24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2336.42,0,31.24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2343.22,0,32.56,0,0,0,0,0,,,,,,,,,,2023
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2343.22,0,32.56,0,0,0,0,0,2024
Wanadadi,0,,0,,3.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanadadi,,,,,,,,,0,720.5,0,115.5,3.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanadadi,,,,,,,,,,,,,,,,,0,720.5,0,115.5,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,722.5,0,118.5,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722.5,0,118.5,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722.5,0,118.5,17,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722.5,0,118.5,17,0,0,0,0,,,,,,,,,,2023
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722.5,0,118.5,17,0,0,0,0,2024
Wanayasa,0,,0,,0,0,573,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanayasa,,,,,,,,,0,6.67,0,174.5,0,0,573,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanayasa,,,,,,,,,,,,,,,,,0,6.67,0,174.5,0,0,669.22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,0,176.5,0,0,669.22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.67,0,176.5,0,0,669.22,6.25,81.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.67,0,176.5,0,0,669.22,6.56,81.56,,,,,,,,,,,,,,,,,,,2022
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.67,0,176.5,0,0,669.22,6.56,90.56,,,,,,,,,,2023
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.67,0,176.5,0,0,669.22,7.5,90.56,2024
Batur,0,,0,,0,0,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Batur,,,,,,,,,0,0,0,12.5,0,0,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Batur,,,,,,,,,,,,,,,,,0,0,0,4.5,0,0,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14,18.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14,21,22,,,,,,,,,,,,,,,,,,,2022
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14,32,33,,,,,,,,,,2023
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14,23,33,2024
