Kecamatan,Kelapa Sawit (ha) 2017,Kelapa Dalam (ha) 2017,Karet (ha) 2017,Kopi Robusta (ha) 2017,Kakao (ha) 2017,Tebu (ha) 2017,Teh (ha) 2017,Tembakau (ha) 2017,Kelapa Sawit (ha) 2018,Kelapa Dalam (ha) 2018,Karet (ha) 2018,Kopi Robusta (ha) 2018,Kakao (ha) 2018,Tebu (ha) 2018,Teh (ha) 2018,Tembakau (ha) 2018,Kelapa Sawit (ha) 2019,Kelapa Dalam (ha) 2019,Karet (ha) 2019,Kopi Robusta (ha) 2019,Kakao (ha) 2019,Tebu (ha) 2019,Teh (ha) 2019,Tembakau (ha) 2019,Kelapa Sawit (ha) 2020,Kelapa Dalam (ha) 2020,Karet (ha) 2020,Kopi Robusta (ha) 2020,Kakao (ha) 2020,Tebu (ha) 2020,Teh (ha) 2020,Tembakau (ha) 2020,Kelapa Sawit (ha) 2021,Kelapa Dalam (ha) 2021,Karet (ha) 2021,Kopi Robusta (ha) 2021,Kakao (ha) 2021,Tebu (ha) 2021,Teh (ha) 2021,Tembakau (ha) 2021,Kopi Arabica (ha) 2021,Kelapa Sawit (ha) 2022,Kelapa Dalam (ha) 2022,Karet (ha) 2022,Kopi Robusta (ha) 2022,Kakao (ha) 2022,Tebu (ha) 2022,Teh (ha) 2022,Tembakau (ha) 2022,Kopi Arabica (ha) 2022,Kelapa Sawit (ha) 2023,Kelapa Dalam (ha) 2023,Karet (ha) 2023,Kopi Robusta (ha) 2023,Kakao (ha) 2023,Tebu (ha) 2023,Teh (ha) 2023,Tembakau (ha) 2023,Kopi Arabica (ha) 2023,Kelapa Sawit (ha) 2024,Kelapa Dalam (ha) 2024,Karet (ha) 2024,Kopi Robusta (ha) 2024,Kakao (ha) 2024,Tebu (ha) 2024,Teh (ha) 2024,Tembakau (ha) 2024,Kopi Arabica (ha) 2024,Tahun
Karangkobar,,,,,,,,,,,,,,,,,0,28.23,0,246.3,0,0,148.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,28.23,0,261.3,0,0,148.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.23,0,261.3,0,0,148.3,2,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.23,0,261.3,0,0,148.3,2,44.3,,,,,,,,,,,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.23,0,261.3,0,0,148.3,5,54.3,,,,,,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.23,0,261.3,0,0,148.3,5,54.3,2024
Madukara,0,,0,,0,1.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Madukara,,,,,,,,,0,780,0,51,0,1.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Madukara,,,,,,,,,,,,,,,,,0,774.87,0,51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,774.87,0,51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,774.87,0,51,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,774.87,0,51,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,774.87,0,51,0,0,0,0,0,,,,,,,,,,2023
