Kecamatan,Kulit Sapi/Kerbau (lembar),Kulit Kambing/Domba (lembar),Susu Sapi (liter),Tahun 
Pagedongan, 29 , 140 , - ,2024
Sigaluh, 76 , 129 , - ,2024
Madukara, 75 , 213 , - ,2024
Banjarmangu, 147 , 274 , - ,2024
Wanadadi, 162 , 93 ," 10,267 ",2024
Rakit, 86 , 114 , - ,2024
Punggelan, 198 , 576 , - ,2024
Karangkobar, 53 , 520 , - ,2024
Pagentan, 124 , 345 , - ,2024
Pejawaran, 210 , 269 , - ,2024
Batur, 228 , 216 , - ,2024
Wanayasa, 592 , 390 , - ,2024
Kalibening, 109 , 367 , - ,2024
Pandanarum, 81 , 298 , - ,2024
