Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
sigaluh - prigi,5,0.08,0.05,0.15,1.00,0.03,0.17,64.76,84,
sigaluh - gembongan,5,0.08,0.06,0.15,1.00,0.06,0.09,66.40,58,
sigaluh - kemiri,6,0.11,0.03,0.15,1.00,0.01,0.07,69.87,22,
sigaluh - karangmangu,6,0.12,0.04,0.14,1.00,0.08,0.06,69.77,23,
sigaluh - wanacipta,4,0.04,0.04,0.15,1.00,0.25,0.01,59.11,176,
sigaluh - sigaluh,5,0.06,0.07,0.13,1.00,0.15,0.03,66.10,63,
sigaluh - singamerta,5,0.06,0.05,0.12,1.00,0.02,0.06,68.61,34,
madukara - kenteng,5,0.03,0.04,0.12,1.00,0.03,0.04,65.94,66,
madukara - rejasa,5,0.02,0.07,0.08,1.00,0.02,0.05,68.72,33,
madukara - limbangan,6,0.08,0.03,0.11,1.00,0.01,0.04,70.03,20,
madukara - penawangan,6,0.09,0.03,0.09,1.00,0.08,0.04,69.73,24,
madukara - talunamba,6,0.13,0.06,0.15,1.00,0.04,0.06,72.63,9,
madukara - madukara,5,0.05,0.04,0.16,1.00,0.00,0.06,66.00,65,
madukara - kutayasa,5,0.03,0.05,0.15,1.00,0.03,0.03,66.28,60,
madukara - pekauman,5,0.08,0.06,0.17,1.00,0.00,0.04,69.43,27,
madukara - pagelak,4,0.03,0.05,0.24,1.00,0.05,0.04,61.01,140,
madukara - dawuhan,5,0.07,0.04,0.17,1.00,0.01,0.10,65.54,74,
madukara - bantarwaru,5,0.04,0.05,0.18,1.00,0.00,0.07,64.69,86,
madukara - sered,4,0.06,0.03,0.20,1.00,0.06,0.06,62.57,115,
madukara - petambakan,6,0.03,0.08,0.07,1.00,0.01,0.07,70.79,18,
madukara - rakitan,5,0.08,0.04,0.17,1.00,0.06,0.08,64.70,85,
madukara - blitar,4,0.07,0.03,0.22,1.00,0.17,0.06,58.57,188,
madukara - kaliurip,5,0.10,0.05,0.13,1.00,0.00,0.15,68.59,35,
madukara - karanganyar,6,0.15,0.03,0.15,1.00,0.00,0.04,74.51,5,
madukara - gununggiana,5,0.10,0.02,0.19,1.00,0.01,0.08,65.80,69,
madukara - clapar,5,0.09,0.05,0.08,1.00,0.11,0.08,69.59,26,
madukara - pakelen,5,0.14,0.05,0.11,1.00,0.28,0.08,65.73,70,
banjarmangu - jenggawur,5,0.06,0.02,0.14,1.00,0.05,0.05,65.09,80,
banjarmangu - banjarkulon,4,0.05,0.04,0.21,1.00,0.06,0.04,62.54,116,
banjarmangu - banjarmangu,4,0.03,0.03,0.19,1.00,0.05,0.04,61.57,126,
banjarmangu - rejasari,4,0.07,0.02,0.25,1.00,0.00,0.05,61.69,124,
banjarmangu - kesenet,4,0.05,0.09,0.17,1.00,0.12,0.09,62.75,112,
banjarmangu - kalilunjar,5,0.08,0.03,0.16,1.00,0.02,0.10,65.15,79,
banjarmangu - sijeruk,4,0.08,0.03,0.15,1.00,0.19,0.09,60.88,142,
banjarmangu - kendaga,4,0.06,0.06,0.15,1.00,0.17,0.14,59.31,171,
banjarmangu - gripit,4,0.07,0.04,0.22,1.00,0.19,0.03,59.45,168,
banjarmangu - pekandangan,3,0.04,0.03,0.22,1.00,0.16,0.08,55.38,226,
banjarmangu - sigeblog,3,0.10,0.02,0.24,1.00,0.22,0.13,54.31,235,
banjarmangu - paseh,4,0.08,0.03,0.21,1.00,0.07,0.09,61.43,131,
banjarmangu - sipedang,3,0.09,0.03,0.24,1.00,0.27,0.15,52.52,245,
banjarmangu - sijenggung,5,0.11,0.03,0.15,1.00,0.06,0.09,67.25,47,
banjarmangu - beji,4,0.07,0.04,0.20,1.00,0.05,0.12,61.48,130,
banjarmangu - prendengan,3,0.05,0.08,0.19,1.00,0.30,0.12,54.95,231,
banjarmangu - majatengah,5,0.18,0.01,0.34,1.00,0.01,0.07,65.02,81,
wanadadi - kasilib,4,0.06,0.01,0.22,1.00,0.08,0.05,59.37,169,
wanadadi - tapen,5,0.09,0.05,0.14,1.00,0.11,0.07,66.92,51,
wanadadi - karangjambe,4,0.03,0.05,0.18,1.00,0.12,0.03,61.50,129,
wanadadi - wanadadi,5,0.07,0.06,0.11,1.00,0.09,0.07,67.60,39,
wanadadi - wanakarsa,4,0.06,0.10,0.21,1.00,0.21,0.06,60.56,148,
wanadadi - lemahjaya,4,0.07,0.05,0.25,1.00,0.09,0.12,57.74,199,
wanadadi - karangkemiri,1,0.02,0.02,0.34,1.00,0.48,0.07,37.24,278,
wanadadi - kandangwangi,3,0.06,0.05,0.27,1.00,0.16,0.13,53.90,238,
wanadadi - medayu,3,0.06,0.04,0.20,1.00,0.21,0.11,55.87,222,
wanadadi - linggasari,4,0.08,0.10,0.21,1.00,0.16,0.14,61.05,138,
wanadadi - gumingsir,4,0.05,0.06,0.22,1.00,0.02,0.07,64.22,91,
rakit - pingit,4,0.04,0.04,0.21,1.00,0.09,0.10,57.71,201,
rakit - situwangi,4,0.01,0.06,0.21,1.00,0.06,0.05,60.31,152,
rakit - gelang,4,0.01,0.05,0.18,1.00,0.16,0.04,58.00,195,
rakit - rakit,5,0.02,0.07,0.13,1.00,0.04,0.05,65.90,67,
rakit - adipasir,4,0.02,0.05,0.14,1.00,0.09,0.07,61.51,128,
rakit - bandingan,4,0.06,0.04,0.19,1.00,0.11,0.10,59.86,160,
rakit - kincang,4,0.02,0.04,0.19,1.00,0.05,0.08,60.61,147,
rakit - badamita,4,0.04,0.03,0.18,1.00,0.05,0.11,59.56,166,
rakit - tanjunganom,4,0.04,0.02,0.13,1.00,0.09,0.07,61.87,122,
rakit - luwung,5,0.05,0.06,0.12,1.00,0.04,0.06,67.59,40,
rakit - lengkong,4,0.04,0.06,0.18,1.00,0.03,0.13,61.08,136,
punggelan - sambong,4,0.11,0.03,0.24,1.00,0.17,0.12,57.36,205,
punggelan - danakerta,3,0.09,0.04,0.27,1.00,0.16,0.13,55.25,227,
punggelan - klapa,4,0.12,0.05,0.37,1.00,0.07,0.12,57.46,203,
punggelan - kecepit,5,0.06,0.04,0.13,1.00,0.04,0.10,65.43,75,
punggelan - karangsari,4,0.08,0.03,0.25,1.00,0.08,0.12,58.28,192,
punggelan - tribuana,4,0.09,0.02,0.20,1.00,0.18,0.09,59.02,177,
punggelan - sawangan,4,0.09,0.04,0.20,1.00,0.07,0.09,63.40,101,
punggelan - sidarata,3,0.06,0.05,0.25,1.00,0.19,0.10,55.88,221,
punggelan - badakarya,3,0.08,0.06,0.23,1.00,0.29,0.14,53.40,242,
punggelan - punggelan,4,0.09,0.06,0.15,1.00,0.20,0.19,58.98,180,
punggelan - jembangan,3,0.10,0.04,0.29,1.00,0.29,0.14,50.54,254,
punggelan - purwasana,4,0.09,0.04,0.14,1.00,0.09,0.17,63.39,102,
punggelan - petuguran,3,0.09,0.05,0.24,1.00,0.19,0.26,51.53,248,
punggelan - bondolharjo,3,0.08,0.03,0.23,1.00,0.30,0.15,50.26,259,
punggelan - tanjungtirta,2,0.12,0.04,0.39,1.00,0.32,0.17,45.32,273,
punggelan - tlaga,4,0.09,0.03,0.23,1.00,0.03,0.20,58.56,189,
punggelan - mlaya,3,0.10,0.05,0.32,1.00,0.21,0.17,51.16,249,
karangkobar - paweden,4,0.07,0.05,0.34,1.00,0.03,0.03,59.16,173,
karangkobar - gumelar,5,0.10,0.02,0.11,1.00,0.18,0.02,66.33,59,
karangkobar - purwodadi,4,0.06,0.03,0.27,1.00,0.05,0.04,60.04,159,
karangkobar - sampang,4,0.11,0.03,0.20,1.00,0.17,0.06,61.67,125,
karangkobar - slatri,4,0.16,0.02,0.33,1.00,0.04,0.09,62.96,108,
karangkobar - pagerpelah,4,0.13,0.03,0.37,1.00,0.05,0.06,59.66,164,
karangkobar - pasuruhan,5,0.13,0.02,0.21,1.00,0.01,0.05,69.05,29,
karangkobar - karanggondang,4,0.05,0.06,0.33,1.00,0.01,0.04,58.97,181,
karangkobar - jlegong,3,0.09,0.06,0.32,1.00,0.33,0.02,52.74,244,
karangkobar - ambal,2,0.08,0.05,0.34,1.00,0.41,0.04,46.99,269,
karangkobar - binangun,4,0.06,0.04,0.14,1.00,0.14,0.06,62.87,111,
karangkobar - karangkobar,4,0.02,0.05,0.14,1.00,0.11,0.05,62.46,117,
karangkobar - leksana,4,0.02,0.03,0.12,1.00,0.09,0.04,62.98,107,
pagentan - larangan,6,0.11,0.02,0.09,1.00,0.06,0.08,70.05,19,
pagentan - karangnangka,5,0.13,0.04,0.19,1.00,0.01,0.09,68.84,31,
pagentan - aribaya,5,0.12,0.02,0.10,1.00,0.13,0.11,67.20,48,
pagentan - nagasari,4,0.15,0.05,0.15,1.00,0.30,0.08,63.39,103,
pagentan - gumingsir,5,0.16,0.04,0.22,1.00,0.19,0.07,64.95,83,
pagentan - sokaraja,4,0.08,0.03,0.11,1.00,0.25,0.08,61.03,139,
pagentan - kayuares,5,0.10,0.04,0.23,1.00,0.05,0.08,64.35,90,
pagentan - metawana,5,0.10,0.03,0.15,1.00,0.03,0.10,66.77,52,
pagentan - kalitlaga,3,0.07,0.04,0.22,1.00,0.28,0.05,56.04,220,
pagentan - karekan,5,0.12,0.04,0.09,1.00,0.13,0.10,68.78,32,
pagentan - plumbungan,5,0.13,0.03,0.09,1.00,0.26,0.08,64.61,87,
pagentan - pagentan,4,0.07,0.04,0.21,1.00,0.09,0.10,60.56,149,
pagentan - kasmaran,6,0.10,0.04,0.11,1.00,0.00,0.06,71.84,12,
pagentan - majasari,6,0.12,0.03,0.07,1.00,0.00,0.11,73.35,6,
pagentan - babadan,3,0.11,0.03,0.20,1.00,0.29,0.11,56.27,218,
pagentan - tegaljeruk,5,0.12,0.05,0.27,1.00,0.00,0.06,66.28,61,
pejawaran - kalilunjar,4,0.11,0.02,0.22,1.00,0.15,0.04,62.72,113,
pejawaran - karangsari,4,0.06,0.03,0.17,1.00,0.10,0.05,63.34,104,
pejawaran - sarwodadi,6,0.21,0.03,0.18,1.00,0.01,0.10,74.69,3,
pejawaran - grogol,5,0.17,0.04,0.26,1.00,0.00,0.13,67.70,37,
pejawaran - giritirta,5,0.08,0.04,0.20,1.00,0.01,0.06,65.90,68,
pejawaran - biting,2,0.07,0.03,0.32,1.00,0.45,0.03,45.31,274,
pejawaran - tlahab,4,0.07,0.06,0.33,1.00,0.06,0.03,60.30,154,
pejawaran - darmayasa,4,0.11,0.03,0.17,1.00,0.25,0.11,59.14,175,
pejawaran - pejawaran,3,0.11,0.04,0.26,1.00,0.31,0.11,53.79,239,
pejawaran - penusupan,2,0.06,0.05,0.24,1.00,0.48,0.07,48.14,266,
pejawaran - ratamba,4,0.10,0.05,0.26,1.00,0.15,0.06,60.47,150,
pejawaran - sidengok,4,0.10,0.04,0.22,1.00,0.08,0.08,63.49,99,
pejawaran - pegundungan,4,0.19,0.05,0.27,1.00,0.40,0.08,57.97,197,
pejawaran - beji,6,0.17,0.07,0.24,1.00,0.07,0.05,71.42,13,
pejawaran - semangkung,5,0.12,0.05,0.26,1.00,0.50,0.05,67.45,43,
pejawaran - condongcampur,5,0.10,0.04,0.21,1.00,0.01,0.08,66.19,62,
pejawaran - gembol,3,0.06,0.06,0.23,1.00,0.41,0.05,51.85,247,
batur - batur,2,0.06,0.03,0.18,1.00,0.20,0.32,48.47,265,
batur - sumberejo,4,0.10,0.03,0.24,1.00,0.05,0.18,58.85,184,
batur - pasurenan,4,0.03,0.07,0.30,1.00,0.00,0.07,59.14,174,
batur - pekasiran,3,0.10,0.02,0.31,1.00,0.03,0.19,55.41,225,
batur - kepakisan,3,0.11,0.03,0.28,1.00,0.24,0.20,50.78,253,
batur - bakal,4,0.08,0.04,0.25,1.00,0.02,0.19,58.91,183,
batur - karangtengah,3,0.08,0.02,0.15,1.00,0.18,0.19,56.43,216,
batur - dieng kulon,6,0.03,0.20,0.15,1.00,0.07,0.08,72.11,10,
wanayasa - karangtengah,4,0.14,0.04,0.38,1.00,0.01,0.08,60.96,141,
wanayasa - suwidak,2,0.16,0.05,0.36,1.00,0.47,0.11,47.87,267,
wanayasa - bantar,4,0.09,0.05,0.37,1.00,0.02,0.09,58.69,187,
wanayasa - pandansari,4,0.12,0.06,0.40,1.00,0.01,0.14,57.49,202,
wanayasa - pagergunung,4,0.08,0.04,0.33,1.00,0.02,0.08,58.98,178,
wanayasa - dawuhan,3,0.08,0.05,0.38,1.00,0.05,0.06,56.54,215,
wanayasa - kubang,3,0.06,0.07,0.34,1.00,0.26,0.10,50.00,262,
wanayasa - susukan,3,0.08,0.05,0.36,1.00,0.13,0.09,54.30,236,
wanayasa - wanayasa,4,0.09,0.06,0.32,1.00,0.01,0.18,58.24,193,
wanayasa - pesantren,4,0.07,0.04,0.25,1.00,0.00,0.09,62.58,114,
wanayasa - balun,3,0.09,0.03,0.31,1.00,0.01,0.16,56.78,213,
wanayasa - tempuran,4,0.10,0.04,0.25,1.00,0.01,0.16,61.06,137,
wanayasa - wanaraja,2,0.05,0.02,0.36,1.00,0.00,0.42,40.78,275,
wanayasa - jatilawang,3,0.06,0.06,0.28,1.00,0.06,0.25,52.23,246,
wanayasa - legoksayem,5,0.13,0.03,0.23,1.00,0.02,0.05,67.25,46,
wanayasa - kasimpar,5,0.12,0.05,0.17,1.00,0.01,0.18,67.02,49,
wanayasa - penanggungan,4,0.12,0.03,0.24,1.00,0.00,0.27,58.52,190,
kalibening - kalibening,5,0.04,0.11,0.13,1.00,0.07,0.13,66.53,55,
kalibening - asinan,2,0.12,0.04,0.33,1.00,0.49,0.09,45.93,271,
kalibening - sembawa,4,0.13,0.04,0.20,1.00,0.35,0.07,58.18,194,
kalibening - kalibombong,4,0.11,0.04,0.14,1.00,0.19,0.13,62.18,118,
kalibening - majatengah,4,0.03,0.06,0.20,1.00,0.11,0.11,57.99,196,
kalibening - kalisat kidul,3,0.09,0.03,0.29,1.00,0.27,0.11,50.95,252,
kalibening - sirukem,3,0.08,0.04,0.39,1.00,0.05,0.04,56.69,214,
kalibening - kertosari,5,0.10,0.04,0.18,1.00,0.00,0.09,67.39,45,
kalibening - sidakangen,5,0.07,0.05,0.12,1.00,0.03,0.10,67.50,42,
kalibening - sikumpul,5,0.07,0.03,0.16,1.00,0.01,0.08,65.28,76,
kalibening - gununglangit,4,0.07,0.04,0.19,1.00,0.17,0.08,60.14,156,
kalibening - bedana,3,0.09,0.02,0.20,1.00,0.30,0.07,55.71,223,
kalibening - sirukun,5,0.09,0.03,0.19,1.00,0.02,0.07,66.01,64,
kalibening - karanganyar,4,0.06,0.03,0.28,1.00,0.04,0.05,59.56,167,
kalibening - plorengan,2,0.08,0.04,0.30,1.00,0.37,0.14,45.98,270,
kalibening - kasinoman,3,0.08,0.03,0.19,1.00,0.03,0.33,54.83,232,
pandanarum - pandanarum,3,0.08,0.04,0.21,1.00,0.04,0.30,55.14,228,
pandanarum - sinduaji,3,0.12,0.04,0.28,1.00,0.23,0.14,54.74,233,
pandanarum - pasegeran,5,0.22,0.03,0.19,1.00,0.03,0.32,65.66,71,
pandanarum - pingit lor,6,0.17,0.04,0.16,1.00,0.00,0.15,71.39,14,
pandanarum - lawen,3,0.10,0.08,0.17,1.00,0.30,0.19,56.97,210,
pandanarum - sirongge,3,0.08,0.03,0.22,1.00,0.01,0.26,57.10,208,
pandanarum - pringamba,3,0.10,0.05,0.20,1.00,0.33,0.16,53.63,240,
pandanarum - beji,4,0.10,0.03,0.18,1.00,0.10,0.21,58.44,191,
pagedongan - pagedongan,2,0.07,0.05,0.17,1.00,0.23,0.32,49.34,264,
pagedongan - gunungjati,5,0.13,0.08,0.13,1.00,0.25,0.14,64.39,89,
pagedongan - twelagiri,3,0.07,0.02,0.17,1.00,0.19,0.13,56.99,209,
pagedongan - kebutuhduwur,4,0.09,0.07,0.12,1.00,0.14,0.27,60.39,151,
pagedongan - kebutuhjurang,2,0.08,0.05,0.21,1.00,0.39,0.41,40.11,276,
pagedongan - pesangkalan,2,0.07,0.01,0.22,1.00,0.33,0.39,38.90,277,
pagedongan - duren,3,0.13,0.06,0.27,1.00,0.37,0.14,52.98,243,
pagedongan - lebakwangi,4,0.13,0.03,0.13,1.00,0.21,0.21,59.73,161,
pagedongan - gentansari,3,0.12,0.05,0.22,1.00,0.11,0.43,50.38,256,
