Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
purworeja klampok - kalimandi,4,0.04,0.07,0.17,1.00,0.07,0.03,63.72,132,
purworeja klampok - kaliwinasuh,4,0.03,0.04,0.22,1.00,0.06,0.03,60.71,193,
mandiraja - jalatunda,4,0.05,0.02,0.22,1.00,0.18,0.11,55.83,257,
mandiraja - somawangi,4,0.04,0.03,0.14,1.00,0.11,0.12,59.72,212,
mandiraja - kaliwungu,4,0.05,0.03,0.08,1.00,0.02,0.09,65.50,90,
mandiraja - kebanaran,4,0.04,0.02,0.11,1.00,0.04,0.13,61.22,184,
mandiraja - glempang,4,0.02,0.05,0.12,1.00,0.02,0.14,60.23,201,
mandiraja - salamerta,4,0.03,0.04,0.14,1.00,0.07,0.12,60.08,204,
mandiraja - purwasaba,4,0.02,0.04,0.10,1.00,0.05,0.07,62.85,152,
mandiraja - blimbing,4,0.02,0.06,0.09,1.00,0.04,0.02,65.55,87,
mandiraja - panggisari,4,0.03,0.03,0.15,1.00,0.00,0.06,61.98,173,
mandiraja - candiwulan,4,0.03,0.03,0.18,1.00,0.10,0.03,60.26,200,
mandiraja - simbang,4,0.03,0.05,0.04,1.00,0.07,0.04,67.21,50,
mandiraja - kertayasa,4,0.03,0.05,0.24,1.00,0.16,0.06,57.55,244,
mandiraja - banjengan,4,0.03,0.05,0.05,1.00,0.04,0.02,67.84,41,
mandiraja - mandiraja kulon,4,0.01,0.06,0.07,1.00,0.02,0.03,66.00,82,
mandiraja - kebakalan,4,0.03,0.03,0.17,1.00,0.03,0.01,62.88,151,
mandiraja - mandiraja wetan,4,0.01,0.04,0.09,1.00,0.02,0.04,64.12,121,
purwanegara - kalitengah,4,0.11,0.02,0.15,1.00,0.21,0.10,63.41,142,
purwanegara - merden,4,0.06,0.04,0.05,1.00,0.06,0.11,66.50,62,
purwanegara - karanganyar,4,0.08,0.02,0.10,1.00,0.12,0.10,64.17,119,
purwanegara - kaliajir,4,0.08,0.03,0.21,1.00,0.33,0.10,57.73,239,
purwanegara - petir,4,0.10,0.03,0.14,1.00,0.18,0.14,62.65,155,
purwanegara - pucungbedug,4,0.06,0.04,0.19,1.00,0.21,0.08,59.49,215,
purwanegara - parakan,4,0.08,0.03,0.11,1.00,0.06,0.13,64.65,109,
purwanegara - mertasari,4,0.06,0.03,0.09,1.00,0.04,0.07,66.11,78,
purwanegara - danaraja,4,0.03,0.03,0.05,1.00,0.04,0.06,66.22,76,
purwanegara - purwonegoro,4,0.03,0.04,0.04,1.00,0.01,0.07,66.27,72,
purwanegara - kalipelus,4,0.04,0.03,0.11,1.00,0.05,0.05,64.01,122,
purwanegara - gumiwang,4,0.03,0.03,0.18,1.00,0.07,0.08,59.54,213,
purwanegara - kutawuluh,4,0.09,0.04,0.09,1.00,0.12,0.08,67.72,44,
bawang - wanadri,4,0.05,0.05,0.21,1.00,0.33,0.14,54.13,262,
bawang - kebondalem,4,0.11,0.07,0.23,1.00,0.28,0.26,56.03,255,
bawang - majalengka,3,0.09,0.05,0.29,1.00,0.45,0.17,51.76,269,
bawang - wiramastra,4,0.05,0.06,0.24,1.00,0.32,0.09,56.20,253,
bawang - kutayasa,4,0.10,0.02,0.06,1.00,0.19,0.10,66.76,59,
bawang - winong,4,0.08,0.04,0.12,1.00,0.29,0.09,61.93,175,
bawang - depok,4,0.14,0.05,0.09,1.00,0.14,0.06,71.75,10,
bawang - watuurip,4,0.19,0.06,0.23,1.00,0.57,0.09,62.14,168,
bawang - masaran,4,0.10,0.05,0.14,1.00,0.11,0.10,65.68,84,
bawang - serang,4,0.07,0.03,0.15,1.00,0.21,0.04,63.33,144,
bawang - mantrianom,4,0.05,0.05,0.13,1.00,0.12,0.05,63.63,138,
bawang - binorong,4,0.01,0.06,0.12,1.00,0.06,0.03,63.09,150,
bawang - joho,4,0.01,0.06,0.15,1.00,0.00,0.03,62.81,153,
bawang - bawang,4,0.02,0.02,0.13,1.00,0.20,0.05,59.02,223,
bawang - bandingan,4,0.01,0.08,0.10,1.00,0.02,0.02,66.03,81,
bawang - blambangan,4,0.02,0.04,0.06,1.00,0.05,0.06,64.25,117,
bawang - gemuruh,4,0.03,0.02,0.08,1.00,0.10,0.06,63.21,147,
bawang - pucang,4,0.01,0.06,0.13,1.00,0.15,0.06,61.00,189,
banjarnegara - argasoka,4,0.04,0.11,0.13,1.00,0.04,0.07,66.94,54,
banjarnegara - karangtengah,4,0.01,0.16,0.07,1.00,0.02,0.02,70.60,20,
banjarnegara - wangon,4,0.02,0.08,0.10,1.00,0.03,0.02,66.04,80,
banjarnegara - semampir,4,0.03,0.05,0.06,1.00,0.01,0.03,67.62,46,
banjarnegara - sokanandi,4,0.02,0.10,0.04,1.00,0.01,0.04,69.52,28,
banjarnegara - parakancanggah,4,0.01,0.07,0.05,1.00,0.03,0.03,66.92,56,
banjarnegara - semarang,4,0.00,0.14,0.08,1.00,0.01,0.01,69.20,30,
banjarnegara - krandegan,4,0.00,0.17,0.07,1.00,0.02,0.01,70.80,19,
banjarnegara - kutabanjarnegara,4,0.00,0.06,0.06,1.00,0.02,0.03,65.53,88,
banjarnegara - ampelsari,4,0.03,0.02,0.11,1.00,0.04,0.05,63.30,146,
banjarnegara - tlagawera,4,0.08,0.03,0.18,1.00,0.24,0.07,61.26,182,
banjarnegara - cendana,4,0.07,0.05,0.14,1.00,0.11,0.07,65.24,94,
banjarnegara - sokayasa,4,0.05,0.04,0.13,1.00,0.10,0.04,64.44,114,
sigaluh - kalibenda,4,0.04,0.04,0.16,1.00,0.01,0.03,63.81,129,
sigaluh - pringamba,4,0.06,0.06,0.24,1.00,0.27,0.18,53.96,264,
sigaluh - sawal,4,0.09,0.03,0.09,1.00,0.09,0.30,59.81,210,
sigaluh - panawaren,4,0.14,0.03,0.14,1.00,0.18,0.28,61.75,178,
sigaluh - tunggara,4,0.06,0.07,0.16,1.00,0.01,0.10,64.75,106,
sigaluh - randegan,4,0.07,0.06,0.11,1.00,0.01,0.05,68.79,32,
sigaluh - bojanegara,4,0.05,0.06,0.16,1.00,0.00,0.08,63.97,125,
sigaluh - bandingan,4,0.05,0.04,0.13,1.00,0.01,0.04,66.26,75,
sigaluh - prigi,4,0.08,0.05,0.09,1.00,0.03,0.15,66.27,73,
sigaluh - gembongan,4,0.07,0.03,0.14,1.00,0.05,0.08,64.15,120,
sigaluh - kemiri,4,0.11,0.05,0.11,1.00,0.01,0.06,71.03,18,
sigaluh - karangmangu,4,0.12,0.08,0.14,1.00,0.08,0.05,71.43,13,
sigaluh - wanacipta,4,0.04,0.05,0.21,1.00,0.26,0.01,59.47,216,
sigaluh - sigaluh,4,0.06,0.05,0.15,1.00,0.15,0.03,64.21,118,
sigaluh - singamerta,4,0.06,0.06,0.10,1.00,0.02,0.05,67.80,42,
madukara - kenteng,4,0.02,0.04,0.06,1.00,0.03,0.04,65.62,85,
madukara - rejasa,4,0.02,0.07,0.06,1.00,0.02,0.06,66.56,61,
madukara - limbangan,4,0.07,0.02,0.14,1.00,0.01,0.04,66.32,69,
madukara - penawangan,4,0.09,0.03,0.14,1.00,0.10,0.04,66.73,60,
madukara - talunamba,4,0.11,0.04,0.08,1.00,0.04,0.06,71.38,15,
madukara - madukara,4,0.05,0.03,0.14,1.00,0.00,0.06,64.66,108,
madukara - kutayasa,4,0.03,0.07,0.06,1.00,0.03,0.03,68.32,37,
madukara - pekauman,4,0.08,0.06,0.11,1.00,0.00,0.04,70.03,24,
madukara - pagelak,4,0.04,0.06,0.19,1.00,0.05,0.04,62.52,159,
madukara - dawuhan,4,0.07,0.06,0.13,1.00,0.01,0.10,66.48,64,
madukara - bantarwaru,4,0.04,0.05,0.27,1.00,0.00,0.07,59.35,218,
madukara - sered,4,0.07,0.05,0.12,1.00,0.07,0.06,65.94,83,
madukara - petambakan,4,0.03,0.07,0.13,1.00,0.01,0.07,64.80,105,
madukara - rakitan,4,0.08,0.04,0.14,1.00,0.07,0.09,65.03,100,
madukara - blitar,4,0.07,0.04,0.21,1.00,0.19,0.07,60.41,199,
madukara - kaliurip,4,0.10,0.03,0.08,1.00,0.00,0.16,67.68,45,
madukara - karanganyar,6,0.15,0.06,0.18,1.00,0.00,0.04,72.62,7,
madukara - gununggiana,4,0.10,0.02,0.13,1.00,0.01,0.08,67.73,43,
madukara - clapar,4,0.10,0.06,0.11,1.00,0.11,0.08,68.06,39,
madukara - pakelen,4,0.14,0.04,0.25,1.00,0.29,0.08,62.32,164,
banjarmangu - jenggawur,4,0.06,0.02,0.14,1.00,0.05,0.06,63.87,126,
banjarmangu - banjarkulon,4,0.05,0.03,0.19,1.00,0.06,0.05,62.27,166,
banjarmangu - banjarmangu,4,0.03,0.02,0.10,1.00,0.06,0.05,63.66,136,
banjarmangu - rejasari,4,0.06,0.01,0.13,1.00,0.00,0.06,65.46,91,
banjarmangu - kesenet,4,0.05,0.08,0.12,1.00,0.13,0.11,63.70,133,
banjarmangu - kalilunjar,4,0.08,0.03,0.10,1.00,0.02,0.11,66.08,79,
banjarmangu - sijeruk,4,0.09,0.05,0.11,1.00,0.21,0.11,63.99,124,
banjarmangu - kendaga,4,0.06,0.03,0.14,1.00,0.20,0.16,58.50,229,
banjarmangu - gripit,4,0.07,0.03,0.17,1.00,0.20,0.03,62.31,165,
banjarmangu - pekandangan,4,0.04,0.04,0.14,1.00,0.18,0.09,59.11,221,
banjarmangu - sigeblog,4,0.09,0.03,0.21,1.00,0.24,0.15,58.16,234,
banjarmangu - paseh,4,0.08,0.02,0.14,1.00,0.07,0.10,63.75,131,
banjarmangu - sipedang,4,0.09,0.03,0.17,1.00,0.29,0.17,57.71,241,
banjarmangu - sijenggung,4,0.11,0.03,0.08,1.00,0.07,0.10,68.76,34,
banjarmangu - beji,4,0.07,0.03,0.17,1.00,0.06,0.13,62.08,170,
banjarmangu - prendengan,4,0.05,0.08,0.14,1.00,0.33,0.13,58.43,232,
banjarmangu - majatengah,6,0.17,0.01,0.12,1.00,0.01,0.08,73.38,2,
wanadadi - kasilib,4,0.05,0.40,0.15,1.00,0.97,0.05,63.55,140,
wanadadi - tapen,4,0.10,0.05,0.12,1.00,0.12,0.07,67.51,47,
wanadadi - karangjambe,4,0.03,0.04,0.10,1.00,0.13,0.03,63.85,127,
wanadadi - wanadadi,4,0.07,0.04,0.11,1.00,0.09,0.07,65.18,96,
wanadadi - wanakarsa,4,0.06,0.07,0.15,1.00,0.24,0.06,62.53,158,
wanadadi - lemahjaya,4,0.07,0.06,0.13,1.00,0.11,0.12,63.54,141,
wanadadi - karangkemiri,3,0.02,0.03,0.24,1.00,0.51,0.07,49.03,274,
wanadadi - kandangwangi,4,0.07,0.06,0.20,1.00,0.18,0.13,58.96,224,
wanadadi - medayu,4,0.05,0.04,0.16,1.00,0.19,0.11,59.21,220,
wanadadi - linggasari,4,0.08,0.09,0.21,1.00,0.17,0.14,61.02,187,
wanadadi - gumingsir,4,0.05,0.06,0.15,1.00,0.02,0.07,64.82,104,
rakit - pingit,4,0.04,0.03,0.15,1.00,0.10,0.11,59.37,217,
rakit - situwangi,4,0.01,0.05,0.11,1.00,0.06,0.06,62.38,163,
rakit - gelang,4,0.01,0.04,0.20,1.00,0.14,0.05,57.37,246,
rakit - rakit,4,0.02,0.06,0.10,1.00,0.05,0.05,63.99,123,
rakit - adipasir,4,0.02,0.04,0.12,1.00,0.10,0.08,60.70,194,
rakit - bandingan,4,0.06,0.03,0.15,1.00,0.12,0.11,61.26,183,
rakit - kincang,4,0.02,0.05,0.13,1.00,0.06,0.10,61.17,185,
rakit - badamita,4,0.04,0.03,0.07,1.00,0.05,0.15,61.94,174,
rakit - tanjunganom,4,0.04,0.03,0.09,1.00,0.10,0.10,62.11,169,
rakit - luwung,4,0.05,0.06,0.02,1.00,0.04,0.08,68.77,33,
rakit - lengkong,4,0.04,0.06,0.10,1.00,0.04,0.17,61.88,176,
punggelan - sambong,4,0.09,0.03,0.18,1.00,0.16,0.12,60.86,191,
punggelan - danakerta,4,0.08,0.05,0.07,1.00,0.19,0.13,64.88,103,
punggelan - klapa,4,0.13,0.05,0.17,1.00,0.07,0.12,67.03,51,
punggelan - kecepit,4,0.06,0.04,0.07,1.00,0.04,0.10,66.36,68,
punggelan - karangsari,4,0.07,0.03,0.08,1.00,0.07,0.11,65.27,93,
punggelan - tribuana,4,0.09,0.04,0.17,1.00,0.20,0.09,62.50,160,
punggelan - sawangan,4,0.10,0.03,0.17,1.00,0.08,0.09,65.01,101,
punggelan - sidarata,4,0.06,0.04,0.21,1.00,0.22,0.11,57.63,243,
punggelan - badakarya,4,0.09,0.07,0.23,1.00,0.34,0.16,56.36,251,
punggelan - punggelan,4,0.09,0.04,0.18,1.00,0.22,0.18,58.70,225,
punggelan - jembangan,4,0.08,0.02,0.21,1.00,0.23,0.14,57.38,245,
punggelan - purwasana,4,0.08,0.02,0.12,1.00,0.07,0.20,61.75,179,
punggelan - petuguran,4,0.08,0.04,0.15,1.00,0.16,0.30,55.59,258,
punggelan - bondolharjo,4,0.07,0.06,0.24,1.00,0.33,0.17,53.96,263,
punggelan - tanjungtirta,3,0.11,0.03,0.37,1.00,0.32,0.20,50.57,273,
punggelan - tlaga,4,0.08,0.03,0.14,1.00,0.03,0.23,61.01,188,
punggelan - mlaya,4,0.10,0.07,0.30,1.00,0.27,0.20,54.78,260,
karangkobar - paweden,4,0.06,0.08,0.14,1.00,0.03,0.03,67.99,40,
karangkobar - gumelar,4,0.10,0.02,0.13,1.00,0.19,0.02,66.44,67,
karangkobar - purwodadi,4,0.06,0.04,0.26,1.00,0.06,0.04,61.27,181,
karangkobar - sampang,4,0.11,0.05,0.19,1.00,0.19,0.06,65.15,98,
karangkobar - slatri,4,0.16,0.07,0.20,1.00,0.05,0.08,71.50,12,
karangkobar - pagerpelah,4,0.12,0.04,0.20,1.00,0.06,0.05,67.44,48,
karangkobar - pasuruhan,4,0.14,0.03,0.19,1.00,0.02,0.04,69.70,27,
karangkobar - karanggondang,4,0.04,0.05,0.19,1.00,0.01,0.04,63.64,137,
karangkobar - jlegong,4,0.09,0.03,0.34,1.00,0.35,0.02,55.40,259,
karangkobar - ambal,3,0.07,0.03,0.37,1.00,0.44,0.04,50.86,270,
karangkobar - binangun,4,0.06,0.03,0.11,1.00,0.15,0.06,63.76,130,
karangkobar - karangkobar,4,0.02,0.07,0.12,1.00,0.14,0.05,62.43,162,
karangkobar - leksana,4,0.02,0.04,0.09,1.00,0.11,0.04,63.56,139,
pagentan - larangan,4,0.10,0.03,0.12,1.00,0.07,0.09,66.94,55,
pagentan - karangnangka,4,0.12,0.08,0.13,1.00,0.01,0.10,71.42,14,
pagentan - aribaya,4,0.13,0.07,0.11,1.00,0.15,0.12,68.84,31,
pagentan - nagasari,4,0.14,0.04,0.26,1.00,0.37,0.09,60.17,203,
pagentan - gumingsir,4,0.15,0.06,0.24,1.00,0.26,0.08,65.17,97,
pagentan - sokaraja,4,0.08,0.03,0.18,1.00,0.30,0.08,60.00,208,
pagentan - kayuares,4,0.09,0.05,0.16,1.00,0.06,0.09,66.12,77,
pagentan - metawana,4,0.07,0.05,0.10,1.00,0.04,0.13,65.50,89,
pagentan - kalitlaga,4,0.08,0.04,0.26,1.00,0.34,0.07,56.39,250,
pagentan - karekan,4,0.11,0.05,0.13,1.00,0.17,0.14,65.11,99,
pagentan - plumbungan,4,0.12,0.05,0.21,1.00,0.31,0.12,60.97,190,
pagentan - pagentan,4,0.06,0.05,0.16,1.00,0.11,0.14,60.63,198,
pagentan - kasmaran,4,0.09,0.04,0.03,1.00,0.00,0.08,71.69,11,
pagentan - majasari,4,0.11,0.03,0.08,1.00,0.00,0.15,68.32,36,
pagentan - babadan,4,0.11,0.05,0.17,1.00,0.30,0.15,60.63,196,
pagentan - tegaljeruk,4,0.09,0.04,0.11,1.00,0.00,0.09,68.37,35,
pejawaran - kalilunjar,4,0.11,0.02,0.26,1.00,0.16,0.04,62.00,171,
pejawaran - karangsari,4,0.06,0.04,0.22,1.00,0.12,0.06,60.77,192,
pejawaran - sarwodadi,6,0.20,0.03,0.18,1.00,0.01,0.11,73.27,3,
pejawaran - grogol,6,0.18,0.04,0.05,1.00,0.01,0.15,75.32,1,
pejawaran - giritirta,4,0.07,0.04,0.13,1.00,0.01,0.07,66.82,57,
pejawaran - biting,3,0.07,0.04,0.45,1.00,0.54,0.04,46.73,275,
pejawaran - tlahab,4,0.07,0.06,0.23,1.00,0.06,0.03,63.69,134,
pejawaran - darmayasa,4,0.10,0.03,0.25,1.00,0.26,0.13,57.17,247,
pejawaran - pejawaran,4,0.10,0.05,0.21,1.00,0.36,0.13,57.71,240,
pejawaran - penusupan,3,0.06,0.05,0.23,1.00,0.52,0.08,53.19,265,
pejawaran - ratamba,4,0.10,0.04,0.13,1.00,0.15,0.07,66.26,74,
pejawaran - sidengok,4,0.09,0.04,0.15,1.00,0.09,0.10,64.58,111,
pejawaran - pegundungan,4,0.18,0.05,0.32,1.00,0.56,0.10,58.49,230,
pejawaran - beji,6,0.17,0.09,0.19,1.00,0.09,0.06,73.11,5,
pejawaran - semangkung,4,0.12,0.06,0.20,1.00,0.64,0.06,58.03,236,
pejawaran - condongcampur,4,0.10,0.05,0.04,1.00,0.02,0.09,71.91,9,
pejawaran - gembol,4,0.06,0.07,0.03,1.00,0.46,0.06,63.09,149,
batur - batur,4,0.07,0.03,0.06,1.00,0.23,0.36,54.58,261,
batur - sumberejo,4,0.10,0.02,0.04,1.00,0.06,0.20,66.45,66,
batur - pasurenan,4,0.03,0.04,0.04,1.00,0.00,0.08,66.31,70,
batur - pekasiran,4,0.10,0.03,0.06,1.00,0.04,0.21,65.57,86,
batur - kepakisan,4,0.11,0.03,0.04,1.00,0.26,0.21,63.39,143,
batur - bakal,4,0.09,0.05,0.05,1.00,0.02,0.19,66.76,58,
batur - karangtengah,4,0.08,0.02,0.04,1.00,0.20,0.20,62.50,161,
batur - dieng kulon,6,0.03,0.18,0.01,1.00,0.08,0.08,72.09,8,
wanayasa - karangtengah,4,0.13,0.04,0.28,1.00,0.01,0.09,64.44,113,
wanayasa - suwidak,4,0.16,0.05,0.29,1.00,0.48,0.13,57.96,237,
wanayasa - bantar,4,0.10,0.02,0.26,1.00,0.02,0.10,61.85,177,
wanayasa - pandansari,4,0.12,0.05,0.22,1.00,0.01,0.16,63.83,128,
wanayasa - pagergunung,4,0.08,0.04,0.26,1.00,0.02,0.09,61.98,172,
wanayasa - dawuhan,4,0.07,0.05,0.33,1.00,0.05,0.07,58.46,231,
wanayasa - kubang,4,0.05,0.07,0.14,1.00,0.30,0.11,58.53,228,
wanayasa - susukan,4,0.08,0.05,0.33,1.00,0.15,0.10,56.26,252,
wanayasa - wanayasa,4,0.09,0.06,0.13,1.00,0.01,0.20,64.68,107,
wanayasa - pesantren,4,0.07,0.03,0.10,1.00,0.00,0.10,66.46,65,
wanayasa - balun,4,0.08,0.05,0.10,1.00,0.01,0.18,65.32,92,
wanayasa - tempuran,4,0.10,0.04,0.07,1.00,0.01,0.18,66.95,52,
wanayasa - wanaraja,3,0.05,0.04,0.13,1.00,0.00,0.50,50.61,272,
wanayasa - jatilawang,4,0.05,0.04,0.04,1.00,0.06,0.30,59.53,214,
wanayasa - legoksayem,6,0.12,0.02,0.05,1.00,0.02,0.06,72.85,6,
wanayasa - kasimpar,4,0.12,0.05,0.00,1.00,0.01,0.21,71.23,17,
wanayasa - penanggungan,4,0.11,0.04,0.05,1.00,0.00,0.32,64.60,110,
kalibening - kalibening,4,0.04,0.11,0.01,1.00,0.09,0.09,69.34,29,
kalibening - asinan,4,0.12,0.07,0.28,1.00,0.57,0.06,56.07,254,
kalibening - sembawa,4,0.13,0.05,0.28,1.00,0.42,0.05,59.75,211,
kalibening - kalibombong,4,0.11,0.04,0.08,1.00,0.21,0.09,67.38,49,
kalibening - majatengah,4,0.03,0.09,0.07,1.00,0.11,0.08,65.22,95,
kalibening - kalisat kidul,4,0.09,0.03,0.15,1.00,0.34,0.08,60.64,195,
kalibening - sirukem,4,0.08,0.05,0.08,1.00,0.07,0.03,70.09,23,
kalibening - kertosari,4,0.10,0.03,0.05,1.00,0.00,0.07,71.34,16,
kalibening - sidakangen,4,0.07,0.04,0.00,1.00,0.03,0.07,70.35,21,
kalibening - sikumpul,4,0.06,0.03,0.03,1.00,0.01,0.06,69.72,26,
kalibening - gununglangit,4,0.07,0.04,0.04,1.00,0.18,0.06,66.95,53,
kalibening - bedana,4,0.09,0.03,0.20,1.00,0.33,0.05,60.03,207,
kalibening - sirukun,4,0.08,0.02,0.05,1.00,0.02,0.05,70.15,22,
kalibening - karanganyar,4,0.06,0.03,0.11,1.00,0.04,0.04,66.30,71,
kalibening - plorengan,4,0.08,0.04,0.16,1.00,0.40,0.10,58.34,233,
kalibening - kasinoman,4,0.08,0.05,0.04,1.00,0.04,0.24,64.33,116,
pandanarum - pandanarum,4,0.07,0.03,0.04,1.00,0.05,0.34,59.98,209,
pandanarum - sinduaji,4,0.12,0.03,0.07,1.00,0.25,0.16,64.58,112,
pandanarum - pasegeran,4,0.21,0.03,0.05,1.00,0.03,0.36,69.74,25,
pandanarum - pingit lor,6,0.17,0.04,0.07,1.00,0.00,0.17,73.22,4,
pandanarum - lawen,4,0.10,0.07,0.05,1.00,0.36,0.21,62.14,167,
pandanarum - sirongge,4,0.07,0.03,0.03,1.00,0.01,0.29,62.64,156,
pandanarum - pringamba,4,0.10,0.03,0.08,1.00,0.39,0.18,60.21,202,
pandanarum - beji,4,0.09,0.04,0.06,1.00,0.14,0.24,62.61,157,
pagedongan - pagedongan,3,0.07,0.03,0.15,1.00,0.19,0.37,51.86,267,
pagedongan - gunungjati,4,0.12,0.06,0.16,1.00,0.24,0.16,63.15,148,
pagedongan - twelagiri,4,0.07,0.04,0.18,1.00,0.24,0.15,57.66,242,
pagedongan - kebutuhduwur,4,0.09,0.05,0.14,1.00,0.12,0.31,57.88,238,
pagedongan - kebutuhjurang,2,0.08,0.06,0.22,1.00,0.47,0.47,42.92,277,
pagedongan - pesangkalan,2,0.07,0.04,0.31,1.00,0.40,0.45,40.37,278,
pagedongan - duren,4,0.14,0.06,0.21,1.00,0.41,0.17,59.27,219,
pagedongan - lebakwangi,4,0.12,0.03,0.10,1.00,0.25,0.25,60.63,197,
pagedongan - gentansari,3,0.11,0.04,0.14,1.00,0.10,0.50,53.10,266,
