Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
mandiraja - candiwulan,5,0.03,0.03,0.01,1.00,0.04,0.02,66.57,26,
mandiraja - simbang,5,0.04,0.05,0.04,1.00,0.02,0.04,65.79,34,
mandiraja - kertayasa,5,0.03,0.07,0.03,1.00,0.01,0.07,65.47,39,
mandiraja - banjengan,5,0.03,0.07,0.03,1.00,0.02,0.02,67.10,19,
mandiraja - mandiraja kulon,5,0.02,0.05,0.07,1.00,0.00,0.03,64.55,61,
mandiraja - kebakalan,5,0.04,0.09,0.09,1.00,0.02,0.02,65.64,38,
mandiraja - mandiraja wetan,5,0.02,0.05,0.05,1.00,0.01,0.03,65.67,37,
purwanegara - kalitengah,3,0.03,0.02,0.13,1.00,0.18,0.20,51.34,260,
purwanegara - merden,3,0.04,0.06,0.10,1.00,0.09,0.22,55.14,234,
purwanegara - karanganyar,3,0.07,0.02,0.16,1.00,0.08,0.20,53.50,245,
purwanegara - kaliajir,3,0.04,0.07,0.13,1.00,0.07,0.20,55.34,233,
purwanegara - petir,2,0.10,0.03,0.17,1.00,0.17,0.29,48.56,267,
purwanegara - pucungbedug,3,0.03,0.01,0.21,1.00,0.01,0.18,52.49,253,
purwanegara - parakan,4,0.04,0.04,0.11,1.00,0.01,0.12,59.43,168,
purwanegara - mertasari,4,0.07,0.06,0.10,1.00,0.03,0.07,62.90,94,
purwanegara - danaraja,4,0.05,0.01,0.11,1.00,0.03,0.06,61.04,133,
purwanegara - purwonegoro,4,0.02,0.05,0.08,1.00,0.03,0.07,62.46,106,
purwanegara - kalipelus,4,0.04,0.01,0.19,1.00,0.02,0.05,58.02,197,
purwanegara - gumiwang,4,0.02,0.03,0.08,1.00,0.06,0.08,60.87,138,
purwanegara - kutawuluh,4,0.10,0.03,0.18,1.00,0.03,0.08,59.33,171,
bawang - wanadri,3,0.07,0.04,0.10,1.00,0.17,0.14,56.74,217,
bawang - kebondalem,4,0.16,0.05,0.09,1.00,0.05,0.24,58.54,191,
bawang - majalengka,3,0.08,0.04,0.08,1.00,0.16,0.16,57.11,215,
bawang - wiramastra,5,0.08,0.07,0.07,1.00,0.00,0.08,64.78,52,
bawang - kutayasa,4,0.15,0.00,0.06,1.00,0.04,0.09,63.89,73,
bawang - winong,4,0.03,0.07,0.10,1.00,0.06,0.08,60.91,136,
bawang - depok,4,0.16,0.11,0.18,1.00,0.08,0.05,62.94,91,
bawang - watuurip,4,0.16,0.08,0.15,1.00,0.22,0.08,59.25,176,
bawang - masaran,4,0.08,0.09,0.13,1.00,0.03,0.10,62.09,115,
bawang - serang,4,0.08,0.06,0.23,1.00,0.09,0.03,58.18,194,
bawang - mantrianom,4,0.02,0.09,0.12,1.00,0.07,0.07,60.99,135,
bawang - binorong,4,0.03,0.05,0.16,1.00,0.01,0.05,60.52,144,
bawang - joho,5,0.04,0.08,0.05,1.00,0.00,0.04,66.74,22,
bawang - bawang,4,0.06,0.01,0.09,1.00,0.03,0.07,61.70,123,
bawang - bandingan,4,0.03,0.02,0.13,1.00,0.02,0.03,61.25,129,
bawang - blambangan,4,0.04,0.04,0.09,1.00,0.01,0.08,62.05,117,
bawang - gemuruh,4,0.04,0.05,0.10,1.00,0.03,0.08,61.46,126,
bawang - pucang,5,0.02,0.12,0.03,1.00,0.00,0.08,66.49,28,
banjarnegara - argasoka,4,0.02,0.11,0.08,1.00,0.00,0.10,63.50,79,
banjarnegara - karangtengah,5,0.02,0.11,0.09,1.00,0.01,0.03,65.15,45,
banjarnegara - wangon,5,0.02,0.03,0.06,1.00,0.00,0.03,64.62,55,
banjarnegara - semampir,5,0.03,0.06,0.04,1.00,0.00,0.05,66.16,31,
banjarnegara - sokanandi,5,0.02,0.05,0.03,1.00,0.01,0.07,65.01,48,
banjarnegara - parakancanggah,4,0.00,0.01,0.06,1.00,0.02,0.05,62.31,109,
banjarnegara - semarang,4,0.00,0.03,0.09,1.00,0.01,0.02,63.28,80,
banjarnegara - krandegan,5,0.00,0.05,0.08,1.00,0.01,0.02,64.29,69,
banjarnegara - kutabanjarnegara,4,0.00,0.02,0.07,1.00,0.01,0.04,63.00,88,
banjarnegara - ampelsari,4,0.05,0.03,0.10,1.00,0.02,0.07,61.74,122,
banjarnegara - tlagawera,3,0.04,0.05,0.15,1.00,0.34,0.09,51.98,258,
banjarnegara - cendana,2,0.06,0.07,0.21,1.00,0.39,0.11,48.59,266,
banjarnegara - sokayasa,3,0.04,0.04,0.24,1.00,0.32,0.06,50.04,264,
sigaluh - kalibenda,5,0.04,0.08,0.02,1.00,0.00,0.03,68.02,12,
sigaluh - pringamba,3,0.21,0.06,0.17,1.00,0.47,0.14,51.38,259,
sigaluh - sawal,5,0.23,0.03,0.02,1.00,0.00,0.22,64.60,56,
sigaluh - panawaren,4,0.16,0.05,0.08,1.00,0.09,0.20,59.57,164,
sigaluh - tunggara,4,0.09,0.14,0.22,1.00,0.00,0.07,61.38,127,
sigaluh - randegan,5,0.08,0.09,0.11,1.00,0.01,0.04,65.24,41,
sigaluh - bojanegara,5,0.05,0.09,0.06,1.00,0.00,0.06,65.83,33,
sigaluh - bandingan,4,0.05,0.02,0.08,1.00,0.01,0.04,63.92,71,
sigaluh - prigi,4,0.10,0.07,0.08,1.00,0.09,0.16,60.25,151,
sigaluh - gembongan,4,0.08,0.01,0.10,1.00,0.06,0.09,60.23,152,
sigaluh - kemiri,4,0.20,0.10,0.19,1.00,0.32,0.07,57.47,208,
sigaluh - karangmangu,5,0.21,0.13,0.13,1.00,0.00,0.05,68.60,5,
sigaluh - wanacipta,5,0.05,0.09,0.03,1.00,0.01,0.01,68.99,4,
sigaluh - sigaluh,3,0.04,0.09,0.16,1.00,0.44,0.03,52.82,250,
sigaluh - singamerta,4,0.06,0.05,0.15,1.00,0.08,0.06,59.51,165,
madukara - kenteng,5,0.03,0.10,0.09,1.00,0.01,0.04,64.98,50,
madukara - rejasa,5,0.02,0.12,0.03,1.00,0.01,0.05,67.80,13,
madukara - limbangan,5,0.10,0.06,0.08,1.00,0.01,0.04,65.74,35,
madukara - penawangan,4,0.12,0.05,0.12,1.00,0.27,0.04,59.07,180,
madukara - talunamba,4,0.12,0.05,0.12,1.00,0.15,0.06,60.68,141,
madukara - madukara,4,0.07,0.10,0.16,1.00,0.00,0.06,62.66,103,
madukara - kutayasa,5,0.05,0.17,0.05,1.00,0.01,0.03,69.35,2,
madukara - pekauman,5,0.08,0.13,0.11,1.00,0.04,0.04,65.90,32,
madukara - pagelak,4,0.03,0.04,0.11,1.00,0.02,0.04,62.73,98,
madukara - dawuhan,4,0.05,0.10,0.17,1.00,0.09,0.09,58.88,183,
madukara - bantarwaru,4,0.04,0.07,0.15,1.00,0.05,0.06,60.29,150,
madukara - sered,4,0.07,0.12,0.16,1.00,0.17,0.05,59.79,162,
madukara - petambakan,4,0.06,0.06,0.12,1.00,0.16,0.06,59.48,167,
madukara - rakitan,4,0.05,0.12,0.12,1.00,0.03,0.07,63.01,87,
madukara - blitar,4,0.05,0.09,0.17,1.00,0.05,0.05,60.46,147,
madukara - kaliurip,3,0.08,0.03,0.14,1.00,0.12,0.13,56.57,221,
madukara - karanganyar,5,0.13,0.11,0.12,1.00,0.01,0.04,66.71,23,
madukara - gununggiana,2,0.09,0.04,0.27,1.00,0.55,0.08,43.92,274,
madukara - clapar,4,0.11,0.03,0.17,1.00,0.01,0.08,60.50,145,
madukara - pakelen,4,0.22,0.08,0.18,1.00,0.02,0.08,63.89,74,
banjarmangu - jenggawur,4,0.05,0.05,0.23,1.00,0.05,0.04,57.38,210,
banjarmangu - banjarkulon,4,0.06,0.04,0.14,1.00,0.00,0.04,62.03,118,
banjarmangu - banjarmangu,5,0.03,0.06,0.07,1.00,0.02,0.04,64.99,49,
banjarmangu - rejasari,4,0.06,0.03,0.11,1.00,0.01,0.04,62.95,89,
banjarmangu - kesenet,4,0.04,0.09,0.17,1.00,0.01,0.08,59.92,160,
banjarmangu - kalilunjar,4,0.07,0.04,0.10,1.00,0.01,0.08,62.29,110,
banjarmangu - sijeruk,4,0.10,0.08,0.11,1.00,0.01,0.08,63.92,72,
banjarmangu - kendaga,4,0.09,0.05,0.11,1.00,0.02,0.12,60.78,139,
banjarmangu - gripit,4,0.08,0.11,0.14,1.00,0.15,0.03,61.80,121,
banjarmangu - pekandangan,3,0.06,0.05,0.18,1.00,0.35,0.07,52.04,256,
banjarmangu - sigeblog,3,0.09,0.08,0.17,1.00,0.38,0.12,51.99,257,
banjarmangu - paseh,4,0.09,0.06,0.10,1.00,0.05,0.08,62.64,105,
banjarmangu - sipedang,4,0.10,0.02,0.07,1.00,0.05,0.13,61.26,128,
banjarmangu - sijenggung,4,0.09,0.04,0.15,1.00,0.17,0.08,57.33,212,
banjarmangu - beji,4,0.09,0.06,0.10,1.00,0.00,0.10,62.94,90,
banjarmangu - prendengan,4,0.10,0.06,0.12,1.00,0.14,0.10,59.36,170,
banjarmangu - majatengah,5,0.20,0.04,0.10,1.00,0.00,0.06,66.38,29,
wanadadi - kasilib,5,0.04,0.08,0.08,1.00,0.01,0.04,64.90,51,
wanadadi - tapen,4,0.08,0.08,0.18,1.00,0.02,0.06,61.03,134,
wanadadi - karangjambe,4,0.01,0.11,0.13,1.00,0.05,0.02,62.91,92,
wanadadi - wanadadi,4,0.02,0.03,0.16,1.00,0.02,0.06,59.03,182,
wanadadi - wanakarsa,5,0.06,0.12,0.12,1.00,0.02,0.06,64.51,63,
wanadadi - lemahjaya,4,0.06,0.09,0.15,1.00,0.01,0.11,60.64,142,
wanadadi - karangkemiri,4,0.04,0.05,0.13,1.00,0.00,0.05,61.81,120,
wanadadi - kandangwangi,4,0.07,0.09,0.10,1.00,0.03,0.10,62.26,111,
wanadadi - medayu,4,0.05,0.06,0.09,1.00,0.15,0.08,59.77,163,
wanadadi - linggasari,4,0.08,0.09,0.19,1.00,0.04,0.11,58.62,190,
wanadadi - gumingsir,5,0.04,0.06,0.00,1.00,0.00,0.05,67.55,15,
rakit - pingit,3,0.05,0.02,0.25,1.00,0.02,0.09,54.43,240,
rakit - situwangi,4,0.02,0.05,0.16,1.00,0.02,0.05,60.06,156,
rakit - gelang,4,0.03,0.06,0.10,1.00,0.05,0.04,62.76,96,
rakit - rakit,4,0.04,0.01,0.08,1.00,0.01,0.04,62.91,93,
rakit - adipasir,4,0.02,0.04,0.07,1.00,0.01,0.07,62.76,97,
rakit - bandingan,4,0.08,0.05,0.15,1.00,0.11,0.10,58.25,192,
rakit - kincang,4,0.04,0.07,0.15,1.00,0.03,0.08,60.62,143,
rakit - badamita,4,0.05,0.04,0.13,1.00,0.02,0.11,59.31,174,
rakit - tanjunganom,4,0.05,0.02,0.18,1.00,0.04,0.07,57.94,200,
rakit - luwung,4,0.05,0.04,0.05,1.00,0.10,0.06,62.70,99,
rakit - lengkong,4,0.04,0.11,0.08,1.00,0.02,0.13,62.42,107,
punggelan - sambong,4,0.10,0.07,0.14,1.00,0.01,0.12,60.77,140,
punggelan - danakerta,4,0.09,0.04,0.09,1.00,0.09,0.13,59.40,169,
punggelan - klapa,5,0.13,0.07,0.05,1.00,0.02,0.12,65.19,42,
punggelan - kecepit,4,0.06,0.02,0.04,1.00,0.01,0.10,63.52,78,
punggelan - karangsari,4,0.08,0.02,0.05,1.00,0.01,0.12,62.90,95,
punggelan - tribuana,4,0.09,0.04,0.17,1.00,0.07,0.09,58.01,198,
punggelan - sawangan,3,0.09,0.00,0.14,1.00,0.15,0.09,56.64,220,
punggelan - sidarata,4,0.06,0.01,0.11,1.00,0.04,0.09,59.91,161,
punggelan - badakarya,4,0.08,0.09,0.13,1.00,0.13,0.12,58.63,189,
punggelan - punggelan,3,0.09,0.02,0.10,1.00,0.12,0.19,55.82,228,
punggelan - jembangan,4,0.10,0.02,0.05,1.00,0.06,0.14,61.17,132,
punggelan - purwasana,3,0.11,0.04,0.16,1.00,0.26,0.15,52.93,248,
punggelan - petuguran,2,0.12,0.06,0.16,1.00,0.40,0.24,47.41,270,
punggelan - bondolharjo,3,0.08,0.02,0.13,1.00,0.14,0.13,56.00,227,
punggelan - tanjungtirta,4,0.12,0.02,0.10,1.00,0.08,0.16,58.76,185,
punggelan - tlaga,4,0.13,0.01,0.14,1.00,0.03,0.18,57.54,206,
punggelan - mlaya,3,0.24,0.05,0.23,1.00,0.13,0.16,56.22,226,
karangkobar - paweden,5,0.07,0.09,0.01,1.00,0.09,0.03,67.43,17,
karangkobar - gumelar,5,0.10,0.04,0.03,1.00,0.00,0.02,68.48,7,
karangkobar - purwodadi,4,0.06,0.07,0.26,1.00,0.01,0.04,57.44,209,
karangkobar - sampang,5,0.13,0.10,0.13,1.00,0.01,0.06,65.12,47,
karangkobar - slatri,5,0.13,0.10,0.03,1.00,0.00,0.09,68.52,6,
karangkobar - pagerpelah,5,0.12,0.07,0.04,1.00,0.00,0.06,68.17,11,
karangkobar - pasuruhan,4,0.13,0.02,0.15,1.00,0.00,0.05,62.64,104,
karangkobar - karanggondang,4,0.04,0.02,0.11,1.00,0.02,0.04,62.22,112,
karangkobar - jlegong,5,0.12,0.06,0.10,1.00,0.09,0.02,64.59,57,
karangkobar - ambal,2,0.07,0.04,0.27,1.00,0.44,0.04,47.50,269,
karangkobar - binangun,4,0.10,0.05,0.15,1.00,0.18,0.06,58.66,188,
karangkobar - karangkobar,4,0.03,0.09,0.12,1.00,0.09,0.05,61.22,131,
karangkobar - leksana,3,0.03,0.04,0.21,1.00,0.16,0.04,54.97,235,
pagentan - larangan,5,0.09,0.03,0.02,1.00,0.01,0.06,66.59,24,
pagentan - karangnangka,4,0.13,0.10,0.13,1.00,0.25,0.07,59.31,172,
pagentan - aribaya,4,0.12,0.08,0.07,1.00,0.13,0.08,63.21,82,
pagentan - nagasari,2,0.12,0.06,0.37,1.00,0.39,0.06,45.22,272,
pagentan - gumingsir,4,0.06,0.06,0.11,1.00,0.10,0.06,61.24,130,
pagentan - sokaraja,5,0.09,0.07,0.06,1.00,0.06,0.06,65.35,40,
pagentan - kayuares,4,0.10,0.05,0.12,1.00,0.02,0.06,63.17,83,
pagentan - metawana,4,0.12,0.07,0.11,1.00,0.09,0.09,61.96,119,
pagentan - kalitlaga,3,0.08,0.05,0.19,1.00,0.16,0.05,57.13,214,
pagentan - karekan,4,0.13,0.03,0.17,1.00,0.01,0.10,59.95,159,
pagentan - plumbungan,5,0.12,0.12,0.12,1.00,0.00,0.08,65.19,43,
pagentan - pagentan,4,0.07,0.07,0.10,1.00,0.04,0.09,62.07,116,
pagentan - kasmaran,4,0.10,0.06,0.15,1.00,0.24,0.06,57.68,204,
pagentan - majasari,4,0.12,0.04,0.08,1.00,0.02,0.11,63.73,75,
pagentan - babadan,4,0.11,0.07,0.18,1.00,0.01,0.11,60.08,154,
pagentan - tegaljeruk,5,0.21,0.03,0.06,1.00,0.01,0.06,68.35,8,
pejawaran - kalilunjar,4,0.11,0.01,0.14,1.00,0.03,0.04,62.21,113,
pejawaran - karangsari,4,0.06,0.04,0.18,1.00,0.12,0.05,57.61,205,
pejawaran - sarwodadi,4,0.21,0.04,0.07,1.00,0.13,0.09,64.22,70,
pejawaran - grogol,4,0.17,0.01,0.21,1.00,0.01,0.12,57.91,201,
pejawaran - giritirta,5,0.07,0.03,0.07,1.00,0.02,0.05,64.58,59,
pejawaran - biting,3,0.07,0.07,0.16,1.00,0.34,0.03,55.39,231,
pejawaran - tlahab,3,0.07,0.09,0.33,1.00,0.07,0.03,54.77,237,
pejawaran - darmayasa,2,0.11,0.02,0.34,1.00,0.41,0.11,42.87,276,
pejawaran - pejawaran,5,0.11,0.03,0.03,1.00,0.00,0.11,65.15,44,
pejawaran - penusupan,4,0.06,0.04,0.14,1.00,0.12,0.06,59.04,181,
pejawaran - ratamba,3,0.08,0.01,0.18,1.00,0.17,0.06,55.71,229,
pejawaran - sidengok,3,0.10,0.05,0.31,1.00,0.08,0.08,53.21,247,
pejawaran - pegundungan,5,0.19,0.06,0.05,1.00,0.09,0.08,66.57,25,
pejawaran - beji,3,0.16,0.07,0.40,1.00,0.02,0.05,54.38,241,
pejawaran - semangkung,4,0.11,0.05,0.29,1.00,0.00,0.05,57.21,213,
pejawaran - condongcampur,4,0.10,0.07,0.19,1.00,0.03,0.07,60.31,149,
pejawaran - gembol,4,0.06,0.07,0.11,1.00,0.23,0.05,58.71,187,
batur - batur,3,0.06,0.01,0.12,1.00,0.00,0.28,53.27,246,
batur - sumberejo,3,0.08,0.04,0.26,1.00,0.03,0.15,52.92,249,
batur - pasurenan,4,0.09,0.03,0.13,1.00,0.00,0.06,62.21,114,
batur - pekasiran,3,0.10,0.02,0.16,1.00,0.01,0.16,56.89,216,
batur - kepakisan,2,0.12,0.02,0.34,1.00,0.37,0.19,41.41,277,
batur - bakal,4,0.04,0.04,0.08,1.00,0.00,0.17,59.12,179,
batur - karangtengah,4,0.08,0.02,0.06,1.00,0.01,0.17,60.04,158,
batur - dieng kulon,5,0.02,0.07,0.06,1.00,0.00,0.07,64.35,68,
wanayasa - karangtengah,5,0.13,0.06,0.01,1.00,0.00,0.07,69.10,3,
wanayasa - suwidak,4,0.16,0.06,0.26,1.00,0.76,0.12,57.35,211,
wanayasa - bantar,3,0.09,0.04,0.22,1.00,0.26,0.08,52.58,252,
wanayasa - pandansari,4,0.12,0.07,0.23,1.00,0.01,0.13,57.50,207,
wanayasa - pagergunung,4,0.09,0.05,0.18,1.00,0.01,0.07,60.33,148,
wanayasa - dawuhan,4,0.08,0.04,0.15,1.00,0.03,0.06,60.47,146,
wanayasa - kubang,3,0.06,0.04,0.25,1.00,0.04,0.10,54.47,239,
wanayasa - susukan,4,0.08,0.02,0.17,1.00,0.06,0.08,58.23,193,
wanayasa - wanayasa,6,0.09,0.60,0.02,1.00,0.00,0.15,79.12,1,
wanayasa - pesantren,3,0.07,0.04,0.26,1.00,0.25,0.07,50.68,262,
wanayasa - balun,5,0.09,0.08,0.00,1.00,0.00,0.14,66.21,30,
wanayasa - tempuran,3,0.09,0.07,0.15,1.00,0.16,0.14,56.23,225,
wanayasa - wanaraja,2,0.05,0.04,0.08,1.00,0.03,0.45,48.48,268,
wanayasa - jatilawang,2,0.05,0.03,0.23,1.00,0.47,0.27,39.54,278,
wanayasa - legoksayem,5,0.12,0.03,0.02,1.00,0.00,0.05,68.20,10,
wanayasa - kasimpar,4,0.12,0.08,0.04,1.00,0.00,0.19,63.53,77,
wanayasa - penanggungan,3,0.11,0.02,0.08,1.00,0.00,0.29,56.46,223,
kalibening - kalibening,4,0.05,0.03,0.12,1.00,0.01,0.13,59.18,177,
kalibening - asinan,4,0.19,0.08,0.26,1.00,0.04,0.09,59.30,175,
kalibening - sembawa,5,0.12,0.06,0.10,1.00,0.03,0.07,64.38,67,
kalibening - kalibombong,4,0.15,0.05,0.10,1.00,0.02,0.13,62.69,100,
kalibening - majatengah,5,0.27,0.15,0.16,1.00,0.02,0.11,66.77,21,
kalibening - kalisat kidul,4,0.11,0.03,0.13,1.00,0.14,0.11,57.69,203,
kalibening - sirukem,4,0.10,0.06,0.17,1.00,0.00,0.04,62.69,101,
kalibening - kertosari,5,0.22,0.05,0.05,1.00,0.03,0.09,67.70,14,
kalibening - sidakangen,5,0.15,0.05,0.03,1.00,0.01,0.10,66.97,20,
kalibening - sikumpul,4,0.12,0.07,0.18,1.00,0.06,0.09,60.05,157,
kalibening - gununglangit,5,0.14,0.06,0.12,1.00,0.00,0.08,64.43,65,
kalibening - bedana,5,0.21,0.04,0.08,1.00,0.00,0.07,67.44,16,
kalibening - sirukun,4,0.11,0.04,0.12,1.00,0.01,0.07,63.15,84,
kalibening - karanganyar,4,0.07,0.05,0.19,1.00,0.01,0.05,60.07,155,
kalibening - plorengan,3,0.14,0.06,0.19,1.00,0.26,0.14,53.68,243,
kalibening - kasinoman,5,0.65,0.08,0.12,1.00,0.01,0.33,68.33,9,
pandanarum - pandanarum,4,0.31,0.02,0.07,1.00,0.01,0.24,63.14,85,
pandanarum - sinduaji,3,0.25,0.01,0.17,1.00,0.45,0.12,52.46,254,
pandanarum - pasegeran,5,0.34,0.00,0.03,1.00,0.01,0.26,64.75,53,
pandanarum - pingit lor,5,0.20,0.07,0.01,1.00,0.07,0.12,67.36,18,
pandanarum - lawen,4,0.12,0.01,0.07,1.00,0.04,0.15,60.89,137,
pandanarum - sirongge,4,0.25,0.06,0.08,1.00,0.00,0.21,63.63,76,
pandanarum - pringamba,5,0.18,0.01,0.06,1.00,0.01,0.13,64.41,66,
pandanarum - beji,5,0.26,0.05,0.08,1.00,0.03,0.17,64.53,62,
pagedongan - pagedongan,2,0.11,0.02,0.17,1.00,0.27,0.33,45.30,271,
pagedongan - gunungjati,2,0.11,0.03,0.17,1.00,0.42,0.14,48.97,265,
pagedongan - twelagiri,3,0.07,0.04,0.15,1.00,0.17,0.13,54.89,236,
pagedongan - kebutuhduwur,3,0.15,0.01,0.12,1.00,0.10,0.28,53.52,244,
pagedongan - kebutuhjurang,2,0.27,0.05,0.20,1.00,0.38,0.42,42.93,275,
pagedongan - pesangkalan,3,0.36,0.05,0.12,1.00,0.26,0.40,52.07,255,
pagedongan - duren,3,0.13,0.03,0.10,1.00,0.22,0.15,56.68,219,
pagedongan - lebakwangi,3,0.15,0.02,0.14,1.00,0.30,0.22,50.78,261,
pagedongan - gentansari,2,0.12,0.07,0.14,1.00,0.23,0.44,44.19,273,
