Kecamatan,Jala Tebar Produksi (Kg),Jala Tebar Nilai Produksi (Ribu Rp),Pancing Produksi (Kg),Pancing Nilai Produksi (Ribu Rp),Jaring Ingsang Produksi (Kg),Jaring Ingsang Nilai Produksi (Ribu Rp),Lainnya Produksi (Kg),Lainnya Nilai Produksi (Ribu Rp),Tahun
Mandiraja,25309.0,491840.2,24793.0,467079.0,,,10946.0,226905.7,2022
Purwonegoro,16812.0,326716.1,16469.0,310268.0,,,7271.0,150727.3,2022
Bawang,5413.0,106438.6,9852.0,197255.4,84533.0,1477286.4,67978.0,833108.0,2022
Banjarnegara,8701.0,169101.1,8524.0,160587.9,,,3763.0,78013.2,2022
Pagedongan,2779.0,54043.1,3690.0,70743.4,,,1177.0,24401.5,2022
Sigaluh,3880.0,75410.0,3801.0,71613.5,,,1678.0,34789.5,2022
Madukara,4112.0,79913.0,4028.0,75889.9,,,1778.0,36867.1,2022
Banjarmangu,7356.0,142960.4,7206.0,135763.2,,,3181.0,65953.4,2022
Wanadadi,22155.0,432989.7,30535.0,597884.4,164094.0,2867673.6,136994.0,1721644.8,2022
Rakit,13940.0,270909.5,13656.0,257270.8,,,6029.0,124981.5,2022
Punggelan,5466.0,106226.9,5355.0,100879.0,,,2364.0,49006.7,2022
Karangkobar,2549.0,49537.2,2496.0,47043.3,,,1102.0,22853.5,2022
Pagentan,2958.0,57484.4,2898.0,54590.4,,,1279.0,26519.9,2022
Pejawaran,1359.0,26402.2,1331.0,25073.0,,,588.0,12180.4,2022
Batur,771.0,15025.7,2772.0,53326.5,,,281.0,5825.4,2022
Wanayasa,4380.0,85122.8,4291.0,80837.4,,,1894.0,39270.6,2022
Kalibening,4957.0,96337.1,4856.0,91487.1,,,2144.0,44444.2,2022
Pandanarum,2835.0,55100.2,2777.0,52326.4,,,1226.0,25420.0,2022
Susukan,10291.33,201359.32,8380.33,163968.82,0.0,0.0,8083.59,158162.91,2023
Purworejo Klampok,7802.8,152668.97,6353.9,124319.8,0.0,0.0,6128.91,119917.81,2023
Mandiraja,28768.09,562873.97,22570.95,441621.29,0.0,0.0,22656.29,443290.99,2023
Purwonegoro,19208.59,375833.71,15093.82,295324.39,0.0,0.0,14850.68,290567.05,2023
Bawang,12788.79,287842.23,15244.62,343116.58,44543.4,1002555.66,30017.97,675626.17,2023
Banjarnegara,9785.64,191464.99,7968.54,155911.77,0.0,0.0,7686.39,150391.15,2023
Pagedongan,3139.89,59513.02,3794.4,71918.51,0.0,0.0,2404.2,45568.98,2023
Sigaluh,4363.87,85383.03,3553.54,69528.22,0.0,0.0,3427.71,67066.32,2023
Madukara,4624.45,90481.61,3765.73,73680.04,0.0,0.0,3632.4,71071.13,2023
Banjarmangu,8372.91,163823.69,6636.71,129853.33,0.0,0.0,6498.17,127142.72,2023
Wanadadi,37925.2,837306.28,39622.88,874787.24,86766.6,1915618.45,68896.84,1521092.97,2023
Rakit,15677.14,306737.65,12766.05,249779.4,0.0,0.0,12314.02,240935.06,2023
Punggelan,6147.2,120275.55,5005.72,97941.53,0.0,0.0,4828.48,94473.56,2023
Karangkobar,2866.65,56088.6,2334.34,45673.48,0.0,0.0,2251.68,44056.25,2023
Pagentan,3326.54,65086.77,2708.83,53000.78,0.0,0.0,2612.92,51124.1,2023
Pejawaran,1527.86,29893.92,1244.15,24342.91,0.0,0.0,1200.1,23480.96,2023
Batur,895.65,17660.56,3311.09,65288.44,0.0,0.0,573.96,11317.38,2023
Wanayasa,4925.93,96380.41,4011.24,78483.49,0.0,0.0,3869.2,75704.5,2023
Kalibening,5574.89,109077.83,4539.69,88823.12,0.0,0.0,4378.94,85678.01,2023
Pandanarum,3188.57,62387.32,2596.48,50802.59,0.0,0.0,2504.55,49003.74,2023
Susukan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Purworejo Klampok,34109.0,698541.02,0.0,0.0,0.0,0.0,0.0,0.0,2024
Mandiraja,32465.0,662823.85,0.0,0.0,0.0,0.0,0.0,0.0,2024
Purwonegoro,0.0,0.0,0.0,0.0,0.0,0.0,45329.0,890928.45,2024
Bawang,0.0,0.0,31602.0,717578.92,0.0,0.0,2118.0,48805.0,2024
Banjarnegara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Pagedongan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Sigaluh,0.0,0.0,43309.0,990512.51,0.0,0.0,0.0,0.0,2024
Madukara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Banjarmangu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Wanadadi,9122.0,204114.0,0.0,0.0,103344.0,2049283.0,66804.0,2053956.0,2024
Rakit,0.0,0.0,0.0,0.0,0.0,0.0,33606.0,659497.26,2024
Punggelan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Karangkobar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Pagentan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Pejawaran,0.0,0.0,102021.0,2357078.04,0.0,0.0,0.0,0.0,2024
Batur,1011.0,21816.0,2944.0,65043.0,0.0,0.0,0.0,0.0,2024
Wanayasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Kalibening,33466.0,683925.55,0.0,0.0,0.0,0.0,34315.0,674312.02,2024
Pandanarum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
