Kecamatan,Kelapa Sawit,Kelapa Dalam,Karet,Kopi Robusta,Kakao,Tebu,Teh,Tembakau,Tahun 
Banjarnegara, - , 264 , - , 93 , 1 , - , - , - ,2023
Pagedongan, - , 658 , 0 , 50 , 0 , - , - , - ,2023
Sigaluh, - , 305 , - , 40 , 0 , - , - , - ,2023
Madukara, - ," 1,428 ", - , 31 , - , - , - , - ,2023
Banjarmangu, - , 358 , - , 40 , 1 , - , - , - ,2023
Wanadadi, - , 370 , - , - , 4 , - , - , - ,2023
Rakit, - ," 1,114 ", - , - , 1 , - , - , - ,2023
Punggelan, - , 630 , - , - , 1 , - , - , - ,2023
Karangkobar, - , 1 , - , - , - , - , 148 , 4 ,2023
Pagentan, - , 33 , - , - , - , - , 27 , 95 ,2023
Pejawaran, - , - , - , - , - , - , 19 , 244 ,2023
Batur, - , - , - , - , - , - , 19 , 25 ,2023
Wanayasa, - , 4 , - , - , - , - , 769 , 4 ,2023
Kalibening, - , 5 , - , - , - , - , 954 , 19 ,2023
Pandanarum, - , - , - , - , - , - , 190 , - ,2023
Susukan, - ," 3,558 ", - , 32 , - , - , - , - ,2024
Purwareja Klampok, - , 327 , - , 3 , - , - , - , - ,2024
Mandiraja, - ," 1,617 ", - , 48 , - , - , - , - ,2024
Purwanegara, - ," 2,142 ", - , 33 , 1 , - , - , - ,2024
Bawang, - , 459 , 436 , 88 , 52 , - , - , - ,2024
Banjarnegara, - , 609 , - , 173 , 2 , - , - , - ,2024
Pagedongan, - ," 1,317 ", 333 , 87 , 1 , - , - , - ,2024
Sigaluh, - ," 1,145 ", - , 78 , 0 , - , - , - ,2024
Madukara, - ," 1,320 ", - , 61 , - , - , - , - ,2024
Banjarmangu, - , 770 , - , 84 , 4 , - , - , - ,2024
Wanadadi, - , 873 , - , 87 , 9 , - , - , - ,2024
Rakit, - ," 1,432 ", - , 17 , 2 , - , - , - ,2024
Punggelan, - ," 1,260 ", - , 177 , 2 , - , - , - ,2024
Karangkobar, - , 4 , - , 352 , - , - , 296 , 4 ,2024
Pagentan, - , 66 , - , 55 , - , - , 45 , 83 ,2024
Pejawaran, - , - , - , 184 , - , - , 37 , 307 ,2024
Batur, - , - , - , - , - , - , 22 , 21 ,2024
Wanayasa, - , 11 , - , 155 , - , - ," 1,289 ", 4 ,2024
Kalibening, - , 11 , - , 344 , - , - ," 1,724 ", 12 ,2024
Pandanarum, - , - , - , 109 , - , - , 318 , - ,2024
