Kecamatan,Arah (Masuk/Keluar),Jenis,Tahun,Jumlah (Ekor)
Kalibening,pengeluaran,Sapi,2020,0
Kalibening,pengeluaran,Kerbau,2020,0
Kalibening,pengeluaran,Kambing,2020,0
Kalibening,pemasukan,Sapi,2021,0
Kalibening,pemasukan,Sapi Perah,2021,0
Kalibening,pemasukan,Kerbau,2021,0
Kalibening,pemasukan,Kuda,2021,0
Kalibening,pemasukan,Kambing,2021,0
Kalibening,pengeluaran,Sapi,2021,0
Kalibening,pengeluaran,Kerbau,2021,0
Kalibening,pengeluaran,Kambing,2021,0
Kalibening,pengeluaran,Domba,2021,0
Kalibening,pemasukan,Sapi,2022,0
Kalibening,pemasukan,Sapi Perah,2022,0
Kalibening,pemasukan,Kerbau,2022,0
Kalibening,pemasukan,Kuda,2022,0
Kalibening,pemasukan,Kambing,2022,0
Kalibening,pengeluaran,Sapi,2022,0
Kalibening,pengeluaran,Kerbau,2022,0
Kalibening,pengeluaran,Kambing,2022,0
Kalibening,pengeluaran,Domba,2022,0
Kalibening,pemasukan,Sapi,2023,0
Kalibening,pemasukan,Sapi Perah,2023,0
Kalibening,pemasukan,Kerbau,2023,0
Kalibening,pemasukan,Kuda,2023,0
Kalibening,pemasukan,Kambing,2023,0
Kalibening,pemasukan,Domba,2023,0
Kalibening,pengeluaran,Sapi,2023,0
Kalibening,pengeluaran,Kerbau,2023,0
Kalibening,pengeluaran,Kambing,2023,0
Kalibening,pengeluaran,Domba,2023,0
Kalibening,pemasukan,Sapi,2024,0
Kalibening,pemasukan,Sapi Perah,2024,0
Kalibening,pemasukan,Kerbau,2024,0
Kalibening,pemasukan,Kuda,2024,0
Kalibening,pemasukan,Kambing,2024,0
Kalibening,pengeluaran,Sapi,2024,0
Kalibening,pengeluaran,Kerbau,2024,0
Kalibening,pengeluaran,Kambing,2024,0
Karangkobar,pemasukan,Sapi,2018,0
Karangkobar,pemasukan,Sapi Perah,2018,0
Karangkobar,pemasukan,Kerbau,2018,0
Karangkobar,pemasukan,Kuda,2018,0
Karangkobar,pemasukan,Kambing,2018,0
Karangkobar,pengeluaran,Sapi,2018,0
Karangkobar,pengeluaran,Kerbau,2018,0
Karangkobar,pengeluaran,Kambing,2018,0
Karangkobar,pengeluaran,Domba,2018,0
Karangkobar,pemasukan,Sapi,2020,0
Karangkobar,pemasukan,Sapi Perah,2020,0
Karangkobar,pemasukan,Kerbau,2020,0
Karangkobar,pemasukan,Kuda,2020,0
Karangkobar,pemasukan,Kambing,2020,0
Karangkobar,pengeluaran,Sapi,2020,0
Karangkobar,pengeluaran,Kerbau,2020,0
Karangkobar,pengeluaran,Kambing,2020,0
Karangkobar,pemasukan,Sapi,2021,0
Karangkobar,pemasukan,Sapi Perah,2021,0
Karangkobar,pemasukan,Kerbau,2021,0
Karangkobar,pemasukan,Kuda,2021,0
Karangkobar,pemasukan,Kambing,2021,0
Karangkobar,pengeluaran,Sapi,2021,0
Karangkobar,pengeluaran,Kerbau,2021,0
Karangkobar,pengeluaran,Kambing,2021,0
Karangkobar,pengeluaran,Domba,2021,0
Karangkobar,pemasukan,Sapi,2022,0
Karangkobar,pemasukan,Sapi Perah,2022,0
Karangkobar,pemasukan,Kerbau,2022,0
Karangkobar,pemasukan,Kuda,2022,0
Karangkobar,pemasukan,Kambing,2022,0
Karangkobar,pengeluaran,Sapi,2022,0
Karangkobar,pengeluaran,Kerbau,2022,0
Karangkobar,pengeluaran,Kambing,2022,0
Karangkobar,pengeluaran,Domba,2022,0
Karangkobar,pemasukan,Sapi,2023,0
Karangkobar,pemasukan,Sapi Perah,2023,0
Karangkobar,pemasukan,Kerbau,2023,0
Karangkobar,pemasukan,Kuda,2023,0
Karangkobar,pemasukan,Kambing,2023,0
Karangkobar,pemasukan,Domba,2023,0
Karangkobar,pengeluaran,Sapi,2023,0
Karangkobar,pengeluaran,Kerbau,2023,0
Karangkobar,pengeluaran,Kambing,2023,0
Karangkobar,pengeluaran,Domba,2023,0
Karangkobar,pemasukan,Sapi,2024,0
Karangkobar,pemasukan,Sapi Perah,2024,0
Karangkobar,pemasukan,Kerbau,2024,0
Karangkobar,pemasukan,Kuda,2024,0
Karangkobar,pemasukan,Kambing,2024,0
Karangkobar,pengeluaran,Sapi,2024,0
Karangkobar,pengeluaran,Kerbau,2024,0
Karangkobar,pengeluaran,Kambing,2024,0
Madukara,pemasukan,Sapi,2018,4930
Madukara,pemasukan,Sapi Perah,2018,0
Madukara,pemasukan,Kerbau,2018,0
Madukara,pemasukan,Kuda,2018,0
Madukara,pemasukan,Kambing,2018,1050
Madukara,pengeluaran,Sapi,2018,5261
Madukara,pengeluaran,Kerbau,2018,0
Madukara,pengeluaran,Kambing,2018,17210
Madukara,pengeluaran,Domba,2018,0
Madukara,pemasukan,Sapi,2020,7368
Madukara,pemasukan,Sapi Perah,2020,0
Madukara,pemasukan,Kerbau,2020,0
Madukara,pemasukan,Kuda,2020,0
Madukara,pemasukan,Kambing,2020,9852
Madukara,pengeluaran,Sapi,2020,1440
Madukara,pengeluaran,Kerbau,2020,0
Madukara,pengeluaran,Kambing,2020,1320
Madukara,pemasukan,Sapi,2021,1401
Madukara,pemasukan,Sapi Perah,2021,0
Madukara,pemasukan,Kerbau,2021,0
Madukara,pemasukan,Kuda,2021,0
Madukara,pemasukan,Kambing,2021,0
Madukara,pengeluaran,Sapi,2021,1234
Madukara,pengeluaran,Kambing,2021,1195
Madukara,pengeluaran,Domba,2021,3
Madukara,pemasukan,Sapi,2022,1401
Madukara,pemasukan,Sapi Perah,2022,0
Madukara,pemasukan,Kerbau,2022,0
Madukara,pemasukan,Kuda,2022,0
Madukara,pemasukan,Kambing,2022,0
Madukara,pengeluaran,Sapi,2022,0
Madukara,pengeluaran,Kerbau,2022,0
Madukara,pengeluaran,Kambing,2022,0
Madukara,pengeluaran,Domba,2022,0
Madukara,pemasukan,Sapi,2023,10348
Madukara,pemasukan,Kerbau,2023,0
Madukara,pemasukan,Kuda,2023,0
Madukara,pemasukan,Kambing,2023,11531
Madukara,pemasukan,Domba,2023,2457
Madukara,pengeluaran,Sapi,2023,1817
Madukara,pengeluaran,Kerbau,2023,0
Madukara,pengeluaran,Kambing,2023,7692
Madukara,pengeluaran,Domba,2023,568
Madukara,pemasukan,Sapi,2024,1806
Madukara,pemasukan,Sapi Perah,2024,0
Madukara,pemasukan,Kerbau,2024,0
Madukara,pemasukan,Kuda,2024,0
Madukara,pemasukan,Kambing,2024,1895
Madukara,pengeluaran,Sapi,2024,1183
Madukara,pengeluaran,Kerbau,2024,0
Madukara,pengeluaran,Kambing,2024,1037
Mandiraja,pemasukan,Sapi,2018,0
Mandiraja,pemasukan,Sapi Perah,2018,0
Mandiraja,pemasukan,Kerbau,2018,0
Mandiraja,pemasukan,Kuda,2018,0
Mandiraja,pemasukan,Kambing,2018,0
Mandiraja,pengeluaran,Sapi,2018,0
Mandiraja,pengeluaran,Kerbau,2018,0
Mandiraja,pengeluaran,Kambing,2018,0
Mandiraja,pengeluaran,Domba,2018,0
Mandiraja,pemasukan,Sapi,2020,0
Mandiraja,pemasukan,Sapi Perah,2020,0
Mandiraja,pemasukan,Kerbau,2020,0
Mandiraja,pemasukan,Kuda,2020,0
Mandiraja,pemasukan,Kambing,2020,0
Mandiraja,pengeluaran,Sapi,2020,0
Mandiraja,pengeluaran,Kerbau,2020,0
Mandiraja,pengeluaran,Kambing,2020,0
Mandiraja,pemasukan,Sapi,2021,0
Mandiraja,pemasukan,Sapi Perah,2021,0
Mandiraja,pemasukan,Kerbau,2021,0
Mandiraja,pemasukan,Kuda,2021,0
Mandiraja,pemasukan,Kambing,2021,0
Mandiraja,pengeluaran,Sapi,2021,0
Mandiraja,pengeluaran,Kerbau,2021,0
Mandiraja,pengeluaran,Kambing,2021,0
Mandiraja,pengeluaran,Domba,2021,0
Mandiraja,pemasukan,Sapi,2022,0
Mandiraja,pemasukan,Sapi Perah,2022,0
Mandiraja,pemasukan,Kerbau,2022,0
