Kelompok,Komoditas,Tahun,Nilai,Satuan
sayuran_buah_semusim,Ketimun,2021,27,ha
sayuran_buah_semusim,Kubis,2021,2205,ha
sayuran_buah_semusim,Labu Siam,2021,58,ha
sayuran_buah_semusim,Lobak,2021,0,ha
sayuran_buah_semusim,Petsai,2021,294,ha
sayuran_buah_semusim,Terung,2021,212,ha
sayuran_buah_semusim,Tomat,2021,340,ha
sayuran_buah_semusim,Wortel,2021,2902,ha
sayuran_buah_semusim,Blewah,2021,0,ha
sayuran_buah_semusim,Melon,2021,0,ha
sayuran_buah_semusim,Semangka,2021,0,ha
tanaman_hias,Agloenema,2021,180,m2
tanaman_hias,Anthurium Daun,2021,21,m2
tanaman_hias,Caladium,2021,0,m2
tanaman_hias,Pakis,2021,1,m2
tanaman_hias,Sansievera Pedang-Pedangan,2021,47,m2
tanaman_hias,Soka,2021,80,m2
tanaman_hias,Krisan,2021,0,m2
tanaman_hias,Mawar,2021,0,m2
tanaman_hias,Melati,2021,88,m2
tanaman_hias,Palem,2021,84,m2
tanaman_hias,Pisang-pisangan,2021,0,m2
tanaman_hias,Sedap Malam,2021,0,m2
biofarmaka,Dringo,2021,0,m2
biofarmaka,Jahe,2021,322765,m2
biofarmaka,Kapulaga,2021,84500,m2
biofarmaka,Kencur,2021,73200,m2
biofarmaka,Kunyit,2021,91176,m2
biofarmaka,Laos,2021,29605,m2
biofarmaka,Lempuyang,2021,2600,m2
biofarmaka,Lidah Buaya,2021,0,m2
biofarmaka,Mengkudu,2021,1500,m2
biofarmaka,Temuireng,2021,0,m2
biofarmaka,Temukunci,2021,0,m2
biofarmaka,Temulawak,2021,0,m2
biofarmaka,Sambiloto,2021,0,m2
sayuran_buah_semusim,Bawang Daun,2022,3,ha
sayuran_buah_semusim,Bawang Merah,2022,0,ha
sayuran_buah_semusim,Bawang Putih,2022,0,ha
sayuran_buah_semusim,Bayam,2022,462,ha
sayuran_buah_semusim,Buncis,2022,2173,ha
sayuran_buah_semusim,Cabai Besar,2022,3047,ha
sayuran_buah_semusim,Cabai Rawit,2022,0,ha
sayuran_buah_semusim,Cabai,2022,10515,ha
sayuran_buah_semusim,Jamur,2022,230,ha
sayuran_buah_semusim,Kacang Merah,2022,96,ha
sayuran_buah_semusim,Kacang Panjang,2022,57,ha
sayuran_buah_semusim,Kangkung,2022,0,ha
sayuran_buah_semusim,Kembang Kol,2022,7052,ha
sayuran_buah_semusim,Kentang,2022,58,ha
sayuran_buah_semusim,Ketimun,2022,2238,ha
sayuran_buah_semusim,Kubis,2022,76,ha
sayuran_buah_semusim,Labu Siam,2022,0,ha
sayuran_buah_semusim,Lobak,2022,453,ha
sayuran_buah_semusim,Petsai,2022,193,ha
sayuran_buah_semusim,Terung,2022,369,ha
sayuran_buah_semusim,Tomat,2022,2946,ha
sayuran_buah_semusim,Sawi Putih,2022,0,ha
sayuran_buah_semusim,Blewah,2022,31461,ha
sayuran_buah_semusim,Buah-buahan,2022,0,ha
tanaman_hias,Agloenema,2022,98,m2
tanaman_hias,Anthurium Daun,2022,84,m2
tanaman_hias,Caladium,2022,2000,m2
tanaman_hias,Pakis,2022,2,m2
tanaman_hias,Sansievera Pedang-Pedangan,2022,30,m2
tanaman_hias,Soka,2022,0,m2
tanaman_hias,Krisan,2022,0,m2
tanaman_hias,Mawar,2022,0,m2
tanaman_hias,Melati,2022,140,m2
tanaman_hias,Palem,2022,61,m2
tanaman_hias,Pisang-pisangan,2022,0,m2
tanaman_hias,Sedap Malam,2022,0,m2
biofarmaka,Dringo,2022,31,m2
biofarmaka,Jahe,2022,305040,m2
biofarmaka,Kapulaga,2022,1555619,m2
biofarmaka,Kencur,2022,59427,m2
biofarmaka,Kunyit,2022,102685,m2
biofarmaka,Laos,2022,97340,m2
biofarmaka,Lempuyang,2022,2500,m2
biofarmaka,Lidah Buaya,2022,0,m2
biofarmaka,Mengkudu,2022,0,m2
biofarmaka,Temuireng,2022,0,m2
biofarmaka,Temukunci,2022,0,m2
biofarmaka,Temulawak,2022,0,m2
biofarmaka,Sambiloto,2022,5800,m2
sayuran_buah_semusim,Bawang Daun,2023,10,ha
sayuran_buah_semusim,Bawang Merah,2023,1,ha
sayuran_buah_semusim,Bawang Putih,2023,0,ha
sayuran_buah_semusim,Bayam,2023,855,ha
sayuran_buah_semusim,Buncis,2023,7459.5,ha
sayuran_buah_semusim,Cabai Besar,2023,10038.4,ha
sayuran_buah_semusim,Cabai Rawit,2023,0,ha
sayuran_buah_semusim,Cabai,2023,16459,ha
sayuran_buah_semusim,Jamur,2023,0,ha
sayuran_buah_semusim,Kacang Merah,2023,270,ha
sayuran_buah_semusim,Kacang Panjang,2023,51.5,ha
sayuran_buah_semusim,Kangkung,2023,0,ha
sayuran_buah_semusim,Kembang Kol,2023,4411,ha
sayuran_buah_semusim,Kentang,2023,34.5,ha
sayuran_buah_semusim,Ketimun,2023,1977,ha
sayuran_buah_semusim,Kubis,2023,359,ha
sayuran_buah_semusim,Labu Siam,2023,0,ha
sayuran_buah_semusim,Lobak,2023,336,ha
sayuran_buah_semusim,Petsai,2023,418,ha
sayuran_buah_semusim,Terung,2023,1140,ha
sayuran_buah_semusim,Tomat,2023,2323,ha
sayuran_buah_semusim,Sawi Putih,2023,0,ha
sayuran_buah_semusim,Blewah,2023,47346.9,ha
sayuran_buah_semusim,Buah-buahan,2023,0,ha
tanaman_hias,Agloenema,2023,69,m2
tanaman_hias,Anthurium Daun,2023,0,m2
tanaman_hias,Caladium,2023,0,m2
tanaman_hias,Pakis,2023,0,m2
tanaman_hias,Sansievera Pedang-Pedangan,2023,18,m2
tanaman_hias,Soka,2023,0,m2
tanaman_hias,Krisan,2023,0,m2
tanaman_hias,Mawar,2023,0,m2
tanaman_hias,Melati,2023,0,m2
tanaman_hias,Palem,2023,44,m2
tanaman_hias,Pisang-pisangan,2023,0,m2
tanaman_hias,Sedap Malam,2023,0,m2
biofarmaka,Dringo,2023,0,m2
biofarmaka,Jahe,2023,181603,m2
biofarmaka,Kapulaga,2023,1429506,m2
biofarmaka,Kencur,2023,175323,m2
biofarmaka,Kunyit,2023,27540,m2
biofarmaka,Laos,2023,6736,m2
biofarmaka,Lempuyang,2023,15600,m2
biofarmaka,Lidah Buaya,2023,0,m2
biofarmaka,Mengkudu,2023,0,m2
biofarmaka,Temuireng,2023,0,m2
biofarmaka,Temukunci,2023,0,m2
biofarmaka,Temulawak,2023,407915,m2
biofarmaka,Sambiloto,2023,400,m2
sayuran_buah_semusim,Bawang Daun,2024,0.35,ha
sayuran_buah_semusim,Bawang Merah,2024,0,ha
sayuran_buah_semusim,Bawang Putih,2024,0,ha
sayuran_buah_semusim,Bayam,2024,666,ha
sayuran_buah_semusim,Buncis,2024,3572.2,ha
sayuran_buah_semusim,Cabai Besar,2024,5541.5,ha
sayuran_buah_semusim,Cabai Rawit,2024,0,ha
sayuran_buah_semusim,Cabai,2024,12499.97,ha
sayuran_buah_semusim,Jamur,2024,0,ha
sayuran_buah_semusim,Kacang Merah,2024,67,ha
sayuran_buah_semusim,Kacang Panjang,2024,60,ha
sayuran_buah_semusim,Kangkung,2024,0,ha
sayuran_buah_semusim,Kembang Kol,2024,7644,ha
sayuran_buah_semusim,Kentang,2024,27,ha
sayuran_buah_semusim,Ketimun,2024,1919,ha
sayuran_buah_semusim,Kubis,2024,223.5,ha
sayuran_buah_semusim,Labu Siam,2024,0,ha
sayuran_buah_semusim,Lobak,2024,279,ha
sayuran_buah_semusim,Petsai,2024,360,ha
sayuran_buah_semusim,Terung,2024,1232,ha
sayuran_buah_semusim,Tomat,2024,2117,ha
sayuran_buah_semusim,Sawi Putih,2024,0,ha
sayuran_buah_semusim,Blewah,2024,37269.52,ha
sayuran_buah_semusim,Buah-buahan,2024,1,ha
tanaman_hias,Agloenema,2024,47,m2
tanaman_hias,Anthurium Daun,2024,0,m2
tanaman_hias,Caladium,2024,0,m2
tanaman_hias,Pakis,2024,8,m2
tanaman_hias,Sansievera Pedang-Pedangan,2024,5,m2
tanaman_hias,Soka,2024,0,m2
tanaman_hias,Krisan,2024,0,m2
tanaman_hias,Mawar,2024,0,m2
tanaman_hias,Melati,2024,0,m2
tanaman_hias,Palem,2024,20,m2
tanaman_hias,Pisang-pisangan,2024,0,m2
tanaman_hias,Sedap Malam,2024,0,m2
biofarmaka,Dringo,2024,0,m2
biofarmaka,Jahe,2024,245175,m2
biofarmaka,Kapulaga,2024,1328464,m2
biofarmaka,Kencur,2024,75977,m2
biofarmaka,Kunyit,2024,103803,m2
biofarmaka,Laos,2024,103803,m2
biofarmaka,Lempuyang,2024,11500,m2
biofarmaka,Lidah Buaya,2024,0,m2
biofarmaka,Mengkudu,2024,0,m2
biofarmaka,Temuireng,2024,0,m2
biofarmaka,Temukunci,2024,0,m2
biofarmaka,Temulawak,2024,2224,m2
biofarmaka,Sambiloto,2024,0,m2
