Kecamatan,Desa,Tahun,KTH,KTH Pemula,KTH Madya,KTH Utama
Pagedongan,GUNUNGJATI,2026,2,2,0,0
Pagedongan,TWELAGIRI,2026,1,1,0,0
Pagentan,ARIBAYA,2026,3,3,0,0
Pagentan,KASMARAN,2026,2,2,0,0
Pagentan,KAREKAN,2026,2,2,0,0
Pagentan,GUMINGSIR,2026,3,3,0,0
Pagentan,LARANGAN,2026,3,3,0,0
Pagentan,KARANGNANGKA,2026,1,1,0,0
Pagentan,METAWANA,2026,2,2,0,0
Pagentan,BABADAN,2026,2,1,1,0
Pagentan,PLUMBUNGAN,2026,2,2,0,0
Pagentan,KAYUARES,2026,4,4,0,0
Pagentan,PAGENTAN,2026,5,5,0,0
Pagentan,SOKARAJA,2026,3,3,0,0
Pagentan,MAJASARI,2026,1,1,0,0
Pagentan,TEGALJERUK,2026,2,2,0,0
Pagentan,KALITLAGA,2026,2,2,0,0
Pagentan,NAGASARI,2026,1,1,0,0
Pandanarum,PASEGERAN,2026,3,1,2,0
Pandanarum,PANDANARUM,2026,1,0,1,0
Pandanarum,PRINGAMBA,2026,2,0,2,0
Pandanarum,PINGIT LOR,2026,1,1,0,0
Pandanarum,SIRONGGE,2026,1,0,1,0
Pandanarum,SINDUAJI,2026,1,1,0,0
Pandanarum,LAWEN,2026,4,2,2,0
Pandanarum,BEJI,2026,2,1,1,0
Pejawaran,PEJAWARAN,2026,1,1,0,0
Pejawaran,SARWODADI,2026,2,2,0,0
Pejawaran,KARANGSARI,2026,3,2,1,0
Pejawaran,PEGUNDUNGAN,2026,1,1,0,0
Pejawaran,GIRITIRTA,2026,5,5,0,0
Pejawaran,BITING,2026,1,1,0,0
Pejawaran,CONDONGCAMPUR,2026,2,2,0,0
Pejawaran,RATAMBA,2026,2,2,0,0
Pejawaran,KALILUNJAR,2026,1,1,0,0
Pejawaran,DERMAYASA,2026,1,1,0,0
Pejawaran,GEMBOL,2026,2,2,0,0
Punggelan,BADAKARYA,2026,2,2,0,0
Punggelan,BONDOLHARJO,2026,1,0,1,0
Punggelan,JEMBANGAN,2026,1,1,0,0
Punggelan,TANJUNGTIRTA,2026,2,2,0,0
Punggelan,MLAYA,2026,1,1,0,0
Punggelan,SAWANGAN,2026,1,1,0,0
Punggelan,KLAPA,2026,1,1,0,0
Punggelan,SIDARATA,2026,1,1,0,0
Punggelan,PURWASANA,2026,1,1,0,0
Punggelan,TLAGA,2026,2,2,0,0
Punggelan,PUNGGELAN,2026,2,2,0,0
Punggelan,SAMBONG,2026,1,1,0,0
Punggelan,TRIBUANA,2026,1,1,0,0
Punggelan,PETUGURAN,2026,1,1,0,0
Punggelan,DANAKERTA,2026,2,2,0,0
Punggelan,KARANGSARI,2026,1,1,0,0
Purwanegara,PETIR,2026,8,6,2,0
Purwanegara,PUCUNGBEDUK,2026,4,3,1,0
Purwanegara,PARAKAN,2026,2,1,1,0
