Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Bawang,unggas,Ayam Broiler,2021,217000
Bawang,unggas,Itik Biasa,2021,4162
Bawang,unggas,Itik Manila,2021,843
Bawang,besar,Sapi Perah,2022,0
Bawang,besar,Sapi,2022,2871
Bawang,besar,Kerbau,2022,3
Bawang,besar,Kuda,2022,6
Bawang,kecil,Kambing,2022,5243
Bawang,kecil,Domba,2022,1103
Bawang,kecil,Babi,2022,0
Bawang,kecil,Kelinci,2022,849
Bawang,unggas,Ayam Kampung,2022,18327
Bawang,unggas,Ayam Ras Layer,2022,6626
Bawang,unggas,Ayam Broiler,2022,216308
Bawang,unggas,Itik Biasa,2022,4116
Bawang,unggas,Itik Manila,2022,861
Bawang,besar,Sapi Perah,2023,0
Bawang,besar,Sapi,2023,2211
Bawang,besar,Kerbau,2023,2
Bawang,besar,Kuda,2023,6
Bawang,kecil,Kambing,2023,5358
Bawang,kecil,Domba,2023,1116
Bawang,kecil,Kelinci,2023,820
Bawang,unggas,Ayam Kampung,2023,18327
Bawang,unggas,Ayam Ras Layer,2023,6626
Bawang,unggas,Ayam Broiler,2023,216308
Bawang,unggas,Itik Biasa,2023,4116
Bawang,unggas,Itik Manila,2023,861
Bawang,besar,Sapi Perah,2024,0
Bawang,besar,Sapi,2024,2375
Bawang,besar,Kerbau,2024,0
Bawang,besar,Kuda,2024,6
Bawang,kecil,Kambing,2024,8283
Bawang,kecil,Domba,2024,3007
Bawang,kecil,Babi,2024,3
Bawang,kecil,Kelinci,2024,1355
Bawang,unggas,Ayam Kampung,2024,27966
Bawang,unggas,Ayam Ras Layer,2024,29718
Bawang,unggas,Ayam Broiler,2024,172940
Bawang,unggas,Itik Biasa,2024,2114
Bawang,unggas,Itik Manila,2024,998
Kalibening,besar,Sapi Perah,2018,1
Kalibening,besar,Sapi,2018,3970
Kalibening,besar,Kerbau,2018,176
Kalibening,besar,Kuda,2018,0
Kalibening,kecil,Kambing,2018,5847
Kalibening,kecil,Domba,2018,5209
Kalibening,kecil,Babi,2018,0
Kalibening,kecil,Kelinci,2018,376
Kalibening,unggas,Ayam Kampung,2018,20434
Kalibening,unggas,Ayam Ras Layer,2018,0
Kalibening,unggas,Ayam Broiler,2018,0
Kalibening,unggas,Itik Biasa,2018,724
Kalibening,unggas,Itik Manila,2018,1068
Kalibening,besar,Sapi,2019,4015
Kalibening,besar,Kerbau,2019,75
Kalibening,kecil,Kambing,2019,7266
Kalibening,kecil,Domba,2019,3469
