Kecamatan,Jenis Alat,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Pagentan,Lainnya,2024,0,0
Pandanarum,Jala Tebar,2019,2718.53,51267.5
Pandanarum,Pancing,2019,5235.31,95653.47
Pandanarum,Jaring Ingsang,2019,666.36,11830.39
Pandanarum,Lainnya,2019,2217,33110.01
Pandanarum,Jala Tebar,2020,3232,65852.5
Pandanarum,Pancing,2020,5930,118112.5
Pandanarum,Jaring Ingsang,2020,727,15362.5
Pandanarum,Lainnya,2020,2162,45275.5
Pandanarum,Jala Tebar,2021,3774,73862.9
Pandanarum,Pancing,2021,5525,105317.1
Pandanarum,Jaring Ingsang,2021,0,0
Pandanarum,Lainnya,2021,2067,42913.6
Pandanarum,Jala Tebar,2022,2835,55100.2
Pandanarum,Pancing,2022,2777,52326.4
Pandanarum,Lainnya,2022,1226,25420
Pandanarum,Jala Tebar,2023,3188.57,62387.32
Pandanarum,Pancing,2023,2596.48,50802.59
Pandanarum,Jaring Ingsang,2023,0,0
Pandanarum,Lainnya,2023,2504.55,49003.74
Pandanarum,Jala Tebar,2024,0,0
Pandanarum,Pancing,2024,0,0
Pandanarum,Jaring Ingsang,2024,0,0
Pandanarum,Lainnya,2024,0,0
Pejawaran,Jala Tebar,2019,1302.63,24565.68
Pejawaran,Pancing,2019,2508.59,45833.96
Pejawaran,Jaring Ingsang,2019,319.3,5668.73
Pejawaran,Lainnya,2019,1062.31,15865.21
Pejawaran,Jala Tebar,2020,1548,31554.3
Pejawaran,Pancing,2020,2842,56595.6
Pejawaran,Jaring Ingsang,2020,348,7361.2
Pejawaran,Lainnya,2020,1036,21694.5
Pejawaran,Jala Tebar,2021,1808,35392.65
Pejawaran,Pancing,2021,2647,50464.4
Pejawaran,Jaring Ingsang,2021,0,0
Pejawaran,Lainnya,2021,991,20562.8
Pejawaran,Jala Tebar,2022,1359,26402.2
Pejawaran,Pancing,2022,1331,25073
Pejawaran,Lainnya,2022,588,12180.4
Pejawaran,Jala Tebar,2023,1527.86,29893.92
Pejawaran,Pancing,2023,1244.15,24342.91
Pejawaran,Jaring Ingsang,2023,0,0
Pejawaran,Lainnya,2023,1200.1,23480.96
Pejawaran,Jala Tebar,2024,0,0
Pejawaran,Pancing,2024,102021,2357078.04
Pejawaran,Jaring Ingsang,2024,0,0
Pejawaran,Lainnya,2024,0,0
