Kecamatan,Arah (Masuk/Keluar),Tahun,Jumlah (Ekor)
Rakit,lain_daerah,2019,876891
Rakit,sendiri,2020,2084075.04
Rakit,lain_daerah,2020,1426897.96
Rakit,sendiri,2021,2273078.89
Rakit,lain_daerah,2021,1556302.71
Rakit,sendiri,2022,2437402.67
Rakit,lain_daerah,2022,1668809.82
Rakit,sendiri,2023,2453907.8
Rakit,lain_daerah,2023,1680110.35
Rakit,sendiri,2024,2436736.97
Rakit,lain_daerah,2024,1668354.04
Sigaluh,sendiri,2018,0
Sigaluh,lain_daerah,2018,374275.76
Sigaluh,sendiri,2019,202517
Sigaluh,lain_daerah,2019,190040
Sigaluh,sendiri,2020,252580.29
Sigaluh,lain_daerah,2020,237018.48
Sigaluh,sendiri,2021,275486.69
Sigaluh,lain_daerah,2021,258513.58
Sigaluh,sendiri,2022,295401.98
Sigaluh,lain_daerah,2022,277201.85
Sigaluh,sendiri,2023,297402.32
Sigaluh,lain_daerah,2023,279078.96
Sigaluh,sendiri,2024,295321.3
Sigaluh,lain_daerah,2024,277126.15
Susukan,sendiri,2018,0
Susukan,lain_daerah,2018,491591.53
Susukan,sendiri,2019,454560
Susukan,lain_daerah,2019,61043
Susukan,sendiri,2020,123873.67
Susukan,lain_daerah,2020,16635.06
Susukan,sendiri,2021,135107.72
Susukan,lain_daerah,2021,18143.69
Susukan,sendiri,2022,144874.83
Susukan,lain_daerah,2022,19455.32
Susukan,sendiri,2023,145855.87
Susukan,lain_daerah,2023,19587.06
Susukan,sendiri,2024,144835.27
Susukan,lain_daerah,2024,19450.01
Wanadadi,sendiri,2018,0
Wanadadi,lain_daerah,2018,2122500.44
Wanadadi,sendiri,2019,1151201
Wanadadi,lain_daerah,2019,1074974
Wanadadi,sendiri,2020,1048153.93
Wanadadi,lain_daerah,2020,978750.07
Wanadadi,sendiri,2021,1143210.56
Wanadadi,lain_daerah,2021,1067512.48
Wanadadi,sendiri,2022,1225854.71
Wanadadi,lain_daerah,2022,1144684.32
Wanadadi,sendiri,2023,1234155.71
Wanadadi,lain_daerah,2023,1152435.68
Wanadadi,sendiri,2024,1225519.9
Wanadadi,lain_daerah,2024,1144371.69
Wanayasa,sendiri,2018,0
Wanayasa,lain_daerah,2018,360915.3
Wanayasa,sendiri,2019,139939
Wanayasa,lain_daerah,2019,238606
Wanayasa,sendiri,2020,389569.74
Wanayasa,lain_daerah,2020,664245.8
Wanayasa,sendiri,2021,424899.65
Wanayasa,lain_daerah,2021,724485.96
Wanayasa,sendiri,2022,455616.19
Wanayasa,lain_daerah,2022,776859.97
Wanayasa,sendiri,2023,458701.44
Wanayasa,lain_daerah,2023,782120.56
Wanayasa,sendiri,2024,455491.75
Wanayasa,lain_daerah,2024,776647.8
