Kecamatan,Lokasi (RPH),Jenis,Tahun,Jumlah (Ekor)
Mandiraja,luar_rph,Domba,2018,21
Mandiraja,luar_rph,Sapi,2020,181
Mandiraja,luar_rph,Kerbau,2020,0
Mandiraja,luar_rph,Babi,2020,0
Mandiraja,luar_rph,Kambing,2020,523
Mandiraja,luar_rph,Domba,2020,43
Mandiraja,luar_rph,Sapi,2021,182
Mandiraja,luar_rph,Kerbau,2021,0
Mandiraja,luar_rph,Babi,2021,0
Mandiraja,luar_rph,Kambing,2021,240
Mandiraja,luar_rph,Domba,2021,50
Mandiraja,luar_rph,Sapi,2023,129
Mandiraja,luar_rph,Kerbau,2023,0
Mandiraja,luar_rph,Babi,2023,0
Mandiraja,luar_rph,Kambing,2023,267
Mandiraja,luar_rph,Domba,2023,2
Mandiraja,luar_rph,Sapi,2024,179
Mandiraja,luar_rph,Kerbau,2024,0
Mandiraja,luar_rph,Babi,2024,0
Mandiraja,luar_rph,Kambing,2024,636
Mandiraja,luar_rph,Domba,2024,90
Pagedongan,luar_rph,Sapi,2018,60
Pagedongan,luar_rph,Kerbau,2018,0
Pagedongan,luar_rph,Babi,2018,0
Pagedongan,luar_rph,Kambing,2018,244
Pagedongan,luar_rph,Domba,2018,52
Pagedongan,luar_rph,Sapi,2020,73
Pagedongan,luar_rph,Kerbau,2020,0
Pagedongan,luar_rph,Babi,2020,0
Pagedongan,luar_rph,Kambing,2020,177
Pagedongan,luar_rph,Domba,2020,147
Pagedongan,luar_rph,Sapi,2021,135
Pagedongan,luar_rph,Kerbau,2021,0
Pagedongan,luar_rph,Babi,2021,0
Pagedongan,luar_rph,Kambing,2021,271
Pagedongan,luar_rph,Domba,2021,82
Pagedongan,luar_rph,Sapi,2023,128
Pagedongan,luar_rph,Kerbau,2023,0
Pagedongan,luar_rph,Babi,2023,0
Pagedongan,luar_rph,Kambing,2023,257
Pagedongan,luar_rph,Domba,2023,5
Pagedongan,luar_rph,Sapi,2024,143
Pagedongan,luar_rph,Kerbau,2024,0
Pagedongan,luar_rph,Babi,2024,0
Pagedongan,luar_rph,Kambing,2024,355
Pagedongan,luar_rph,Domba,2024,67
Pagentan,luar_rph,Sapi,2018,226
Pagentan,luar_rph,Kerbau,2018,0
Pagentan,luar_rph,Babi,2018,0
Pagentan,luar_rph,Kambing,2018,165
Pagentan,luar_rph,Domba,2018,3
Pagentan,luar_rph,Sapi,2020,252
Pagentan,luar_rph,Kerbau,2020,0
Pagentan,luar_rph,Babi,2020,0
Pagentan,luar_rph,Kambing,2020,775
Pagentan,luar_rph,Domba,2020,54
Pagentan,luar_rph,Sapi,2021,297
Pagentan,luar_rph,Kerbau,2021,0
Pagentan,luar_rph,Babi,2021,0
Pagentan,luar_rph,Kambing,2021,168
Pagentan,luar_rph,Domba,2021,13
Pagentan,luar_rph,Sapi,2023,317
Pagentan,luar_rph,Kerbau,2023,0
Pagentan,luar_rph,Babi,2023,0
Pagentan,luar_rph,Kambing,2023,103
Pagentan,luar_rph,Domba,2023,8
Pagentan,luar_rph,Sapi,2024,254
Pagentan,luar_rph,Kerbau,2024,0
Pagentan,luar_rph,Babi,2024,0
Pagentan,luar_rph,Kambing,2024,139
Pagentan,luar_rph,Domba,2024,48
Pandanarum,luar_rph,Sapi,2018,128
Pandanarum,luar_rph,Kerbau,2018,0
Pandanarum,luar_rph,Babi,2018,0
Pandanarum,luar_rph,Kambing,2018,394
Pandanarum,luar_rph,Domba,2018,4
Pandanarum,luar_rph,Sapi,2020,166
Pandanarum,luar_rph,Kerbau,2020,0
Pandanarum,luar_rph,Babi,2020,0
Pandanarum,luar_rph,Kambing,2020,687
Pandanarum,luar_rph,Domba,2020,0
Pandanarum,luar_rph,Sapi,2021,193
Pandanarum,luar_rph,Kerbau,2021,0
Pandanarum,luar_rph,Babi,2021,0
Pandanarum,luar_rph,Kambing,2021,294
Pandanarum,luar_rph,Domba,2021,0
Pandanarum,luar_rph,Sapi,2023,242
Pandanarum,luar_rph,Kerbau,2023,0
Pandanarum,luar_rph,Babi,2023,0
Pandanarum,luar_rph,Kambing,2023,223
Pandanarum,luar_rph,Domba,2023,1
Pandanarum,luar_rph,Sapi,2024,232
Pandanarum,luar_rph,Kerbau,2024,0
Pandanarum,luar_rph,Babi,2024,0
Pandanarum,luar_rph,Kambing,2024,309
Pandanarum,luar_rph,Domba,2024,73
Pejawaran,luar_rph,Sapi,2018,385
Pejawaran,luar_rph,Kerbau,2018,0
Pejawaran,luar_rph,Babi,2018,0
Pejawaran,luar_rph,Kambing,2018,34
Pejawaran,luar_rph,Domba,2018,88
Pejawaran,luar_rph,Sapi,2020,415
Pejawaran,luar_rph,Kerbau,2020,0
Pejawaran,luar_rph,Babi,2020,0
Pejawaran,luar_rph,Kambing,2020,311
Pejawaran,luar_rph,Domba,2020,332
Pejawaran,luar_rph,Sapi,2021,471
Pejawaran,luar_rph,Kerbau,2021,0
Pejawaran,luar_rph,Babi,2021,0
Pejawaran,luar_rph,Kambing,2021,52
Pejawaran,luar_rph,Domba,2021,94
Pejawaran,luar_rph,Sapi,2023,471
Pejawaran,luar_rph,Kerbau,2023,0
Pejawaran,luar_rph,Babi,2023,0
Pejawaran,luar_rph,Kambing,2023,19
Pejawaran,luar_rph,Domba,2023,112
Pejawaran,luar_rph,Sapi,2024,449
Pejawaran,luar_rph,Kerbau,2024,0
Pejawaran,luar_rph,Babi,2024,0
Pejawaran,luar_rph,Kambing,2024,150
Pejawaran,luar_rph,Domba,2024,197
Punggelan,luar_rph,Sapi,2018,268
Punggelan,luar_rph,Kerbau,2018,0
Punggelan,luar_rph,Babi,2018,0
Punggelan,luar_rph,Kambing,2018,455
Punggelan,luar_rph,Domba,2018,48
Punggelan,luar_rph,Sapi,2020,391
Punggelan,luar_rph,Kerbau,2020,0
Punggelan,luar_rph,Babi,2020,0
Punggelan,luar_rph,Kambing,2020,1360
Punggelan,luar_rph,Domba,2020,26
Punggelan,luar_rph,Sapi,2021,542
Punggelan,luar_rph,Kerbau,2021,0
Punggelan,luar_rph,Babi,2021,0
Punggelan,luar_rph,Kambing,2021,686
Punggelan,luar_rph,Domba,2021,26
Punggelan,luar_rph,Sapi,2023,545
Punggelan,luar_rph,Kerbau,2023,0
Punggelan,luar_rph,Babi,2023,0
Punggelan,luar_rph,Kambing,2023,662
Punggelan,luar_rph,Domba,2023,1
Punggelan,luar_rph,Sapi,2024,598
Punggelan,luar_rph,Kerbau,2024,0
Punggelan,luar_rph,Babi,2024,0
Punggelan,luar_rph,Kambing,2024,755
Punggelan,luar_rph,Domba,2024,68
Purwanegara,luar_rph,Sapi,2018,250
Purwanegara,luar_rph,Kerbau,2018,0
Purwanegara,luar_rph,Babi,2018,0
Purwanegara,luar_rph,Kambing,2018,144
Purwanegara,luar_rph,Domba,2018,28
Purwanegara,luar_rph,Sapi,2020,326
Purwanegara,luar_rph,Kerbau,2020,0
Purwanegara,luar_rph,Babi,2020,0
Purwanegara,luar_rph,Kambing,2020,845
Purwanegara,luar_rph,Domba,2020,51
Purwanegara,luar_rph,Sapi,2021,346
Purwanegara,luar_rph,Kerbau,2021,0
Purwanegara,luar_rph,Babi,2021,0
Purwanegara,luar_rph,Kambing,2021,286
Purwanegara,luar_rph,Domba,2021,62
Purwanegara,luar_rph,Sapi,2023,347
Purwanegara,luar_rph,Kerbau,2023,0
Purwanegara,luar_rph,Babi,2023,0
Purwanegara,luar_rph,Kambing,2023,231
Purwanegara,luar_rph,Domba,2023,28
Purwanegara,luar_rph,Sapi,2024,397
Purwanegara,luar_rph,Kerbau,2024,0
Purwanegara,luar_rph,Babi,2024,0
Purwanegara,luar_rph,Kambing,2024,398
Purwanegara,luar_rph,Domba,2024,160
Purwareja Klampok,luar_rph,Sapi,2018,93
Purwareja Klampok,luar_rph,Kerbau,2018,0
Purwareja Klampok,luar_rph,Babi,2018,0
Purwareja Klampok,luar_rph,Kambing,2018,293
Purwareja Klampok,luar_rph,Domba,2018,1
Purwareja Klampok,luar_rph,Sapi,2020,75
