Kecamatan,Kelompok,Jenis,Tahun,Produksi (Kg)
Pagedongan,ternak,Babi,2022,0
Pagedongan,ternak,Kambing,2022,2197.49
Pagedongan,ternak,Domba,2022,1537.46
Pagedongan,unggas,Ayam Ras Layer,2022,3307.85
Pagedongan,unggas,Ayam Kampung,2022,42437.85
Pagedongan,ternak,Sapi,2023,12784.99
Pagedongan,ternak,Kambing,2023,1292.12
Pagedongan,ternak,Domba,2023,2334.61
Pagedongan,unggas,Ayam Ras Layer,2023,3492695.18
Pagedongan,unggas,Ayam Kampung,2023,89192.35
Pagedongan,ternak,Sapi,2024,26583.7
Pagedongan,ternak,Kerbau,2024,0
Pagedongan,ternak,Babi,2024,0
Pagedongan,ternak,Kambing,2024,4230
Pagedongan,ternak,Domba,2024,354.62
Pagedongan,unggas,Ayam Ras Layer,2024,3544.67
Pagedongan,unggas,Ayam Kampung,2024,8036.88
Pagentan,ternak,Sapi,2018,42651.03
Pagentan,ternak,Kerbau,2018,0
Pagentan,ternak,Babi,2018,0
Pagentan,ternak,Kambing,2018,9120.7
Pagentan,ternak,Domba,2018,1227.37
Pagentan,ternak,Sapi,2019,45281.49
Pagentan,ternak,Kambing,2019,5283.72
Pagentan,ternak,Domba,2019,1360.4
Pagentan,unggas,Ayam Ras Layer,2019,469
Pagentan,unggas,Ayam Kampung,2019,52137
Pagentan,ternak,Sapi,2020,47348.28
Pagentan,ternak,Kerbau,2020,0
Pagentan,ternak,Babi,2020,0
Pagentan,ternak,Kambing,2020,8751.17
Pagentan,ternak,Domba,2020,566.17
Pagentan,unggas,Ayam Ras Layer,2020,37726
Pagentan,unggas,Ayam Kampung,2020,413234
Pagentan,ternak,Sapi,2021,58470.71
Pagentan,ternak,Kerbau,2021,0
Pagentan,ternak,Babi,2021,0
Pagentan,ternak,Kambing,2021,9355.91
Pagentan,ternak,Domba,2021,550.37
Pagentan,unggas,Ayam Ras Layer,2021,0
Pagentan,unggas,Ayam Kampung,2021,34847
Pagentan,ternak,Sapi,2022,54205.9
Pagentan,ternak,Kerbau,2022,0
Pagentan,ternak,Babi,2022,0
Pagentan,ternak,Kambing,2022,9422.47
Pagentan,ternak,Domba,2022,564.34
Pagentan,unggas,Ayam Ras Layer,2022,0
Pagentan,unggas,Ayam Kampung,2022,37567.93
Pagentan,ternak,Sapi,2023,54684.34
Pagentan,ternak,Kambing,2023,5540.38
Pagentan,ternak,Domba,2023,856.94
Pagentan,unggas,Ayam Ras Layer,2023,720108.76
Pagentan,unggas,Ayam Kampung,2023,354581.86
Pagentan,ternak,Sapi,2024,47218.6
Pagentan,ternak,Kerbau,2024,0
Pagentan,ternak,Babi,2024,0
Pagentan,ternak,Kambing,2024,1518.75
Pagentan,ternak,Domba,2024,500.64
Pagentan,unggas,Ayam Ras Layer,2024,758.87
Pagentan,unggas,Ayam Kampung,2024,985.76
Pandanarum,ternak,Sapi,2018,24237.81
Pandanarum,ternak,Kerbau,2018,0
Pandanarum,ternak,Babi,2018,0
Pandanarum,ternak,Kambing,2018,6817.95
Pandanarum,ternak,Domba,2018,42.32
Pandanarum,ternak,Sapi,2019,29498.73
Pandanarum,ternak,Kambing,2019,4933.73
Pandanarum,ternak,Domba,2019,84.64
Pandanarum,unggas,Ayam Ras Layer,2019,0
Pandanarum,unggas,Ayam Kampung,2019,26139
