Kecamatan,Obyek,Arah (Masuk/Keluar),Tahun,Produksi (Kg)
Purwanegara,Perairan Umum Sungai,total,2020,71457
Purwanegara,Perairan Umum Sungai,sendiri,2020,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2020,0
Purwanegara,Perairan Umum Sungai,total,2021,67392
Purwanegara,Perairan Umum Sungai,sendiri,2021,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2021,0
Purwanegara,Perairan Umum Waduk,total,2021,0
Purwanegara,Perairan Umum Sungai,total,2022,40552
Purwanegara,Perairan Umum Sungai,sendiri,2022,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2022,0
Purwanegara,Perairan Umum Waduk,total,2022,0
Purwanegara,Perairan Umum Sungai,total,2023,49153.09
Purwanegara,Perairan Umum Sungai,sendiri,2023,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2023,0
Purwanegara,Perairan Umum Waduk,total,2023,0
Purwanegara,Perairan Umum Sungai,total,2024,45329
Purwanegara,Perairan Umum Sungai,sendiri,2024,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2024,0
Purwanegara,Perairan Umum Waduk,total,2024,0
Purwareja Klampok,Perairan Umum Sungai,sendiri,2018,0
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2018,0
Purwareja Klampok,Perairan Umum Sungai,total,2018,24162.75
Purwareja Klampok,Perairan Umum Waduk,total,2018,0
Purwareja Klampok,Perairan Umum Sungai,sendiri,2019,9812
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2019,16708
Purwareja Klampok,Perairan Umum Sungai,total,2019,26519.9
Purwareja Klampok,Perairan Umum Sungai,sendiri,2020,10911.46
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2020,18578.96
Purwareja Klampok,Perairan Umum Sungai,total,2020,29490
Purwareja Klampok,Perairan Umum Sungai,sendiri,2021,0
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2021,0
Purwareja Klampok,Perairan Umum Sungai,total,2021,27813
Purwareja Klampok,Perairan Umum Waduk,total,2021,0
Purwareja Klampok,Perairan Umum Sungai,sendiri,2022,0
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2022,0
Purwareja Klampok,Perairan Umum Sungai,total,2022,16736
Purwareja Klampok,Perairan Umum Waduk,total,2022,0
Purwareja Klampok,Perairan Umum Sungai,sendiri,2023,0
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2023,0
Purwareja Klampok,Perairan Umum Sungai,total,2023,20285.61
Purwareja Klampok,Perairan Umum Waduk,total,2023,0
Purwareja Klampok,Perairan Umum Sungai,sendiri,2024,0
Purwareja Klampok,Perairan Umum Sungai,lain_daerah,2024,0
Purwareja Klampok,Perairan Umum Sungai,total,2024,34109
Purwareja Klampok,Perairan Umum Waduk,total,2024,0
Rakit,Perairan Umum Sungai,total,2018,48547.02
Rakit,Perairan Umum Sungai,sendiri,2018,0
Rakit,Perairan Umum Sungai,lain_daerah,2018,0
Rakit,Perairan Umum Waduk,total,2018,0
Rakit,Perairan Umum Sungai,total,2019,53282.9
Rakit,Perairan Umum Sungai,sendiri,2019,0
Rakit,Perairan Umum Sungai,lain_daerah,2019,0
Rakit,Perairan Umum Sungai,total,2020,59251
Rakit,Perairan Umum Sungai,sendiri,2020,0
Rakit,Perairan Umum Sungai,lain_daerah,2020,0
Rakit,Perairan Umum Waduk,total,2020,0
Rakit,Perairan Umum Sungai,total,2021,55881
Rakit,Perairan Umum Sungai,sendiri,2021,0
Rakit,Perairan Umum Sungai,lain_daerah,2021,0
Rakit,Perairan Umum Waduk,total,2021,0
Rakit,Perairan Umum Sungai,total,2022,33625
Rakit,Perairan Umum Sungai,sendiri,2022,0
Rakit,Perairan Umum Sungai,lain_daerah,2022,0
Rakit,Perairan Umum Waduk,total,2022,0
Rakit,Perairan Umum Sungai,total,2023,40757.21
Rakit,Perairan Umum Sungai,sendiri,2023,0
Rakit,Perairan Umum Sungai,lain_daerah,2023,0
Rakit,Perairan Umum Waduk,total,2023,0
