Kecamatan,Tanaman,Tahun,Luas (Ha)
Bawang,Kelapa Dalam,2024,803.86
Bawang,Karet,2024,16.5
Bawang,Kopi Robusta,2024,70.44
Bawang,Kakao,2024,130.25
Bawang,Tebu,2024,0
Bawang,Teh,2024,0
Bawang,Tembakau,2024,0
Bawang,Kopi Arabica,2024,0
Kalibening,Kelapa Sawit,2017,0
Kalibening,Karet,2017,0
Kalibening,Kakao,2017,0
Kalibening,Tebu,2017,0
Kalibening,Teh,2017,485.66
Kalibening,Tembakau,2017,19
Kalibening,Kelapa Sawit,2018,0
Kalibening,Kelapa Dalam,2018,33.9
Kalibening,Karet,2018,0
Kalibening,Kopi Robusta,2018,293.52
Kalibening,Kakao,2018,0
Kalibening,Tebu,2018,0
Kalibening,Teh,2018,485.66
Kalibening,Tembakau,2018,19
Kalibening,Kelapa Sawit,2019,0
Kalibening,Kelapa Dalam,2019,33.9
Kalibening,Karet,2019,0
Kalibening,Kopi Robusta,2019,293.52
Kalibening,Kakao,2019,0
Kalibening,Tebu,2019,0
Kalibening,Teh,2019,593.76
Kalibening,Tembakau,2019,23
Kalibening,Kelapa Dalam,2020,33.9
Kalibening,Karet,2020,0
Kalibening,Kopi Robusta,2020,293.52
Kalibening,Kakao,2020,0
Kalibening,Tebu,2020,0
Kalibening,Teh,2020,593.76
Kalibening,Tembakau,2020,19
Kalibening,Kelapa Sawit,2021,0
Kalibening,Kelapa Dalam,2021,33.9
Kalibening,Karet,2021,0
Kalibening,Kopi Robusta,2021,293.52
Kalibening,Kakao,2021,0
Kalibening,Tebu,2021,0
Kalibening,Teh,2021,593.76
Kalibening,Tembakau,2021,17.5
Kalibening,Kopi Arabica,2021,789
Kalibening,Kelapa Sawit,2022,0
Kalibening,Kelapa Dalam,2022,33.9
Kalibening,Karet,2022,0
Kalibening,Kopi Robusta,2022,293.52
Kalibening,Kakao,2022,0
Kalibening,Tebu,2022,0
Kalibening,Teh,2022,593.76
Kalibening,Tembakau,2022,19
Kalibening,Kopi Arabica,2022,789
Kalibening,Kelapa Sawit,2023,0
Kalibening,Kelapa Dalam,2023,33.9
Kalibening,Karet,2023,0
Kalibening,Kopi Robusta,2023,293.52
Kalibening,Kakao,2023,0
Kalibening,Tebu,2023,0
Kalibening,Teh,2023,593.76
Kalibening,Tembakau,2023,23
Kalibening,Kopi Arabica,2023,837
Kalibening,Kelapa Sawit,2024,0
Kalibening,Kelapa Dalam,2024,33.9
Kalibening,Karet,2024,0
Kalibening,Kopi Robusta,2024,293.52
Kalibening,Kakao,2024,0
Kalibening,Tebu,2024,0
Kalibening,Teh,2024,593.76
Kalibening,Tembakau,2024,24.5
Kalibening,Kopi Arabica,2024,850
Karangkobar,Kelapa Sawit,2017,0
Karangkobar,Karet,2017,0
Karangkobar,Kakao,2017,0
Karangkobar,Tebu,2017,0
Karangkobar,Teh,2017,132
Karangkobar,Tembakau,2017,0
Karangkobar,Kelapa Sawit,2018,0
Karangkobar,Kelapa Dalam,2018,28.23
Karangkobar,Karet,2018,0
Karangkobar,Kopi Robusta,2018,246.3
Karangkobar,Kakao,2018,0
Karangkobar,Tebu,2018,0
Karangkobar,Teh,2018,132
Karangkobar,Tembakau,2018,0
Karangkobar,Kelapa Sawit,2019,0
Karangkobar,Kelapa Dalam,2019,28.23
Karangkobar,Karet,2019,0
Karangkobar,Kopi Robusta,2019,246.3
Karangkobar,Kakao,2019,0
Karangkobar,Tebu,2019,0
Karangkobar,Teh,2019,148.3
Karangkobar,Tembakau,2019,0
Karangkobar,Kelapa Dalam,2020,28.23
Karangkobar,Karet,2020,0
Karangkobar,Kopi Robusta,2020,261.3
Karangkobar,Kakao,2020,0
Karangkobar,Tebu,2020,0
Karangkobar,Teh,2020,148.3
Karangkobar,Tembakau,2020,2
Karangkobar,Kelapa Sawit,2021,0
Karangkobar,Kelapa Dalam,2021,28.23
Karangkobar,Karet,2021,0
Karangkobar,Kopi Robusta,2021,261.3
Karangkobar,Kakao,2021,0
Karangkobar,Tebu,2021,0
Karangkobar,Teh,2021,148.3
Karangkobar,Tembakau,2021,2
Karangkobar,Kopi Arabica,2021,44.3
Karangkobar,Kelapa Sawit,2022,0
Karangkobar,Kelapa Dalam,2022,28.23
Karangkobar,Karet,2022,0
Karangkobar,Kopi Robusta,2022,261.3
Karangkobar,Kakao,2022,0
Karangkobar,Tebu,2022,0
Karangkobar,Teh,2022,148.3
Karangkobar,Tembakau,2022,2
Karangkobar,Kopi Arabica,2022,44.3
Karangkobar,Kelapa Sawit,2023,0
Karangkobar,Kelapa Dalam,2023,10.23
Karangkobar,Karet,2023,0
Karangkobar,Kopi Robusta,2023,261.3
Karangkobar,Kakao,2023,0
Karangkobar,Tebu,2023,0
Karangkobar,Teh,2023,148.3
Karangkobar,Tembakau,2023,5
Karangkobar,Kopi Arabica,2023,54.3
Karangkobar,Kelapa Sawit,2024,0
Karangkobar,Kelapa Dalam,2024,10.23
Karangkobar,Karet,2024,0
Karangkobar,Kopi Robusta,2024,261.3
Karangkobar,Kakao,2024,0
Karangkobar,Tebu,2024,0
Karangkobar,Teh,2024,148.3
Karangkobar,Tembakau,2024,5
Karangkobar,Kopi Arabica,2024,54.3
Madukara,Kelapa Sawit,2017,0
Madukara,Karet,2017,0
Madukara,Kakao,2017,0
Madukara,Tebu,2017,1.2
Madukara,Teh,2017,0
Madukara,Tembakau,2017,0
Madukara,Kelapa Sawit,2018,0
Madukara,Kelapa Dalam,2018,780
Madukara,Karet,2018,0
Madukara,Kopi Robusta,2018,51
Madukara,Kakao,2018,0
Madukara,Tebu,2018,1.2
Madukara,Teh,2018,0
Madukara,Tembakau,2018,0
Madukara,Kelapa Sawit,2019,0
Madukara,Kelapa Dalam,2019,774.87
Madukara,Karet,2019,0
Madukara,Kopi Robusta,2019,51
Madukara,Kakao,2019,0
Madukara,Tebu,2019,0
Madukara,Teh,2019,0
Madukara,Tembakau,2019,0
Madukara,Kelapa Dalam,2020,774.87
Madukara,Karet,2020,0
Madukara,Kopi Robusta,2020,51
Madukara,Kakao,2020,0
Madukara,Tebu,2020,0
Madukara,Teh,2020,0
Madukara,Tembakau,2020,0
Madukara,Kelapa Sawit,2021,0
Madukara,Kelapa Dalam,2021,774.87
Madukara,Karet,2021,0
Madukara,Kopi Robusta,2021,51
Madukara,Kakao,2021,0
Madukara,Tebu,2021,0
Madukara,Teh,2021,0
Madukara,Tembakau,2021,0
Madukara,Kopi Arabica,2021,0
Madukara,Kelapa Sawit,2022,0
Madukara,Kelapa Dalam,2022,774.87
Madukara,Karet,2022,0
Madukara,Kopi Robusta,2022,51
Madukara,Kakao,2022,0
Madukara,Tebu,2022,0
Madukara,Teh,2022,0
Madukara,Tembakau,2022,0
Madukara,Kopi Arabica,2022,0
Madukara,Kelapa Sawit,2023,0
Madukara,Kelapa Dalam,2023,774.87
Madukara,Karet,2023,0
Madukara,Kopi Robusta,2023,51
Madukara,Kakao,2023,0
Madukara,Tebu,2023,0
Madukara,Teh,2023,0
Madukara,Tembakau,2023,0
Madukara,Kopi Arabica,2023,0
Madukara,Kelapa Sawit,2024,0
