Kecamatan,Jenis,Tahun,Nilai,Catatan
Punggelan,Kambing/Domba,2020,1386,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2021,448,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Kambing/Domba,2021,1454,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2022,432,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Kambing/Domba,2022,1467,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2023,441,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Kambing/Domba,2023,1396,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2024,198,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Kambing/Domba,2024,576,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2018,250,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2018,609,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2020,326,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2020,565,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2021,374,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2021,593,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2022,353,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2022,601,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2023,360,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2023,572,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Sapi/Kerbau,2024,161,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwanegara,Kambing/Domba,2024,236,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2018,93,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2018,378,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2020,75,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2020,298,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2021,86,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2021,313,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2022,64,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2022,326,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2023,65,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2023,310,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Sapi/Kerbau,2024,30,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Purwareja Klampok,Kambing/Domba,2024,129,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2018,159,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2018,331,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2020,181,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2020,269,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2021,207,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2021,282,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2022,186,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2022,290,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2023,190,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2023,276,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Sapi/Kerbau,2024,86,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Rakit,Kambing/Domba,2024,114,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2018,136,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2018,352,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2020,166,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2020,298,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2021,190,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2021,313,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2022,166,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2022,326,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2023,170,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2023,310,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Sapi/Kerbau,2024,76,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Sigaluh,Kambing/Domba,2024,129,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2018,90,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2018,666,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2020,98,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2020,721,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2021,112,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2021,756,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2022,91,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2022,766,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2023,93,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2023,729,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Sapi/Kerbau,2024,50,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Susukan,Kambing/Domba,2024,301,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Sapi/Kerbau,2018,313,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2018,167,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Sapi/Kerbau,2020,321,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Wanadadi,Kambing/Domba,2020,214,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
