Kecamatan,Tempat,Tahun,Luas (Ha),Produksi (Kg)
Wanadadi,Jaring Karamba Apung,2022,6,345643
Wanadadi,Kolam Pembesaran Ikan,2023,46,2386591
Wanadadi,Jaring Karamba Apung,2023,6,404462
Wanadadi,Kolam Pembesaran Ikan,2024,46,2369892
Wanadadi,Jaring Karamba Apung,2024,6,375033
Wanayasa,Kolam Pembesaran Ikan,2018,24,360915
Wanayasa,Kolam Pembesaran Ikan,2019,24,378544
Wanayasa,Kolam Pembesaran Ikan,2020,24,1053816
Wanayasa,Kolam Pembesaran Ikan,2021,24,1149386
Wanayasa,Kolam Pembesaran Ikan,2022,24,1232476
Wanayasa,Kolam Pembesaran Ikan,2023,24,1240822
Wanayasa,Kolam Pembesaran Ikan,2024,24,1232140
