Kelompok,Komoditas,Tahun,Nilai,Satuan
sayuran_buah_semusim,Kacang Merah,2020,306,ton
sayuran_buah_semusim,Kacang Panjang,2020,5949.1,ton
sayuran_buah_semusim,Kangkung,2020,738.3,ton
sayuran_buah_semusim,Kembang Kol,2020,0,ton
sayuran_buah_semusim,Kentang,2020,126092.5,ton
sayuran_buah_semusim,Ketimun,2020,505.2,ton
sayuran_buah_semusim,Kubis,2020,83155,ton
sayuran_buah_semusim,Labu Siam,2020,4593.3,ton
sayuran_buah_semusim,Lobak,2020,0,ton
sayuran_buah_semusim,Petsai,2020,5436.8,ton
sayuran_buah_semusim,Terung,2020,2791,ton
sayuran_buah_semusim,Tomat,2020,11496.9,ton
sayuran_buah_semusim,Wortel,2020,72265,ton
sayuran_buah_semusim,Sawi,2020,0,ton
sayuran_buah_semusim,Blewah,2020,0,ton
sayuran_buah_semusim,Melon,2020,0,ton
sayuran_buah_semusim,Semangka,2020,0,ton
buah_sayuran_tahunan,Alpukat,2020,344.9,ton
buah_sayuran_tahunan,Belimbing,2020,158.3,ton
buah_sayuran_tahunan,Duku,2020,1999.5,ton
buah_sayuran_tahunan,Durian,2020,11684,ton
buah_sayuran_tahunan,Jambu Biji,2020,5083.7,ton
buah_sayuran_tahunan,Jambu Air,2020,930.8,ton
buah_sayuran_tahunan,Jeruk Siam,2020,291.5,ton
buah_sayuran_tahunan,Jeruk Besa (Pomelo),2020,721.5,ton
buah_sayuran_tahunan,Jeruk (Tangerine + Pomelo),2020,0,ton
buah_sayuran_tahunan,Mangga,2020,3088.9,ton
buah_sayuran_tahunan,Manggis,2020,572,ton
buah_sayuran_tahunan,Nangka,2020,4636.1,ton
buah_sayuran_tahunan,Nenas,2020,279.3,ton
buah_sayuran_tahunan,Pepaya,2020,30063.5,ton
buah_sayuran_tahunan,Pisang,2020,24884.3,ton
buah_sayuran_tahunan,Rambutan,2020,7107.4,ton
buah_sayuran_tahunan,Salak,2020,376343.8,ton
buah_sayuran_tahunan,Sawo,2020,239.8,ton
buah_sayuran_tahunan,Markisa,2020,0,ton
buah_sayuran_tahunan,Sirsak,2020,245.5,ton
buah_sayuran_tahunan,Sukun,2020,552.1,ton
buah_sayuran_tahunan,Melinjo,2020,1655.7,ton
buah_sayuran_tahunan,Petai,2020,5996.5,ton
tanaman_hias,Agloenema,2020,0,tangkai
tanaman_hias,Anthurium Daun,2020,0,tangkai
tanaman_hias,Caladium,2020,0,tangkai
tanaman_hias,Pakis,2020,0,tangkai
tanaman_hias,Sansievera Pedang-Pedangan,2020,0,tangkai
tanaman_hias,Soka,2020,0,tangkai
tanaman_hias,Krisan,2020,0,tangkai
tanaman_hias,Mawar,2020,0,tangkai
tanaman_hias,Melati,2020,0,tangkai
tanaman_hias,Palem,2020,0,tangkai
tanaman_hias,Pisang-pisangan,2020,0,tangkai
tanaman_hias,Sedap Malam,2020,0,tangkai
biofarmaka,Dringo,2020,42,tangkai
biofarmaka,Jahe,2020,16750,tangkai
biofarmaka,Kapulaga,2020,8450,tangkai
biofarmaka,Kencur,2020,95410,tangkai
biofarmaka,Kunyit,2020,105392,tangkai
biofarmaka,Laos,2020,33580,tangkai
biofarmaka,Lempuyang,2020,19431,tangkai
biofarmaka,Lidah Buaya,2020,1500,tangkai
biofarmaka,Mengkudu,2020,0,tangkai
biofarmaka,Temuireng,2020,19800,tangkai
biofarmaka,Temukunci,2020,25448,tangkai
biofarmaka,Temulawak,2020,21894,tangkai
biofarmaka,Sambiloto,2020,1935,tangkai
sayuran_buah_semusim,Bawang Daun,2021,18085.6,ton
sayuran_buah_semusim,Bawang Merah,2021,87.3,ton
sayuran_buah_semusim,Bawang Putih,2021,567,ton
sayuran_buah_semusim,Bayam,2021,60,ton
sayuran_buah_semusim,Buncis,2021,3774.3,ton
sayuran_buah_semusim,Cabai Besar,2021,16579.7,ton
sayuran_buah_semusim,Cabai Rawit,2021,7393.7,ton
sayuran_buah_semusim,Cabai,2021,0,ton
sayuran_buah_semusim,Jamur,2021,0,ton
sayuran_buah_semusim,Kacang Merah,2021,310.5,ton
sayuran_buah_semusim,Kacang Panjang,2021,3150.9,ton
sayuran_buah_semusim,Kangkung,2021,535.2,ton
sayuran_buah_semusim,Kembang Kol,2021,0,ton
sayuran_buah_semusim,Kentang,2021,116392.9,ton
sayuran_buah_semusim,Ketimun,2021,429.1,ton
sayuran_buah_semusim,Kubis,2021,50523,ton
sayuran_buah_semusim,Labu Siam,2021,3834.6,ton
sayuran_buah_semusim,Lobak,2021,0,ton
sayuran_buah_semusim,Petsai,2021,4512.6,ton
sayuran_buah_semusim,Terung,2021,3444.9,ton
sayuran_buah_semusim,Tomat,2021,9565.7,ton
sayuran_buah_semusim,Wortel,2021,64769.5,ton
sayuran_buah_semusim,Blewah,2021,0,ton
sayuran_buah_semusim,Melon,2021,0,ton
sayuran_buah_semusim,Semangka,2021,0,ton
buah_sayuran_tahunan,Alpukat,2021,279.1,ton
