Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarnegara,buah_tahunan,Durian,2017,0.4,ton
Banjarnegara,buah_tahunan,Pisang,2017,0,ton
Banjarnegara,buah_tahunan,Pepaya,2017,4.4,ton
Banjarnegara,buah_tahunan,Salak,2017,13020.4,ton
Banjarnegara,sayuran,Bawang Merah,2018,20,ton
Banjarnegara,sayuran,Cabai Besar,2018,0.2,ton
Banjarnegara,sayuran,Kentang,2018,0,ton
Banjarnegara,sayuran,Kubis,2018,0,ton
Banjarnegara,sayuran,Petsai,2018,0,ton
Banjarnegara,sayuran,Tomat,2018,0,ton
Banjarnegara,sayuran,Bawang Putih,2018,0,ton
Banjarnegara,sayuran,Cabai Rawit,2018,0,ton
Banjarnegara,buah_tahunan,Mangga,2018,4,ton
Banjarnegara,buah_tahunan,Durian,2018,73.2,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2018,0,ton
Banjarnegara,buah_tahunan,Pisang,2018,70.9,ton
Banjarnegara,buah_tahunan,Pepaya,2018,9.5,ton
Banjarnegara,buah_tahunan,Salak,2018,3184,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2018,0,ton
Banjarnegara,sayuran,Bawang Merah,2019,0,ton
Banjarnegara,sayuran,Cabai Besar,2019,15.5,ton
Banjarnegara,sayuran,Kentang,2019,0,ton
Banjarnegara,sayuran,Kubis,2019,0,ton
Banjarnegara,sayuran,Petsai,2019,0,ton
Banjarnegara,sayuran,Tomat,2019,35.3,ton
Banjarnegara,sayuran,Bawang Putih,2019,0,ton
Banjarnegara,sayuran,Cabai Rawit,2019,1.3,ton
Banjarnegara,buah_tahunan,Mangga,2019,0,ton
Banjarnegara,buah_tahunan,Durian,2019,52.8,ton
Banjarnegara,buah_tahunan,Jeruk Besar,2019,0,ton
Banjarnegara,buah_tahunan,Pisang,2019,18.4,ton
Banjarnegara,buah_tahunan,Pepaya,2019,36.5,ton
Banjarnegara,buah_tahunan,Salak,2019,892.2,ton
Banjarnegara,buah_tahunan,Jeruk Siam,2019,0,ton
Banjarnegara,tanaman_hias,Agloenema,2019,0,tangkai
Banjarnegara,tanaman_hias,Krisan,2019,0,tangkai
Banjarnegara,tanaman_hias,Mawar,2019,0,tangkai
Banjarnegara,tanaman_hias,Soka,2019,0,tangkai
Banjarnegara,biofarmaka,Jahe,2019,500,tangkai
Banjarnegara,biofarmaka,Laos,2019,8000,tangkai
Banjarnegara,biofarmaka,Kencur,2019,0,tangkai
Banjarnegara,biofarmaka,Kunyit,2019,8000,tangkai
Banjarnegara,sayuran,Bawang Merah,2020,19.5,ton
Banjarnegara,sayuran,Cabai Besar,2020,10,ton
Banjarnegara,sayuran,Kentang,2020,0,ton
Banjarnegara,sayuran,Kubis,2020,0,ton
Banjarnegara,sayuran,Petsai,2020,0,ton
Banjarnegara,sayuran,Tomat,2020,0,ton
