Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarnegara,tanaman_hias,Mawar,2021,0,m2
Banjarnegara,tanaman_hias,Soka,2021,0,m2
Banjarnegara,biofarmaka,Jahe,2021,0,m2
Banjarnegara,biofarmaka,Laos,2021,2000,m2
Banjarnegara,biofarmaka,Kencur,2021,0,m2
Banjarnegara,biofarmaka,Kunyit,2021,4000,m2
Banjarnegara,sayuran,Bawang Merah,2022,0,ha
Banjarnegara,sayuran,Cabai Besar,2022,0,ha
Banjarnegara,sayuran,Kentang,2022,0,ha
Banjarnegara,sayuran,Kubis,2022,0,ha
Banjarnegara,sayuran,Petsai,2022,0,ha
Banjarnegara,sayuran,Tomat,2022,0,ha
Banjarnegara,sayuran,Bawang Putih,2022,0,ha
Banjarnegara,sayuran,Cabai Rawit,2022,0,ha
Banjarnegara,tanaman_hias,Agloenema,2022,0,m2
Banjarnegara,tanaman_hias,Krisan,2022,0,m2
Banjarnegara,tanaman_hias,Mawar,2022,0,m2
Banjarnegara,tanaman_hias,Soka,2022,0,m2
Banjarnegara,biofarmaka,Jahe,2022,1500,m2
Banjarnegara,biofarmaka,Laos,2022,1500,m2
Banjarnegara,biofarmaka,Kencur,2022,0,m2
Banjarnegara,biofarmaka,Kunyit,2022,3000,m2
Banjarnegara,sayuran,Cabai Besar,2023,0,ha
Banjarnegara,sayuran,Kentang,2023,0,ha
Banjarnegara,sayuran,Tomat,2023,0,ha
Banjarnegara,sayuran,Bawang Putih,2023,0,ha
Banjarnegara,sayuran,Cabai Rawit,2023,1.2,ha
Banjarnegara,tanaman_hias,Agloenema,2023,0,m2
Banjarnegara,tanaman_hias,Krisan,2023,0,m2
Banjarnegara,tanaman_hias,Mawar,2023,0,m2
Banjarnegara,tanaman_hias,Soka,2023,0,m2
Banjarnegara,biofarmaka,Jahe,2023,5000,m2
Banjarnegara,biofarmaka,Laos,2023,4500,m2
Banjarnegara,biofarmaka,Kencur,2023,0,m2
Banjarnegara,biofarmaka,Kunyit,2023,8000,m2
Banjarnegara,sayuran,Bawang Merah,2024,0,ha
Banjarnegara,sayuran,Cabai Besar,2024,0,ha
Banjarnegara,sayuran,Kentang,2024,0,ha
Banjarnegara,sayuran,Kubis,2024,0,ha
Banjarnegara,sayuran,Petsai,2024,0,ha
Banjarnegara,sayuran,Tomat,2024,0,ha
Banjarnegara,sayuran,Bawang Putih,2024,0,ha
Banjarnegara,sayuran,Cabai Rawit,2024,2.6,ha
Banjarnegara,tanaman_hias,Mawar,2024,0,m2
Banjarnegara,tanaman_hias,Soka,2024,0,m2
Banjarnegara,biofarmaka,Jahe,2024,3500,m2
Banjarnegara,biofarmaka,Laos,2024,300,m2
Banjarnegara,biofarmaka,Kencur,2024,0,m2
Banjarnegara,biofarmaka,Kunyit,2024,1050,m2
Batur,sayuran,Bawang Merah,2017,0,ha
Batur,sayuran,Cabai Besar,2017,0,ha
Batur,sayuran,Kentang,2017,4508,ha
Batur,sayuran,Kubis,2017,1528,ha
Batur,sayuran,Petsai,2017,0,ha
Batur,sayuran,Tomat,2017,0,ha
Batur,sayuran,Bawang Putih,2017,0,ha
Batur,sayuran,Cabai Rawit,2017,0,ha
Batur,sayuran,Bawang Merah,2018,6,ha
Batur,sayuran,Cabai Besar,2018,0,ha
Batur,sayuran,Kentang,2018,3131,ha
Batur,sayuran,Kubis,2018,1401,ha
Batur,sayuran,Petsai,2018,0,ha
Batur,sayuran,Tomat,2018,0,ha
Batur,sayuran,Bawang Putih,2018,0,ha
Batur,sayuran,Cabai Rawit,2018,0,ha
Batur,sayuran,Bawang Merah,2019,3,ha
Batur,sayuran,Cabai Besar,2019,0,ha
Batur,sayuran,Kentang,2019,3394,ha
Batur,sayuran,Kubis,2019,1837,ha
Batur,sayuran,Petsai,2019,0,ha
Batur,sayuran,Tomat,2019,0,ha
Batur,sayuran,Bawang Putih,2019,0,ha
Batur,sayuran,Cabai Rawit,2019,0,ha
Batur,tanaman_hias,Agloenema,2019,0,m2
Batur,tanaman_hias,Krisan,2019,0,m2
Batur,tanaman_hias,Mawar,2019,0,m2
Batur,tanaman_hias,Soka,2019,0,m2
Batur,biofarmaka,Jahe,2019,0,m2
Batur,biofarmaka,Laos,2019,0,m2
Batur,biofarmaka,Kencur,2019,0,m2
Batur,biofarmaka,Kunyit,2019,0,m2
Batur,sayuran,Bawang Merah,2020,6,ha
Batur,sayuran,Cabai Besar,2020,0,ha
Batur,sayuran,Kentang,2020,3724,ha
Batur,sayuran,Kubis,2020,1037,ha
Batur,sayuran,Petsai,2020,0,ha
Batur,sayuran,Tomat,2020,0,ha
Batur,sayuran,Bawang Putih,2020,53,ha
Batur,sayuran,Cabai Rawit,2020,0,ha
Batur,tanaman_hias,Agloenema,2020,0,m2
Batur,tanaman_hias,Krisan,2020,0,m2
Batur,tanaman_hias,Mawar,2020,0,m2
Batur,tanaman_hias,Soka,2020,0,m2
Batur,biofarmaka,Jahe,2020,0,m2
Batur,biofarmaka,Laos,2020,0,m2
Batur,biofarmaka,Kencur,2020,0,m2
Batur,biofarmaka,Kunyit,2020,0,m2
Batur,sayuran,Bawang Merah,2021,0,ha
Batur,sayuran,Cabai Besar,2021,0,ha
Batur,sayuran,Kentang,2021,3478,ha
Batur,sayuran,Kubis,2021,891,ha
Batur,sayuran,Petsai,2021,0,ha
Batur,sayuran,Tomat,2021,0,ha
Batur,sayuran,Bawang Putih,2021,0,ha
Batur,sayuran,Cabai Rawit,2021,0,ha
Batur,tanaman_hias,Agloenema,2021,0,m2
Batur,tanaman_hias,Krisan,2021,0,m2
Batur,tanaman_hias,Mawar,2021,0,m2
Batur,tanaman_hias,Soka,2021,0,m2
Batur,biofarmaka,Jahe,2021,0,m2
Batur,biofarmaka,Laos,2021,0,m2
Batur,biofarmaka,Kencur,2021,0,m2
Batur,biofarmaka,Kunyit,2021,0,m2
Batur,sayuran,Bawang Merah,2022,0,ha
Batur,sayuran,Cabai Besar,2022,0,ha
Batur,sayuran,Kentang,2022,4325,ha
Batur,sayuran,Kubis,2022,965,ha
Batur,sayuran,Petsai,2022,0,ha
Batur,sayuran,Tomat,2022,0,ha
Batur,sayuran,Bawang Putih,2022,0,ha
Batur,sayuran,Cabai Rawit,2022,0,ha
Batur,tanaman_hias,Agloenema,2022,0,m2
Batur,tanaman_hias,Krisan,2022,0,m2
Batur,tanaman_hias,Mawar,2022,0,m2
Batur,tanaman_hias,Soka,2022,0,m2
Batur,biofarmaka,Jahe,2022,0,m2
Batur,biofarmaka,Laos,2022,0,m2
Batur,biofarmaka,Kencur,2022,0,m2
Batur,biofarmaka,Kunyit,2022,0,m2
Batur,sayuran,Cabai Besar,2023,0,ha
Batur,sayuran,Kentang,2023,2835,ha
Batur,sayuran,Kubis,2023,829,ha
Batur,sayuran,Tomat,2023,0,ha
Batur,sayuran,Bawang Putih,2023,0,ha
Batur,tanaman_hias,Agloenema,2023,0,m2
Batur,tanaman_hias,Krisan,2023,0,m2
Batur,tanaman_hias,Mawar,2023,0,m2
Batur,tanaman_hias,Soka,2023,0,m2
Batur,biofarmaka,Jahe,2023,0,m2
Batur,biofarmaka,Laos,2023,0,m2
Batur,biofarmaka,Kencur,2023,0,m2
Batur,biofarmaka,Kunyit,2023,0,m2
Batur,sayuran,Bawang Merah,2024,0,ha
Batur,sayuran,Cabai Besar,2024,0,ha
Batur,sayuran,Kentang,2024,6035,ha
Batur,sayuran,Kubis,2024,1170,ha
Batur,sayuran,Petsai,2024,0,ha
Batur,sayuran,Tomat,2024,0,ha
Batur,sayuran,Bawang Putih,2024,0,ha
Batur,sayuran,Cabai Rawit,2024,0,ha
Batur,tanaman_hias,Mawar,2024,0,m2
Batur,tanaman_hias,Soka,2024,0,m2
Batur,biofarmaka,Jahe,2024,0,m2
Batur,biofarmaka,Laos,2024,0,m2
