Kecamatan,Jenis Budidaya,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Pandanarum,Minapadi Tumpang Sari,2024,0,0
Pejawaran,Pembesaran,2019,281796.66,6280457.56
Pejawaran,Karamba Jaring Apung,2019,0,0
Pejawaran,Minapadi Tumpang Sari,2019,0,0
Pejawaran,Pembesaran,2020,466907.92,10435506.11
Pejawaran,Karamba Jaring Apung,2020,0,0
Pejawaran,Minapadi Tumpang Sari,2020,0,0
Pejawaran,Pembesaran,2021,509251.59,10855634.39
Pejawaran,Karamba Jaring Apung,2021,0,0
Pejawaran,Minapadi Tumpang Sari,2021,0,0
Pejawaran,Pembesaran,2022,546066.04,12352369.65
Pejawaran,Pembesaran,2023,549763.79,12085600.99
Pejawaran,Karamba Jaring Apung,2023,0,0
Pejawaran,Minapadi Tumpang Sari,2023,0,0
Pejawaran,Pembesaran,2024,545916.9,12089246.1
Pejawaran,Karamba Jaring Apung,2024,0,0
Pejawaran,Minapadi Tumpang Sari,2024,0,0
Punggelan,Pembesaran,2019,1391207.85,31006122.7
Punggelan,Karamba Jaring Apung,2019,0,0
Punggelan,Minapadi Tumpang Sari,2019,0,0
Punggelan,Pembesaran,2020,2129449.19,47593710.11
Punggelan,Karamba Jaring Apung,2020,0,0
Punggelan,Minapadi Tumpang Sari,2020,0,0
Punggelan,Pembesaran,2021,2322568.01,49509809.17
Punggelan,Karamba Jaring Apung,2021,0,0
Punggelan,Minapadi Tumpang Sari,2021,0,0
Punggelan,Pembesaran,2022,2490469.42,56336041.03
Punggelan,Pembesaran,2023,2507333.9,55119376.5
Punggelan,Karamba Jaring Apung,2023,0,0
Punggelan,Minapadi Tumpang Sari,2023,0,0
Punggelan,Pembesaran,2024,2489789.23,55136000.88
Punggelan,Karamba Jaring Apung,2024,0,0
Punggelan,Minapadi Tumpang Sari,2024,0,0
Purwanegara,Pembesaran,2019,6101348.84,135981960.05
Purwanegara,Karamba Jaring Apung,2019,0,0
Purwanegara,Minapadi Tumpang Sari,2019,61180,1425887.3
Purwanegara,Pembesaran,2020,12421932.42,277633226.58
Purwanegara,Karamba Jaring Apung,2020,0,0
Purwanegara,Minapadi Tumpang Sari,2020,55795,1227490
Purwanegara,Pembesaran,2021,13548472.06,288810601.99
Purwanegara,Karamba Jaring Apung,2021,0,0
Purwanegara,Minapadi Tumpang Sari,2021,0,0
Purwanegara,Pembesaran,2022,14527908.41,328630754.11
Purwanegara,Minapadi Tumpang Sari,2022,17909.02,358180.33
Purwanegara,Pembesaran,2023,14626285.7,321533461.22
Purwanegara,Karamba Jaring Apung,2023,0,0
Purwanegara,Minapadi Tumpang Sari,2023,3858.39,87542.82
Purwanegara,Pembesaran,2024,14523940.58,321630437.93
Purwanegara,Karamba Jaring Apung,2024,0,0
Purwanegara,Minapadi Tumpang Sari,2024,1816.67,39966.67
Purwareja Klampok,Pembesaran,2019,1374641.74,30636910.51
Purwareja Klampok,Karamba Jaring Apung,2019,0,0
Purwareja Klampok,Minapadi Tumpang Sari,2019,0,0
Purwareja Klampok,Pembesaran,2020,1038542.84,23211686.49
Purwareja Klampok,Karamba Jaring Apung,2020,0,0
Purwareja Klampok,Minapadi Tumpang Sari,2020,0,0
Purwareja Klampok,Pembesaran,2021,1132727.84,24146177.42
Purwareja Klampok,Karamba Jaring Apung,2021,0,0
Purwareja Klampok,Minapadi Tumpang Sari,2021,0,0
Purwareja Klampok,Pembesaran,2022,1214614.19,27475364.27
Purwareja Klampok,Pembesaran,2023,1222839.08,26881991
Purwareja Klampok,Karamba Jaring Apung,2023,0,0
Purwareja Klampok,Minapadi Tumpang Sari,2023,0,0
Purwareja Klampok,Pembesaran,2024,1214282.45,26890098.79
Purwareja Klampok,Karamba Jaring Apung,2024,0,0
Purwareja Klampok,Minapadi Tumpang Sari,2024,0,0
Rakit,Pembesaran,2019,2157644.86,48087854.92
Rakit,Karamba Jaring Apung,2019,0,0
Rakit,Minapadi Tumpang Sari,2019,28000,652580
Rakit,Pembesaran,2020,3510972.99,78471104.82
Rakit,Karamba Jaring Apung,2020,0,0
Rakit,Minapadi Tumpang Sari,2020,1000,22000
Rakit,Pembesaran,2021,3829381.61,81630312.42
Rakit,Karamba Jaring Apung,2021,0,0
Rakit,Minapadi Tumpang Sari,2021,0,0
Rakit,Pembesaran,2022,4106212.49,92885202.08
Rakit,Pembesaran,2023,4134018.15,90879201.5
Rakit,Karamba Jaring Apung,2023,0,0
Rakit,Minapadi Tumpang Sari,2023,0,0
Rakit,Pembesaran,2024,4105091.01,90906611.29
Rakit,Karamba Jaring Apung,2024,0,0
Rakit,Minapadi Tumpang Sari,2024,0,0
Sigaluh,Pembesaran,2019,392557.34,8749002.53
Sigaluh,Karamba Jaring Apung,2019,0,0
Sigaluh,Minapadi Tumpang Sari,2019,0,0
Sigaluh,Pembesaran,2020,489598.77,10942652.2
Sigaluh,Karamba Jaring Apung,2020,0,0
Sigaluh,Minapadi Tumpang Sari,2020,0,0
Sigaluh,Pembesaran,2021,534000.27,11383197.93
Sigaluh,Karamba Jaring Apung,2021,0,0
Sigaluh,Minapadi Tumpang Sari,2021,0,0
Sigaluh,Pembesaran,2022,572603.83,12952671.73
Sigaluh,Pembesaran,2023,576481.28,12672938.61
Sigaluh,Karamba Jaring Apung,2023,0,0
Sigaluh,Minapadi Tumpang Sari,2023,0,0
Sigaluh,Pembesaran,2024,572447.44,12676760.86
Sigaluh,Karamba Jaring Apung,2024,0,0
Sigaluh,Minapadi Tumpang Sari,2024,0,0
Susukan,Pembesaran,2019,515603.43,11491354.91
Susukan,Karamba Jaring Apung,2019,0,0
Susukan,Minapadi Tumpang Sari,2019,7000,163145
Susukan,Pembesaran,2020,140508.74,3140404.64
Susukan,Karamba Jaring Apung,2020,0,0
Susukan,Minapadi Tumpang Sari,2020,0,0
Susukan,Pembesaran,2021,153251.41,3266835.77
Susukan,Karamba Jaring Apung,2021,0,0
Susukan,Minapadi Tumpang Sari,2021,0,0
Susukan,Pembesaran,2022,164330.15,3717255.17
Susukan,Pembesaran,2023,165442.93,3636975.25
Susukan,Karamba Jaring Apung,2023,0,0
Susukan,Minapadi Tumpang Sari,2023,0,0
Susukan,Pembesaran,2024,164285.27,3638072.19
Susukan,Karamba Jaring Apung,2024,0,0
Susukan,Minapadi Tumpang Sari,2024,0,0
Wanadadi,Pembesaran,2019,2226174.43,49615186.9
Wanadadi,Karamba Jaring Apung,2019,153788.57,3234691.08
Wanadadi,Minapadi Tumpang Sari,2019,0,0
Wanadadi,Pembesaran,2020,2026904,45301799.89
Wanadadi,Karamba Jaring Apung,2020,283157.57,4622253
Wanadadi,Minapadi Tumpang Sari,2020,0,0
Wanadadi,Pembesaran,2021,2210723.04,47125627.79
Wanadadi,Karamba Jaring Apung,2021,378024.48,8316538.51
Wanadadi,Minapadi Tumpang Sari,2021,0,0
Wanadadi,Pembesaran,2022,2370539.03,53623137.42
Wanadadi,Karamba Jaring Apung,2022,345643.05,8295433.24
Wanadadi,Pembesaran,2023,2386591.39,52465062.26
Wanadadi,Karamba Jaring Apung,2023,404461.63,8933346.39
Wanadadi,Minapadi Tumpang Sari,2023,0,0
Wanadadi,Pembesaran,2024,2369891.59,52480886.09
Wanadadi,Karamba Jaring Apung,2024,375033.22,8933346.39
Wanadadi,Minapadi Tumpang Sari,2024,0,0
Wanayasa,Pembesaran,2019,378544.29,8436690.95
