Kecamatan,Tanaman,Tahun,Produksi (Ton)
Kalibening,Kelapa Dalam,2019,5.73
Kalibening,Karet,2019,0
Kalibening,Kopi Robusta,2019,309.28
Kalibening,Kakao,2019,0
Kalibening,Tebu,2019,0
Kalibening,Teh,2019,1143.83
Kalibening,Tembakau,2019,5.77
Kalibening,Kelapa Sawit,2020,0
Kalibening,Kelapa Dalam,2020,5.84
Kalibening,Karet,2020,0
Kalibening,Kopi Robusta,2020,373.32
Kalibening,Kakao,2020,0
Kalibening,Tebu,2020,0
Kalibening,Teh,2020,1156.71
Kalibening,Tembakau,2020,14.56
Kalibening,Kelapa Sawit,2021,0
Kalibening,Kelapa Dalam,2021,5.52
Kalibening,Karet,2021,0
Kalibening,Kopi Robusta,2021,301.34
Kalibening,Kakao,2021,0
Kalibening,Tebu,2021,0
Kalibening,Teh,2021,1194.23
Kalibening,Tembakau,2021,9.8
Kalibening,Kelapa Sawit,2022,0
Kalibening,Kelapa Dalam,2022,5.36
Kalibening,Karet,2022,0
Kalibening,Kopi Robusta,2022,272.81
Kalibening,Kakao,2022,0
Kalibening,Tebu,2022,0
Kalibening,Teh,2022,1201.51
Kalibening,Tembakau,2022,0
Kalibening,Kelapa Sawit,2023,0
Kalibening,Kelapa Dalam,2023,5.36
Kalibening,Karet,2023,0
Kalibening,Kopi Robusta,2023,0
Kalibening,Kakao,2023,0
Kalibening,Tebu,2023,0
Kalibening,Teh,2023,953.69
Kalibening,Tembakau,2023,19.17
Kalibening,Kelapa Sawit,2024,0
Kalibening,Kelapa Dalam,2024,10.73
Kalibening,Karet,2024,0
Kalibening,Kopi Robusta,2024,344.31
Kalibening,Kakao,2024,0
Kalibening,Tebu,2024,0
Kalibening,Teh,2024,1723.68
Kalibening,Tembakau,2024,11.5
Karangkobar,Kelapa Sawit,2017,0
Karangkobar,Karet,2017,0
Karangkobar,Tebu,2017,0
Karangkobar,Teh,2017,124.3
Karangkobar,Tembakau,2017,0
Karangkobar,Kelapa Sawit,2018,0
Karangkobar,Kelapa Dalam,2018,16.6
Karangkobar,Karet,2018,0
Karangkobar,Kopi Robusta,2018,205.47
Karangkobar,Kakao,2018,0
Karangkobar,Tebu,2018,0
Karangkobar,Teh,2018,124.3
Karangkobar,Tembakau,2018,0
Karangkobar,Kelapa Sawit,2019,0
Karangkobar,Kelapa Dalam,2019,5.27
Karangkobar,Karet,2019,0
Karangkobar,Kopi Robusta,2019,168.47
