Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
19. Kalibening, - , 893 , 267 , 941 , 220 , 266 , - , 385 ,2022
20. Pandanarum, - , 16 , - , - , - , 1 , - , 17 ,2022
1. Susukan, - , - , - , - , - , - , - , - ,2023
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2023
3. Mandiraja, 0 , 8 , - , - , - , - , - , 7 ,2023
4. Purwanegara, 52 ," 13,009 ", - , - , - , 632 , - , 870 ,2023
5. Bawang, - , 691 , - , - , - , 87 , - , 680 ,2023
6. Banjarnegara, - , - , - , - , - , - , - , 1 ,2023
7. Pagedongan, - , - , - , - , - , 5 , - , 208 ,2023
8. Sigaluh, - , - , - , - , - , - , - , - ,2023
9. Madukara, - , 1 , - , - , - , - , - , 19 ,2023
10. Banjarmangu, - , - , - , - , - , 9 , - , 9 ,2023
11. Wanadadi, - , 1 , - , - , - , 35 , - , 19 ,2023
12. Rakit, - , 25 , - , - , - , 14 , - , 13 ,2023
13. Punggelan, - , - , - , - , - , - , - , 5 ,2023
14. Karangkobar, - ," 1,153 ", - , 930 , 261 ," 1,044 ", - , 642 ,2023
15. Pagentan, - ," 5,289 ", - ," 5,000 ", 155 , 252 , - ," 3,967 ",2023
16. Pejawaran, - ," 6,858 "," 24,947 "," 13,780 "," 3,348 "," 12,885 ", - ," 8,138 ",2023
17. Batur, - , - ," 55,245 "," 22,025 ", - , - , - , - ,2023
18. Wanayasa, - , 881 ," 3,630 "," 3,240 ", 500 , 560 , 3 , 302 ,2023
19. Kalibening, - ," 1,326 ", 237 ," 1,136 ", 130 , 198 , - , 597 ,2023
20. Pandanarum, - , 35 , - , - , - , - , - , 18 ,2023
1. Susukan, - , - , - , - , - , - , - , - ,2024
2. Purwareja Klampok, - , 1 , - , - , - , - , - , 2 ,2024
3. Mandiraja, - , 60 , - , - , - , - , - , 6 ,2024
4. Purwanegara, 0 ," 1,425 ", - , - , - , 161 , - ," 2,895 ",2024
5. Bawang, - ," 1,756 ", - , - , - , 270 , - ," 2,810 ",2024
6. Banjarnegara, - , - , - , - , - , - , - , 4 ,2024
7. Pagedongan, - , - , - , - , - , - , - , 176 ,2024
8. Sigaluh, - , 0 , - , - , - , - , - , 1 ,2024
9. Madukara, - , - , - , - , - , - , - , 31 ,2024
10. Banjarmangu, - , - , - , - , - , - , - , 2 ,2024
11. Wanadadi, - , 2 , - , - , - , 35 , - , 16 ,2024
12. Rakit, - , 33 , - , - , - , 10 , - , 12 ,2024
13. Punggelan, - , - , - , - , - , 90 , - , 46 ,2024
14. Karangkobar, - , 900 , - , 810 , 276 , 825 , - , 442 ,2024
15. Pagentan, - ," 3,493 ", - ," 3,760 ", 266 , 588 , - ," 2,035 ",2024
16. Pejawaran, - ," 2,695 "," 25,194 "," 4,800 "," 1,692 "," 16,553 ", - ," 3,630 ",2024
17. Batur, - , - ," 110,300 "," 16,310 ", - , - , - , - ,2024
18. Wanayasa, - , 810 ," 4,035 "," 4,374 ", 545 , 324 , - , 286 ,2024
19. Kalibening, - ," 1,661 ", 197 ," 1,495 ", 137 , 226 , - , 681 ,2024
20. Pandanarum, - ," 1,283 ", - , - , - , - , - , 645 ,2024
