Kecamatan,Bawang Merah (ton) 2018,Cabai Besar (ton) 2018,Kentang (ton) 2018,Kubis (ton) 2018,Petsai (ton) 2018,Tomat (ton) 2018,Bawang Putih (ton) 2018,Cabai Rawit (ton) 2018,Bawang Merah (ton) 2019,Cabai Besar (ton) 2019,Kentang (ton) 2019,Kubis (ton) 2019,Petsai (ton) 2019,Tomat (ton) 2019,Bawang Putih (ton) 2019,Cabai Rawit (ton) 2019,Bawang Merah (ton) 2023,Cabai Besar (ton) 2023,Kentang (ton) 2023,Kubis (ton) 2023,Petsai (ton) 2023,Tomat (ton) 2023,Bawang Putih (ton) 2023,Cabai Rawit (ton) 2023,Bawang Merah (ton) 2017,Cabai Besar (ton) 2017,Kentang (ton) 2017,Kubis (ton) 2017,Petsai (ton) 2017,Tomat (ton) 2017,Bawang Putih (ton) 2017,Cabai Rawit (ton) 2017,Bawang Merah (ton) 2020,Cabai Besar (ton) 2020,Kentang (ton) 2020,Kubis (ton) 2020,Petsai (ton) 2020,Tomat (ton) 2020,Bawang Putih (ton) 2020,Cabai Rawit (ton) 2020,Bawang Merah (ton) 2021,Cabai Besar (ton) 2021,Kentang (ton) 2021,Kubis (ton) 2021,Petsai (ton) 2021,Tomat (ton) 2021,Bawang Putih (ton) 2021,Cabai Rawit (ton) 2021,Bawang Merah (ton) 2022,Cabai Besar (ton) 2022,Kentang (ton) 2022,Kubis (ton) 2022,Petsai (ton) 2022,Tomat (ton) 2022,Bawang Putih (ton) 2022,Cabai Rawit (ton) 2022,Bawang Merah (ton) 2024,Cabai Besar (ton) 2024,Kentang (ton) 2024,Kubis (ton) 2024,Petsai (ton) 2024,Tomat (ton) 2024,Bawang Putih (ton) 2024,Cabai Rawit (ton) 2024,Tahun
Mandiraja,,,,,,,,,,,,,,,,,0.2,8.3,0,0,0,0,0,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59.8,0,0,0,0,0,5.77,2024
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagedongan,0,0.8,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagedongan,,,,,,,,,0,0.6,0,0,0,0,0,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1272.5,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.2,0,0,0,0,0,658,,,,,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,288.6,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,0,0,0,0,0,4.5,0,207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,175.66,2024
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1687.5,0,141.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagentan,0,581.6,0,2340,0,52.8,0,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagentan,,,,,,,,,0,273.6,0,2190,287,46.4,88,1476.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,377.5,0,3400,420,117.5,162,2880.2,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5332.1,0,2655,420,235.8,288,1332.5,,,,,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1521.9,0,1995,403.7,377,0,2716.8,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,0,5288.7,0,5000,155.3,252,0,3967.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3492.8,0,3760,266.2,588,0,2035.2,2024
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pandanarum,0,11.8,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pandanarum,,,,,,,,,0,14.8,0,7,0,0,0,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.1,0,0,0,0,0,47.1,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16.9,0,0,0,0,0,18.9,,,,,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16.4,0,0,0,0.7,0,16.9,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,0,34.7,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1283.4,0,0,0,0,0,644.8,2024
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,0,0,36542.5,10148.1,0,3772.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pejawaran,0,6174.4,44164.8,11611.7,0,2106.5,0,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pejawaran,,,,,,,,,0,4926.6,43406.6,10908.5,4474.7,7028.9,322,6546.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6159.8,49806.5,27965,4256,9059.4,269,7651.5,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5215.1,46508,14053,3769.5,7509.7,279,4601.4,,,,,,,,,,,,,,,,,2021
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5656.8,44278,12985,4644,9228.4,0,5259.6,,,,,,,,,2022
Pejawaran,,,,,,,,,,,,,,,,,0,6858.2,24947,13780,3348,12885,0,8138.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2694.7,25194,4800,1692,16553.4,0,3629.9,2024
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Punggelan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Punggelan,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4,0,0,0,0,0,2.2,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5.9,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,90,0,46,2024
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,121.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purwonegoro,0,6596,0,0,0,34.1,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purwonegoro,,,,,,,,,30.6,10295.1,0,0,0,804,0,680.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,9152.5,0,0,0,1110.7,0,355.4,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4764.9,0,0,0,533.8,0,189.1,,,,,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15663.7,0,0,0,750.9,0,600.4,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,52.11,13009,0,0,0,631.6,0,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1424.69,0,0,0,161.4,0,2894.9,2024
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purworejo Klampok,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purworejo Klampok,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1.5,2024
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Rakit,0,62,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Rakit,,,,,,,,,0,47.7,0,0,0,0,0,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,30,0,0,0.8,0,0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51.4,0,0,0.1,0,0,7.9,,,,,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.5,0,0,0,27.6,0,0,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,0,25.11,0,0,0,14.4,0,12.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33.13,0,0,0,9.76,0,11.84,2024
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Sigaluh,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Sigaluh,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,0,0,0,5,,,,,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4,0,0,0,0,0,0.62,2024
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Susukan,0,38.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Susukan,,,,,,,,,0,30,0,0,0,0,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
